#C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol   
1.521e-02 9.894e-02 2.946e-02 1.285e-01 2.937e-04 3.783e-04 8.837e-03 8.237e-02 6.674e-05 1.804e-04
3.957e-01 3.801e-03 4.163e-01 3.937e-03 5.949e-04 1.092e-04 3.809e-01 3.750e-03 4.714e-04 1.576e-05
1.544e-02 7.153e-02 7.585e-02 1.494e-01 4.970e-04 5.450e-04 4.357e-03 4.835e-02 4.813e-05 1.563e-04
2.861e-01 3.860e-03 4.380e-01 5.241e-03 1.014e-03 7.750e-05 4.150e-02 8.621e-04 1.993e-03 3.058e-05
1.558e-02 4.016e-02 1.666e-01 1.665e-01 1.364e-03 6.139e-04 9.363e-04 2.002e-02 6.246e-06 5.678e-05
1.606e-01 3.895e-03 4.628e-01 8.959e-03 5.911e-04 1.472e-04 1.784e-05 2.898e-04 9.455e-07 5.748e-06
9.023e-03 4.180e-02 1.281e-01 1.650e-01 9.959e-04 7.710e-04 1.796e-03 2.899e-02 9.940e-06 3.975e-05
1.672e-01 2.256e-03 4.686e-01 5.016e-03 7.503e-04 8.029e-05 1.695e-05 1.752e-04 1.182e-06 4.123e-06
1.554e-02 2.656e-02 2.155e-01 1.534e-01 6.287e-04 1.017e-03 4.265e-04 1.194e-02 4.838e-06 4.140e-05
1.062e-01 3.884e-03 4.736e-01 1.280e-02 7.255e-04 1.402e-04 2.010e-05 4.156e-04 9.089e-07 5.133e-06
1.520e-02 1.898e-02 2.520e-01 1.386e-01 7.574e-04 4.720e-04 2.089e-04 8.137e-03 4.945e-06 2.691e-05
7.592e-02 3.800e-03 4.683e-01 1.685e-02 1.573e-03 1.658e-04 1.875e-05 5.300e-04 1.891e-06 7.984e-06
1.551e-02 1.494e-02 2.850e-01 1.236e-01 7.822e-04 8.070e-04 1.408e-04 6.166e-03 2.693e-06 1.993e-05
