#C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol   
1.521e-02 1.979e-01 1.916e-02 5.645e-02 1.714e-04 2.406e-04 1.240e-02 1.899e-01 3.142e-05 1.312e-04 
3.957e-01 7.603e-03 4.790e-02 1.317e-02 3.072e-04 2.106e-04 3.880e-01 6.991e-03 1.250e-04 2.844e-05 
1.544e-02 1.431e-01 1.982e-02 5.870e-02 1.347e-04 3.216e-04 1.197e-02 1.346e-01 2.400e-05 6.814e-05 
2.861e-01 7.720e-03 5.097e-02 1.370e-02 3.096e-04 1.859e-04 2.792e-01 7.005e-03 7.884e-05 2.209e-05 
1.558e-02 8.032e-02 6.524e-02 1.370e-01 3.529e-04 3.130e-04 3.623e-03 5.595e-02 1.101e-05 5.950e-05 
1.606e-01 7.789e-03 5.282e-02 1.283e-02 2.951e-04 1.263e-04 1.538e-01 6.646e-03 1.065e-04 2.999e-05 
1.554e-02 5.311e-02 1.048e-01 1.805e-01 4.552e-04 5.286e-04 5.789e-04 2.569e-02 5.737e-06 4.390e-05 
1.062e-01 7.768e-03 5.014e-02 1.168e-02 2.464e-04 1.407e-04 9.956e-02 6.279e-03 6.808e-05 2.057e-05 
1.520e-02 3.796e-02 1.242e-01 1.904e-01 5.257e-04 6.482e-04 1.643e-04 1.314e-02 4.187e-06 3.495e-05 
7.592e-02 7.600e-03 4.564e-02 1.051e-02 0.000e+00 0.000e+00 6.764e-02 5.374e-03 0.000e+00 0.000e+00 
1.551e-02 2.988e-02 1.401e-01 1.960e-01 4.932e-04 7.507e-04 4.319e-05 6.667e-03 1.322e-06 2.600e-05 
5.976e-02 7.753e-03 1.607e-01 5.758e-02 1.034e-03 5.184e-04 4.735e-02 3.502e-03 1.179e-04 4.084e-05 
1.530e-02 2.170e-02 1.595e-01 1.957e-01 5.889e-04 8.957e-04 9.323e-06 1.888e-03 1.567e-06 1.398e-05 
4.340e-02 7.648e-03 1.965e-01 8.618e-02 6.850e-04 5.417e-04 2.640e-02 9.938e-04 7.423e-05 1.091e-05 
1.510e-02 1.578e-02 1.795e-01 1.852e-01 4.841e-04 6.756e-04 3.815e-06 1.496e-04 5.860e-07 2.535e-06 
3.156e-02 7.549e-03 2.102e-01 1.042e-01 6.613e-04 5.372e-04 1.523e-02 3.864e-04 3.878e-05 5.140e-06 
1.542e-02 1.354e-02 1.902e-01 1.698e-01 4.167e-04 2.816e-04 1.798e-05 2.078e-05 1.993e-06 1.837e-06 
2.708e-02 7.709e-03 2.148e-01 1.121e-01 4.877e-04 4.629e-04 1.080e-02 2.297e-04 4.492e-05 4.961e-06 
1.525e-02 9.654e-03 2.071e-01 1.477e-01 7.396e-04 5.751e-04 6.186e-04 1.929e-05 6.124e-06 1.080e-06 
1.931e-02 7.623e-03 2.143e-01 1.265e-01 1.000e-03 7.049e-04 4.838e-03 8.685e-05 2.766e-05 1.774e-06 
1.544e-02 7.722e-03 2.109e-01 1.354e-01 7.430e-04 7.022e-04 2.180e-03 4.641e-05 1.029e-05 2.175e-06 
1.544e-02 7.722e-03 2.109e-01 1.354e-01 7.430e-04 7.022e-04 2.180e-03 4.641e-05 1.029e-05 2.175e-06 
1.509e-02 5.956e-03 2.154e-01 1.291e-01 4.311e-04 6.012e-04 4.085e-03 7.285e-05 2.123e-05 3.473e-06 
1.191e-02 7.543e-03 2.031e-01 1.462e-01 6.276e-04 3.855e-04 5.696e-04 1.937e-05 6.943e-06 1.340e-06 
1.512e-02 4.306e-03 2.125e-01 1.194e-01 8.417e-04 6.070e-04 6.661e-03 1.275e-04 1.700e-05 4.691e-06 
8.612e-03 7.562e-03 1.912e-01 1.704e-01 5.057e-04 7.205e-04 1.950e-05 2.200e-05 1.249e-06 1.144e-06 
1.527e-02 3.653e-03 2.137e-01 1.166e-01 7.329e-04 2.945e-04 7.967e-03 1.554e-04 2.928e-05 3.290e-06 
7.307e-03 7.636e-03 1.797e-01 1.832e-01 7.025e-04 6.400e-04 5.059e-06 1.358e-04 7.765e-07 2.629e-06 
1.514e-02 2.669e-03 2.130e-01 1.128e-01 5.194e-04 5.607e-04 9.813e-03 2.220e-04 2.082e-05 6.197e-06 
5.337e-03 7.571e-03 1.611e-01 1.884e-01 8.295e-04 8.864e-04 8.162e-06 1.061e-03 4.602e-07 7.331e-06 
1.514e-02 1.965e-03 2.115e-01 1.111e-01 5.529e-04 7.445e-04 1.129e-02 2.697e-04 2.717e-05 6.070e-06 
3.929e-03 7.572e-03 1.539e-01 1.913e-01 4.777e-04 8.486e-04 1.574e-05 2.349e-03 2.399e-06 1.449e-05 
1.517e-02 1.518e-03 2.107e-01 1.084e-01 6.157e-04 6.734e-04 1.243e-02 3.312e-04 4.746e-05 6.726e-06 
3.037e-03 7.585e-03 1.458e-01 1.898e-01 4.500e-04 6.509e-04 2.186e-05 3.362e-03 1.272e-06 1.285e-05 
1.517e-02 1.110e-03 2.077e-01 1.053e-01 5.013e-04 4.316e-04 1.334e-02 3.787e-04 4.211e-05 3.818e-06 
2.219e-03 7.586e-03 1.457e-01 1.950e-01 8.554e-04 3.495e-04 3.235e-05 4.403e-03 1.251e-06 2.708e-05 
1.515e-02 7.348e-04 4.154e-02 1.532e-02 4.262e-04 1.940e-04 1.381e-02 5.597e-04 8.138e-05 1.059e-05 
1.470e-03 7.577e-03 1.404e-01 1.911e-01 6.576e-04 8.349e-04 5.213e-05 5.374e-03 1.714e-06 4.811e-05 
1.509e-02 4.071e-04 3.718e-02 1.351e-02 3.209e-04 2.271e-04 1.396e-02 3.280e-04 6.584e-05 1.746e-05 
8.142e-04 7.544e-03 1.380e-01 1.894e-01 7.558e-04 9.335e-04 6.373e-05 6.359e-03 4.779e-06 3.017e-05 
1.526e-02 1.493e-04 3.162e-02 1.126e-02 2.586e-04 2.528e-04 1.416e-02 1.125e-04 3.529e-05 6.843e-06 
2.987e-04 7.629e-03 2.810e-02 4.473e-02 3.261e-04 3.873e-04 2.002e-04 7.017e-03 4.821e-06 2.578e-05 
1.507e-02 7.610e-05 3.133e-02 1.160e-02 3.260e-04 2.228e-04 1.405e-02 5.470e-05 3.560e-05 2.431e-06 
1.522e-04 7.534e-03 2.091e-02 3.530e-02 2.394e-04 3.807e-04 9.498e-05 7.059e-03 4.382e-06 4.119e-05 
8.896e-03 1.158e-01 1.750e-02 4.762e-02 2.394e-04 3.990e-04 6.343e-03 1.085e-01 2.777e-05 1.006e-04 
2.315e-01 4.448e-03 4.497e-02 1.298e-02 3.099e-04 1.403e-04 2.244e-01 3.933e-03 6.095e-05 2.239e-05 
9.023e-03 8.360e-02 1.726e-02 4.709e-02 1.637e-04 3.506e-04 5.619e-03 7.516e-02 5.087e-05 1.118e-04 
1.672e-01 4.511e-03 4.573e-02 1.270e-02 5.598e-04 1.850e-04 1.609e-01 3.850e-03 9.707e-05 1.202e-05 
