#C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol   
1.521e-02 2.473e-01 1.809e-02 6.601e-02 2.750e-04 6.456e-04 1.296e-02 2.395e-01 3.807e-05 9.074e-05 
3.957e-01 9.503e-03 4.115e-01 9.754e-03 9.574e-04 1.396e-04 3.849e-01 9.450e-03 1.511e-04 1.981e-05 
1.544e-02 1.788e-01 1.897e-02 7.084e-02 1.956e-04 3.613e-04 1.239e-02 1.705e-01 2.999e-05 7.664e-05 
2.861e-01 9.649e-03 3.246e-01 1.128e-02 1.017e-03 1.436e-04 1.080e-01 3.302e-03 9.751e-04 4.460e-05 
1.558e-02 1.004e-01 4.491e-02 1.200e-01 4.534e-04 8.697e-04 6.654e-03 8.038e-02 3.145e-05 7.317e-05 
1.606e-01 9.736e-03 3.688e-01 2.112e-02 1.132e-03 2.027e-04 5.503e-03 2.935e-04 1.227e-03 7.119e-05 
1.554e-02 6.639e-02 1.007e-01 1.935e-01 4.837e-04 4.818e-04 6.646e-04 3.646e-02 7.044e-06 5.416e-05 
1.062e-01 9.711e-03 3.648e-01 3.187e-02 1.367e-03 2.229e-04 1.202e-04 7.222e-07 3.169e-06 1.786e-07 
1.520e-02 4.745e-02 1.243e-01 2.058e-01 4.427e-04 6.397e-04 1.927e-04 2.053e-02 6.111e-06 6.121e-05 
7.592e-02 9.499e-03 3.591e-01 4.487e-02 1.258e-03 3.980e-04 1.187e-04 1.857e-06 4.630e-06 4.810e-07 
1.551e-02 3.735e-02 1.396e-01 2.076e-01 4.729e-04 8.641e-04 6.537e-05 1.217e-02 2.727e-06 2.410e-05 
5.976e-02 9.691e-03 3.456e-01 5.951e-02 8.302e-04 2.257e-04 1.148e-04 3.200e-06 3.240e-06 3.629e-07 
1.530e-02 2.713e-02 1.623e-01 2.081e-01 4.124e-04 8.183e-04 1.764e-05 5.592e-03 1.634e-06 2.686e-05 
4.340e-02 9.560e-03 3.334e-01 7.402e-02 0.000e+00 0.000e+00 8.996e-05 2.349e-06 0.000e+00 0.000e+00 
1.510e-02 1.972e-02 1.840e-01 2.013e-01 8.965e-04 5.861e-04 1.103e-05 2.090e-03 9.714e-07 1.024e-05 
3.156e-02 9.436e-03 3.141e-01 9.336e-02 5.111e-04 4.340e-04 8.726e-05 1.123e-05 3.327e-06 1.105e-06 
1.542e-02 1.693e-02 1.979e-01 1.916e-01 7.889e-04 6.265e-04 8.526e-06 1.048e-03 7.711e-07 1.179e-05 
2.708e-02 9.637e-03 3.005e-01 1.071e-01 9.887e-04 6.626e-04 7.829e-05 1.532e-05 2.233e-06 1.355e-06 
1.525e-02 1.207e-02 2.274e-01 1.697e-01 8.298e-04 4.576e-04 1.618e-05 2.574e-04 1.206e-06 3.515e-06 
1.931e-02 9.528e-03 2.696e-01 1.307e-01 0.000e+00 0.000e+00 4.084e-05 5.062e-05 0.000e+00 0.000e+00 
1.544e-02 9.652e-03 2.479e-01 1.503e-01 4.677e-04 5.183e-04 2.566e-05 1.094e-04 1.762e-06 2.318e-06 
1.544e-02 9.652e-03 2.479e-01 1.503e-01 4.677e-04 5.183e-04 2.566e-05 1.094e-04 1.762e-06 2.318e-06 
1.509e-02 7.445e-03 2.716e-01 1.307e-01 7.827e-04 5.866e-04 4.862e-05 5.216e-05 1.966e-06 2.038e-06 
1.191e-02 9.429e-03 2.290e-01 1.694e-01 8.639e-04 5.906e-04 1.206e-05 2.432e-04 1.594e-06 5.230e-06 
1.512e-02 5.382e-03 2.963e-01 1.051e-01 1.054e-03 4.791e-04 7.700e-05 2.049e-05 3.496e-06 1.079e-06 
8.612e-03 9.453e-03 1.996e-01 1.871e-01 0.000e+00 0.000e+00 7.178e-06 8.508e-04 0.000e+00 0.000e+00 
1.527e-02 4.567e-03 3.141e-01 9.358e-02 8.532e-04 4.280e-04 7.866e-05 1.302e-05 3.112e-06 1.387e-06 
7.307e-03 9.545e-03 1.889e-01 1.950e-01 0.000e+00 0.000e+00 6.866e-06 1.500e-03 0.000e+00 0.000e+00 
1.514e-02 3.336e-03 3.300e-01 7.397e-02 1.006e-03 8.286e-04 1.151e-04 7.364e-06 2.654e-06 5.471e-07 
5.337e-03 9.464e-03 1.775e-01 2.041e-01 0.000e+00 0.000e+00 1.060e-05 2.856e-03 0.000e+00 0.000e+00 
1.514e-02 2.456e-03 3.486e-01 5.717e-02 0.000e+00 0.000e+00 1.385e-04 5.991e-06 0.000e+00 0.000e+00 
3.929e-03 9.465e-03 1.663e-01 2.047e-01 8.764e-04 9.422e-04 1.570e-05 4.196e-03 1.516e-06 4.442e-05 
1.517e-02 1.898e-03 3.565e-01 4.524e-02 6.856e-04 2.468e-04 1.476e-04 1.590e-06 9.361e-06 5.521e-07 
3.037e-03 9.481e-03 1.621e-01 2.065e-01 0.000e+00 0.000e+00 2.666e-05 5.214e-03 0.000e+00 0.000e+00 
1.517e-02 1.387e-03 3.677e-01 3.441e-02 8.062e-04 5.248e-04 1.484e-04 9.165e-07 6.375e-06 2.329e-07 
2.219e-03 9.483e-03 1.566e-01 2.062e-01 5.016e-04 5.727e-04 3.901e-05 6.303e-03 4.478e-06 3.507e-05 
1.515e-02 9.185e-04 3.776e-01 2.348e-02 0.000e+00 0.000e+00 1.631e-04 2.674e-07 0.000e+00 0.000e+00 
1.470e-03 9.472e-03 1.551e-01 2.069e-01 5.296e-04 5.977e-04 3.839e-05 7.264e-03 2.672e-06 3.290e-05 
1.509e-02 5.089e-04 3.903e-01 1.323e-02 9.441e-04 3.723e-04 1.540e-04 7.948e-08 6.059e-06 5.655e-08 
8.142e-04 9.430e-03 1.521e-01 2.061e-01 7.698e-04 7.525e-04 5.729e-05 8.190e-03 2.568e-06 3.505e-05 
1.526e-02 1.867e-04 3.965e-01 4.765e-03 9.122e-04 7.990e-05 1.620e-04 2.151e-07 4.261e-06 1.233e-07 
2.987e-04 9.536e-03 2.722e-02 4.711e-02 2.715e-04 4.029e-04 1.973e-04 8.872e-03 3.642e-06 2.800e-05 
1.507e-02 9.513e-05 3.954e-01 2.594e-03 6.782e-04 1.124e-04 1.733e-04 0.000e+00 6.834e-06 0.000e+00 
1.522e-04 9.418e-03 2.191e-02 3.859e-02 1.785e-04 2.670e-04 8.713e-05 8.707e-03 4.003e-06 3.162e-05 
8.896e-03 1.447e-01 1.584e-02 5.291e-02 1.603e-04 3.986e-04 6.728e-03 1.372e-01 1.512e-05 9.315e-05 
2.315e-01 5.560e-03 3.645e-01 9.248e-03 1.140e-03 1.879e-04 2.264e-02 4.919e-04 1.039e-03 2.328e-05 
9.023e-03 1.045e-01 1.543e-02 5.166e-02 1.593e-04 2.176e-04 6.016e-03 9.583e-02 5.169e-05 1.378e-04 
1.672e-01 5.639e-03 3.742e-01 1.296e-02 1.520e-03 2.386e-04 3.254e-03 9.595e-05 1.077e-03 3.440e-05 
9.090e-03 5.858e-02 9.423e-02 1.870e-01 3.622e-04 5.573e-04 1.136e-03 4.180e-02 1.228e-05 6.517e-05 
9.373e-02 5.681e-03 3.778e-01 2.327e-02 8.412e-04 7.836e-04 1.319e-04 1.745e-06 4.970e-06 3.256e-07 
8.926e-03 3.814e-02 1.198e-01 2.028e-01 5.078e-04 4.218e-04 2.432e-04 2.205e-02 5.445e-06 3.544e-05 
6.103e-02 5.579e-03 3.763e-01 3.424e-02 0.000e+00 0.000e+00 1.385e-04 2.618e-06 0.000e+00 0.000e+00 
8.568e-03 2.675e-02 1.375e-01 2.071e-01 0.000e+00 0.000e+00 8.147e-05 1.268e-02 0.000e+00 0.000e+00 
