#C1_0     C2_0      C1_sol    C1_den    m         d_m       b         d_b      
1.558e-02 6.024e-02 1.023e-05 9.644e-02 2.932e+00 1.230e-01 2.784e-03 9.993e-05 
9.023e-03 6.270e-02 4.207e-06 6.286e-02 4.820e+00 2.565e-01 3.248e-03 4.581e-05 
1.554e-02 3.983e-02 1.100e-05 1.346e-01 1.954e+00 5.344e-02 2.298e-03 6.743e-05 
1.062e-01 5.826e-03 1.673e-05 4.715e-01 4.516e-02 1.839e-03 1.633e-04 8.747e-06 
1.520e-02 2.847e-02 1.341e-05 1.688e-01 1.431e+00 2.816e-02 1.967e-03 7.853e-05 
7.592e-02 5.700e-03 1.788e-05 4.622e-01 6.094e-02 1.950e-03 1.724e-04 6.367e-06 
1.551e-02 2.241e-02 1.469e-05 1.999e-01 1.100e+00 1.836e-02 1.679e-03 3.190e-05 
5.976e-02 5.814e-03 1.703e-05 4.479e-01 8.222e-02 1.526e-03 2.179e-04 1.733e-05 
2.785e-03 2.718e-02 4.526e-06 5.159e-02 5.965e+00 1.393e-01 3.392e-03 2.094e-05 
7.248e-02 1.044e-03 1.816e-05 4.923e-01 1.162e-02 2.985e-04 5.468e-05 3.225e-06 
1.530e-02 1.628e-02 1.087e-05 2.356e-01 8.186e-01 1.036e-02 1.317e-03 2.554e-05 
4.340e-02 5.736e-03 1.263e-05 4.381e-01 1.057e-01 1.999e-03 2.710e-04 1.020e-05 
1.510e-02 1.183e-02 1.494e-05 2.740e-01 6.061e-01 5.694e-03 1.118e-03 1.360e-05 
3.156e-02 5.661e-03 1.407e-05 4.148e-01 1.471e-01 1.625e-03 3.437e-04 9.396e-06 
1.542e-02 1.016e-02 1.399e-05 2.969e-01 5.065e-01 4.571e-03 9.930e-04 2.009e-05 
2.708e-02 5.782e-03 1.504e-05 4.068e-01 1.704e-01 1.903e-03 3.942e-04 1.317e-05 
8.755e-03 1.265e-02 1.076e-05 2.066e-01 1.020e+00 1.029e-02 1.595e-03 3.081e-05 
3.374e-02 3.283e-03 1.557e-05 4.521e-01 7.937e-02 8.774e-04 2.086e-04 4.988e-06 
1.525e-02 7.241e-03 1.744e-05 3.383e-01 3.618e-01 2.909e-03 7.396e-04 1.981e-05 
1.931e-02 5.717e-03 1.359e-05 3.815e-01 2.332e-01 1.824e-03 5.190e-04 1.318e-05 
1.544e-02 5.791e-03 1.392e-05 3.684e-01 2.740e-01 2.641e-03 5.875e-04 2.050e-05 
1.581e-03 1.099e-02 9.419e-06 8.250e-02 3.513e+00 3.164e-02 2.826e-03 1.508e-05 
2.931e-02 5.930e-04 1.888e-05 4.844e-01 1.556e-02 1.824e-04 4.861e-05 1.068e-06 
1.509e-02 4.467e-03 1.291e-05 3.824e-01 2.274e-01 1.409e-03 4.966e-04 6.997e-06 
1.191e-02 5.658e-03 1.101e-05 3.351e-01 3.590e-01 1.981e-03 7.183e-04 7.706e-06 
1.512e-02 3.229e-03 1.027e-05 4.096e-01 1.676e-01 7.981e-04 3.682e-04 4.602e-06 
8.612e-03 5.672e-03 1.062e-05 3.103e-01 4.616e-01 2.594e-03 8.920e-04 6.117e-06 
1.527e-02 2.740e-03 1.152e-05 4.189e-01 1.399e-01 6.633e-04 3.265e-04 8.529e-06 
7.307e-03 5.727e-03 1.731e-05 2.887e-01 5.380e-01 2.800e-03 9.872e-04 1.008e-05 
1.514e-02 2.001e-03 1.367e-05 4.360e-01 1.012e-01 5.137e-04 2.446e-04 3.314e-06 
5.337e-03 5.679e-03 1.268e-05 2.570e-01 6.853e-01 3.223e-03 1.193e-03 7.237e-06 
1.514e-02 1.473e-03 1.414e-05 4.527e-01 7.521e-02 3.273e-04 1.862e-04 4.000e-06 
3.929e-03 5.679e-03 1.262e-05 2.254e-01 8.838e-01 3.570e-03 1.402e-03 9.534e-06 
1.517e-02 1.139e-03 1.015e-05 4.652e-01 5.576e-02 3.369e-04 1.365e-04 2.171e-06 
3.037e-03 5.689e-03 9.248e-06 1.968e-01 1.097e+00 3.766e-03 1.618e-03 8.453e-06 
1.517e-02 8.322e-04 1.391e-05 4.749e-01 3.947e-02 2.807e-04 1.003e-04 3.778e-06 
2.219e-03 5.690e-03 8.707e-06 1.704e-01 1.380e+00 4.709e-03 1.825e-03 9.987e-06 
8.696e-03 3.261e-03 1.300e-05 3.668e-01 2.623e-01 1.130e-03 5.662e-04 1.107e-05 
1.515e-02 5.511e-04 1.496e-05 4.802e-01 2.659e-02 1.542e-04 7.425e-05 1.316e-06 
1.470e-03 5.683e-03 1.420e-05 1.418e-01 1.778e+00 6.288e-03 2.179e-03 2.876e-05 
