#C1_0     C2_0      C1_sol    C1_den    m         d_m       b         d_b      
1.520e-02 2.847e-02 3.352e-04 1.384e-01 1.069e+00 1.773e-02 9.785e-03 8.816e-05 
7.592e-02 5.700e-03 1.461e-04 3.708e-01 7.157e-02 6.367e-04 3.049e-05 1.699e-06 
1.551e-02 2.241e-02 1.652e-04 1.579e-01 9.578e-01 1.147e-02 5.747e-03 3.980e-05 
5.976e-02 5.814e-03 1.343e-04 3.632e-01 8.826e-02 1.358e-03 4.671e-05 5.293e-06 
1.530e-02 1.628e-02 8.664e-05 1.817e-01 8.056e-01 5.740e-03 2.912e-03 1.634e-05 
4.340e-02 5.736e-03 1.308e-04 3.468e-01 1.244e-01 7.968e-04 6.058e-05 2.455e-06 
1.510e-02 1.183e-02 6.876e-05 2.115e-01 6.412e-01 3.376e-03 1.434e-03 1.278e-05 
3.156e-02 5.661e-03 1.045e-04 3.280e-01 1.669e-01 8.919e-04 1.019e-04 4.713e-06 
1.542e-02 1.016e-02 7.553e-05 2.284e-01 5.563e-01 2.640e-03 9.791e-04 8.926e-06 
2.708e-02 5.782e-03 1.111e-04 3.164e-01 2.012e-01 6.962e-04 1.147e-04 2.017e-06 
1.525e-02 7.241e-03 8.008e-05 2.562e-01 4.193e-01 1.361e-03 4.983e-04 3.547e-06 
1.931e-02 5.717e-03 1.004e-04 3.000e-01 2.681e-01 1.089e-03 2.142e-04 2.603e-06 
1.544e-02 5.791e-03 8.967e-05 2.815e-01 3.355e-01 1.051e-03 3.158e-04 2.633e-06 
1.544e-02 5.791e-03 8.967e-05 2.815e-01 3.355e-01 1.051e-03 3.158e-04 2.633e-06 
1.509e-02 4.467e-03 9.683e-05 2.957e-01 2.656e-01 8.121e-04 2.193e-04 2.249e-06 
1.191e-02 5.658e-03 8.394e-05 2.585e-01 4.117e-01 0.000e+00 7.551e-04 0.000e+00 
1.512e-02 3.229e-03 1.250e-04 3.186e-01 1.918e-01 0.000e+00 3.295e-04 0.000e+00 
8.612e-03 5.672e-03 8.160e-05 2.304e-01 5.237e-01 1.343e-03 8.528e-04 5.799e-06 
1.527e-02 2.740e-03 1.185e-04 3.286e-01 1.680e-01 2.393e-04 9.590e-05 9.546e-07 
7.307e-03 5.727e-03 7.269e-05 2.201e-01 5.923e-01 0.000e+00 1.399e-03 0.000e+00 
1.514e-02 2.001e-03 1.288e-04 3.422e-01 1.226e-01 2.531e-04 5.817e-05 5.523e-07 
5.337e-03 5.679e-03 8.335e-05 1.992e-01 6.866e-01 1.395e-03 1.737e-03 6.508e-06 
1.514e-02 1.473e-03 1.329e-04 3.542e-01 8.881e-02 2.583e-04 3.693e-05 6.398e-07 
3.929e-03 5.679e-03 9.527e-05 1.895e-01 7.477e-01 1.687e-03 2.422e-03 5.847e-06 
1.517e-02 1.139e-03 1.294e-04 3.663e-01 6.894e-02 1.757e-04 2.879e-05 4.675e-07 
3.037e-03 5.689e-03 9.568e-05 1.815e-01 8.037e-01 1.693e-03 2.941e-03 5.852e-06 
1.517e-02 8.322e-04 1.726e-04 3.741e-01 5.083e-02 0.000e+00 6.104e-05 0.000e+00 
2.219e-03 5.690e-03 1.304e-04 1.677e-01 8.595e-01 0.000e+00 3.783e-03 0.000e+00 
1.515e-02 5.511e-04 1.500e-04 3.813e-01 3.336e-02 0.000e+00 4.572e-05 0.000e+00 
1.509e-02 3.053e-04 1.490e-04 3.863e-01 2.018e-02 8.071e-06 3.964e-06 1.785e-08 
1.526e-02 1.120e-04 1.534e-04 3.916e-01 7.019e-03 8.445e-06 1.588e-06 1.161e-08 
1.507e-02 5.708e-05 1.651e-04 3.949e-01 3.825e-03 2.591e-06 4.595e-07 4.434e-09 
9.373e-02 3.409e-03 1.415e-04 3.816e-01 3.413e-02 5.158e-04 1.293e-05 1.194e-06 
8.926e-03 2.289e-02 4.879e-04 1.303e-01 1.098e+00 1.301e-02 1.141e-02 4.088e-05 
6.103e-02 3.347e-03 1.439e-04 3.771e-01 5.167e-02 4.521e-04 2.324e-05 1.685e-06 
8.568e-03 1.605e-02 2.130e-04 1.535e-01 9.776e-01 7.593e-03 6.513e-03 4.687e-05 
4.280e-02 3.213e-03 1.636e-04 3.706e-01 7.018e-02 4.793e-04 3.177e-05 1.305e-06 
8.755e-03 1.265e-02 1.170e-04 1.691e-01 8.737e-01 5.281e-03 4.110e-03 2.691e-05 
3.374e-02 3.283e-03 1.377e-04 3.604e-01 9.316e-02 2.657e-04 4.407e-05 4.493e-07 
8.752e-03 9.312e-03 8.537e-05 1.928e-01 7.417e-01 3.048e-03 2.234e-03 1.310e-05 
