# C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol
1.520e-02 2.847e-02 1.243e-01 1.609e-01 5.454e-04 6.694e-04 2.818e-04 7.900e-03 6.782e-06 3.423e-05
1.551e-02 2.241e-02 1.392e-01 1.629e-01 5.805e-04 9.479e-04 9.467e-05 3.373e-03 2.952e-06 1.284e-05
1.530e-02 1.628e-02 1.579e-01 1.609e-01 4.520e-04 5.471e-04 3.652e-05 5.957e-04 3.192e-06 5.688e-06
1.510e-02 1.183e-02 1.749e-01 1.433e-01 7.791e-04 3.155e-04 1.271e-04 8.348e-05 3.593e-06 2.475e-06
1.542e-02 1.016e-02 1.825e-01 1.318e-01 5.829e-04 5.558e-04 4.993e-04 8.509e-05 6.809e-06 4.195e-06
2.708e-02 5.782e-03 1.846e-01 8.765e-02 7.390e-04 4.990e-04 1.609e-02 1.203e-03 3.752e-05 1.891e-05
1.525e-02 7.241e-03 1.886e-01 1.158e-01 6.643e-04 6.448e-04 2.472e-03 1.723e-04 1.865e-05 3.599e-06
1.931e-02 5.717e-03 1.900e-01 1.012e-01 9.961e-04 3.938e-04 8.069e-03 5.115e-04 2.771e-05 5.404e-06
1.544e-02 5.791e-03 1.907e-01 1.094e-01 7.018e-04 6.528e-04 4.539e-03 2.743e-04 2.025e-05 4.858e-06
1.544e-02 5.791e-03 1.907e-01 1.094e-01 7.018e-04 6.528e-04 4.539e-03 2.743e-04 2.025e-05 4.858e-06
1.509e-02 4.467e-03 1.935e-01 1.062e-01 1.005e-03 4.231e-04 6.656e-03 4.151e-04 2.761e-05 6.077e-06
1.191e-02 5.658e-03 1.888e-01 1.180e-01 6.589e-04 5.284e-04 2.193e-03 1.703e-04 1.097e-05 4.173e-06
1.512e-02 3.229e-03 1.893e-01 9.921e-02 1.256e-03 6.570e-04 9.260e-03 5.886e-04 2.233e-05 6.195e-06
8.612e-03 5.672e-03 1.804e-01 1.319e-01 9.925e-04 9.648e-04 4.309e-04 8.218e-05 6.582e-06 2.394e-06
7.307e-03 5.727e-03 1.711e-01 1.404e-01 6.363e-04 3.666e-04 1.187e-04 8.294e-05 2.379e-06 2.178e-06
5.337e-03 5.679e-03 1.569e-01 1.546e-01 5.863e-04 5.490e-04 4.026e-05 4.358e-04 1.968e-06 8.445e-06
3.929e-03 5.679e-03 1.482e-01 1.599e-01 3.570e-04 5.845e-04 4.432e-05 1.323e-03 2.651e-06 1.100e-05
3.037e-03 5.689e-03 1.413e-01 1.612e-01 6.289e-04 4.293e-04 6.996e-05 2.153e-03 3.582e-06 2.524e-05
2.219e-03 5.690e-03 1.364e-01 1.597e-01 3.531e-04 6.175e-04 9.165e-05 3.041e-03 4.497e-06 3.726e-05
8.926e-03 2.289e-02 1.157e-01 1.552e-01 6.402e-04 8.096e-04 4.173e-04 1.052e-02 5.641e-06 2.174e-05
8.568e-03 1.605e-02 1.323e-01 1.626e-01 3.875e-04 6.204e-04 1.353e-04 4.973e-03 3.359e-06 1.688e-05
