#C1_0     C2_0      C1_sol    C1_den    m         d_m       b         d_b      
1.520e-02 2.847e-02 2.818e-04 1.243e-01 1.236e+00 1.722e-02 7.554e-03 8.003e-05 
1.551e-02 2.241e-02 9.467e-05 1.392e-01 1.148e+00 9.648e-03 3.264e-03 1.551e-05 
1.530e-02 1.628e-02 3.652e-05 1.579e-01 1.016e+00 1.160e-03 5.586e-04 1.687e-06 
1.510e-02 1.183e-02 1.271e-04 1.749e-01 8.192e-01 2.970e-03 -2.065e-05 2.842e-06 
1.542e-02 1.016e-02 4.993e-04 1.825e-01 7.234e-01 3.948e-03 -2.762e-04 6.988e-06 
2.708e-02 5.782e-03 1.609e-02 1.846e-01 5.126e-01 6.259e-03 -7.047e-03 1.124e-04 
1.525e-02 7.241e-03 2.472e-03 1.886e-01 6.209e-01 4.649e-03 -1.363e-03 1.806e-05 
1.931e-02 5.717e-03 8.069e-03 1.900e-01 5.531e-01 5.563e-03 -3.952e-03 5.159e-05 
1.544e-02 5.791e-03 4.539e-03 1.907e-01 5.859e-01 4.676e-03 -2.385e-03 2.590e-05 
1.544e-02 5.791e-03 4.539e-03 1.907e-01 5.859e-01 4.676e-03 -2.385e-03 2.590e-05 
1.509e-02 4.467e-03 6.656e-03 1.935e-01 5.660e-01 3.863e-03 -3.353e-03 3.122e-05 
1.191e-02 5.658e-03 2.193e-03 1.888e-01 6.313e-01 3.463e-03 -1.214e-03 1.094e-05 
1.512e-02 3.229e-03 9.260e-03 1.893e-01 5.477e-01 3.160e-03 -4.483e-03 3.051e-05 
8.612e-03 5.672e-03 4.309e-04 1.804e-01 7.323e-01 2.231e-03 -2.334e-04 2.037e-06 
7.307e-03 5.727e-03 1.187e-04 1.711e-01 8.206e-01 1.489e-03 -1.447e-05 1.182e-06 
5.337e-03 5.679e-03 4.026e-05 1.569e-01 9.828e-01 2.387e-04 3.962e-04 4.079e-07 
3.929e-03 5.679e-03 4.432e-05 1.482e-01 1.070e+00 1.336e-03 1.276e-03 3.222e-06 
3.037e-03 5.689e-03 6.996e-05 1.413e-01 1.126e+00 1.378e-03 2.074e-03 6.004e-06 
2.219e-03 5.690e-03 9.165e-05 1.364e-01 1.149e+00 1.497e-03 2.936e-03 1.037e-05 
8.926e-03 2.289e-02 4.173e-04 1.157e-01 1.256e+00 1.460e-02 9.996e-03 3.447e-05 
8.568e-03 1.605e-02 1.353e-04 1.323e-01 1.193e+00 7.685e-03 4.812e-03 2.286e-05 
8.755e-03 1.265e-02 6.827e-05 1.431e-01 1.127e+00 3.507e-03 2.283e-03 1.084e-05 
8.752e-03 9.312e-03 4.493e-05 1.588e-01 9.957e-01 6.608e-04 4.930e-04 1.489e-06 
8.511e-03 6.671e-03 1.264e-04 1.713e-01 8.208e-01 1.734e-03 -1.799e-05 1.195e-06 
8.832e-03 5.817e-03 4.025e-04 1.793e-01 7.278e-01 2.233e-03 -2.114e-04 4.229e-06 
1.551e-02 3.312e-03 9.572e-03 1.896e-01 5.422e-01 2.929e-03 -4.570e-03 3.222e-05 
8.616e-03 4.092e-03 1.759e-03 1.871e-01 6.450e-01 2.519e-03 -9.987e-04 8.205e-06 
1.091e-02 3.231e-03 4.998e-03 1.946e-01 5.790e-01 2.626e-03 -2.588e-03 1.768e-05 
8.696e-03 3.261e-03 3.073e-03 1.879e-01 6.138e-01 2.333e-03 -1.646e-03 1.470e-05 
8.696e-03 3.261e-03 3.073e-03 1.879e-01 6.138e-01 2.333e-03 -1.646e-03 1.470e-05 
8.505e-03 2.518e-03 4.113e-03 1.925e-01 5.925e-01 1.879e-03 -2.167e-03 9.154e-06 
6.715e-03 3.189e-03 1.545e-03 1.854e-01 6.530e-01 1.768e-03 -8.708e-04 4.444e-06 
8.536e-03 1.823e-03 5.470e-03 1.900e-01 5.779e-01 1.623e-03 -2.811e-03 1.061e-05 
4.860e-03 3.201e-03 3.957e-04 1.774e-01 7.390e-01 1.013e-03 -2.115e-04 1.534e-06 
4.159e-03 3.260e-03 1.164e-04 1.710e-01 8.176e-01 7.434e-04 -1.339e-05 4.604e-07 
3.028e-03 3.221e-03 4.821e-05 1.582e-01 9.615e-01 9.919e-05 2.939e-04 9.804e-08 
2.213e-03 3.198e-03 4.176e-05 1.539e-01 1.030e+00 4.168e-04 8.555e-04 7.690e-07 
1.724e-03 3.230e-03 4.933e-05 1.463e-01 1.073e+00 6.213e-04 1.290e-03 2.711e-06 
1.270e-03 3.255e-03 7.124e-05 1.437e-01 1.100e+00 3.286e-04 1.811e-03 6.503e-07 
5.016e-03 1.940e-02 6.437e-04 1.081e-01 1.265e+00 1.034e-02 1.195e-02 3.799e-05 
