Filename                         Protein-1    Protein-2    Num-puncta-1    Num-puncta-2    Num-Colocalized    Colocalization-1    Colocalization-2    Threshold
BNI1-640nm_416_ctrl_60x_003.tif  BNI1         CLN3         3013            2072            83                 0.02755             0.04006             300
CLN3-561nm_416_ctrl_60x_003.tif  BNI1         CLN3         3013            2072            83                 0.02755             0.04006             300
BNI1-640nm_416_ctrl_60x_004.tif  BNI1         CLN3         1773            3434            61                 0.03440             0.01776             300
CLN3-561nm_416_ctrl_60x_004.tif  BNI1         CLN3         1773            3434            61                 0.03440             0.01776             300
BNI1-640nm_416_ctrl_60x_005.tif  BNI1         CLN3         1235            1872            32                 0.02591             0.01709             300
CLN3-561nm_416_ctrl_60x_005.tif  BNI1         CLN3         1235            1872            32                 0.02591             0.01709             300
BNI1-640nm_416_ctrl_60x_006.tif  BNI1         CLN3         1158            2329            29                 0.02504             0.01245             300
CLN3-561nm_416_ctrl_60x_006.tif  BNI1         CLN3         1158            2329            29                 0.02504             0.01245             300
BNI1-640nm_416_ctrl_60x_008.tif  BNI1         CLN3         1885            915             96                 0.05093             0.10492             300
CLN3-561nm_416_ctrl_60x_008.tif  BNI1         CLN3         1885            915             96                 0.05093             0.10492             300
BNI1-640nm_416_ctrl_60x_011.tif  BNI1         CLN3         1581            2506            48                 0.03036             0.01915             300
CLN3-561nm_416_ctrl_60x_011.tif  BNI1         CLN3         1581            2506            48                 0.03036             0.01915             300
BNI1-640nm_416_ctrl_60x_012.tif  BNI1         CLN3         2586            545             93                 0.03596             0.17064             300
CLN3-561nm_416_ctrl_60x_012.tif  BNI1         CLN3         2586            545             93                 0.03596             0.17064             300
BNI1-640nm_416_ctrl_60x_014.tif  BNI1         CLN3         2861            2064            96                 0.03355             0.04651             300
CLN3-561nm_416_ctrl_60x_014.tif  BNI1         CLN3         2861            2064            96                 0.03355             0.04651             300
BNI1-640nm_416_ctrl_60x_015.tif  BNI1         CLN3         264             2125            20                 0.07576             0.00941             300
CLN3-561nm_416_ctrl_60x_015.tif  BNI1         CLN3         264             2125            20                 0.07576             0.00941             300
