# Filename: BNI1-640nm_416_ctrl_60x_004.tif
# Puncta radius (pixels): 1.3888888888888888
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X
65    1267
102   688
173   527
182   1018
212   405
214   1410
225   415
230   603
234   1406
239   1431
281   1561
282   1615
282   1695
284   1581
289   1684
315   825
315   887
317   831
319   768
327   774
328   426
329   954
331   907
334   968
335   818
335   838
354   1203
357   350
363   1589
386   776
386   791
387   392
402   751
408   642
411   678
419   534
419   687
422   538
423   703
423   1617
428   729
431   765
432   443
432   1470
435   732
439   693
441   709
447   632
450   1477
457   1470
458   432
463   777
465   687
471   433
473   804
489   631
495   212
497   404
498   298
517   596
518   496
520   393
523   1500
527   765
528   395
530   344
531   757
531   845
538   621
542   779
545   466
546   353
548   329
550   565
551   261
556   716
559   1462
561   852
562   1465
564   460
570   532
571   519
573   1744
575   395
575   457
576   1522
579   512
579   866
579   1509
584   442
585   522
587   1484
593   564
594   820
595   1733
599   580
599   882
600   279
601   1452
603   418
605   579
607   1151
608   532
609   645
610   341
610   673
614   825
615   1181
619   433
620   354
620   629
622   428
622   539
626   1001
626   1074
628   825
631   279
632   1474
633   423
633   494
634   812
636   465
637   738
637   1511
638   1052
639   1717
640   1134
643   537
644   343
644   743
644   814
644   1243
645   456
645   715
646   737
646   1040
647   1054
648   1222
648   1483
649   190
649   657
651   608
652   183
652   1161
652   1188
655   1155
658   556
658   1205
659   1330
660   189
660   394
662   246
663   728
664   428
664   514
665   1328
667   455
671   472
671   699
672   430
673   625
674   593
675   727
676   1413
677   710
677   900
678   546
678   819
679   834
679   1497
681   623
682   788
682   866
682   1541
683   715
683   930
684   690
686   912
687   701
688   293
688   709
688   741
688   785
689   215
690   558
691   269
691   760
691   940
692   8
692   885
692   897
692   1348
692   1447
693   275
693   814
693   858
693   933
693   955
693   1024
695   691
695   1225
696   1189
696   1409
698   1368
699   692
699   1331
700   556
700   1358
701   640
701   743
701   1228
702   807
702   813
704   936
704   1244
704   1474
707   406
708   330
708   676
708   1084
709   919
710   551
710   953
712   104
715   948
715   1318
718   558
720   1676
721   1098
722   1397
723   1260
724   765
724   1053
725   683
726   1571
729   1321
729   1428
730   983
731   224
731   945
731   1271
733   896
733   930
733   1096
733   1188
733   1581
734   1160
735   790
735   955
736   525
736   542
736   712
737   1556
738   1237
738   1269
738   1315
739   932
739   1546
740   1029
740   1802
741   1060
742   231
743   767
744   777
744   1110
744   1291
745   495
745   1264
745   1361
745   1541
746   355
747   481
747   841
749   815
750   804
750   1004
751   1481
752   477
752   810
752   1264
752   1552
754   572
754   818
756   509
756   786
756   914
756   1245
757   825
757   830
758   1305
759   1400
759   1421
760   1431
761   532
762   276
762   971
763   267
763   959
763   1154
764   1119
764   1245
765   954
766   928
767   732
767   976
769   596
769   1073
770   1163
770   1175
771   207
771   245
771   1085
772   184
772   995
773   293
774   922
775   1481
776   566
776   1112
776   1490
777   942
777   1309
778   569
778   666
778   1209
778   1509
779   212
780   1300
780   1371
781   1028
782   1156
782   1170
783   1340
784   914
784   1708
786   809
787   474
787   1082
787   1123
788   505
788   1297
789   1214
789   1522
790   788
790   919
791   498
791   1163
791   1800
792   345
793   931
794   623
795   826
795   1063
796   884
796   1222
797   67
797   1252
799   319
799   1499
799   1550
800   1429
801   1414
803   951
803   1042
803   1162
804   472
806   1270
807   1701
809   1557
809   1708
810   832
810   928
810   981
811   623
812   915
812   1161
813   724
813   1065
814   936
815   495
815   500
815   801
815   1079
815   1746
815   1839
817   1411
818   1689
819   1081
819   1278
820   1320
821   830
821   1145
822   1538
823   1205
823   1248
823   1581
824   351
824   753
824   781
824   1325
825   982
825   1053
826   1301
827   968
827   1168
827   1382
828   773
828   1359
829   1333
829   1697
830   1054
830   1079
830   1195
831   792
833   1343
834   951
836   687
836   837
836   1691
837   1195
838   851
839   996
840   862
841   716
842   1353
843   1086
843   1182
843   1316
844   180
844   261
844   949
844   1000
844   1311
844   1403
845   1259
845   1286
845   1475
846   1143
846   1664
847   791
847   972
847   1016
847   1368
848   863
848   1546
849   1320
851   668
853   192
853   688
853   1029
854   1014
855   916
855   1213
855   1221
855   1784
856   873
856   928
856   996
856   1278
857   951
857   1510
858   1137
859   1612
860   864
861   1064
861   1497
862   953
862   1101
863   432
863   912
864   967
864   1118
865   129
865   956
865   1184
866   138
866   1177
868   687
868   861
868   1253
869   1291
870   328
871   1045
872   403
873   760
873   1600
874   864
874   975
874   1378
875   118
876   1426
877   749
877   1554
878   960
878   1307
878   1449
879   471
881   1230
881   1273
881   1342
883   515
883   946
883   1220
883   1415
885   265
885   1771
886   406
886   1533
887   356
887   955
887   1164
888   991
888   1275
889   481
889   945
889   1816
891   110
891   1290
891   1517
892   990
892   1001
893   784
893   1513
893   1585
894   490
894   835
894   873
894   1042
894   1431
896   898
896   949
896   1440
897   341
897   1328
897   1352
897   1446
897   1467
898   520
899   396
899   921
900   1047
900   1168
900   1462
901   944
901   1452
902   921
902   1149
902   1189
902   1348
903   504
903   1211
904   1231
905   747
905   1075
907   1531
910   1581
911   283
911   1567
912   936
912   1070
912   1124
913   323
913   982
913   1075
913   1287
914   999
915   365
915   1033
916   151
917   1097
918   314
919   801
920   993
920   1214
921   751
922   954
922   970
922   1810
923   777
923   1127
924   734
924   1084
924   1217
924   1260
925   1255
926   225
926   782
926   1173
927   1305
927   1592
928   1207
928   1266
929   566
929   993
929   1276
929   1337
931   748
932   261
932   333
932   892
932   1226
932   1888
934   1010
934   1023
934   1075
935   910
935   1369
935   1584
936   820
936   1281
936   1310
937   1477
938   569
938   1102
938   1320
939   883
939   1533
940   195
940   737
941   563
941   715
941   1080
941   1249
942   820
942   903
942   1322
942   1579
943   203
945   241
946   1015
948   211
948   580
948   711
948   958
949   906
949   1367
950   1448
953   1334
954   1464
954   1496
955   1301
955   1540
956   1225
956   1349
957   413
957   1020
958   405
958   869
958   1259
958   1374
959   1151
960   915
960   957
960   1027
960   1355
961   833
961   1312
962   106
962   155
962   401
962   756
962   1267
962   1423
964   423
964   1232
964   1417
965   408
965   694
966   313
966   1289
967   452
967   661
967   1549
968   1407
969   852
969   1385
970   740
970   1105
971   879
971   938
972   480
972   1141
972   1465
973   817
973   1002
973   1021
973   1498
974   437
974   465
975   571
975   715
975   851
975   1105
975   1349
976   923
976   1013
976   1292
977   1334
978   680
978   1034
978   1142
979   442
980   430
980   969
981   142
981   312
981   913
981   1014
981   1150
982   826
982   861
982   1140
