# Filename: BNI1-640nm_416_ctrl_60x_008.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X     CLUSTER_ID
84    1552  -1
118   1693  -1
140   1677  -1
142   1689  -1
294   1543  -1
326   1506  -1
333   1186  -1
338   1194  -1
342   1856  -1
352   1187  -1
355   1258  -1
369   1475  -1
370   1258  -1
371   1849  -1
403   1861  -1
417   1432  -1
418   1282  -1
424   1432  -1
426   1451  -1
435   985   -1
437   1229  -1
440   1000  -1
451   1886  -1
478   1424  -1
481   1014  -1
481   1469  -1
489   1346  -1
489   1892  -1
491   1399  -1
492   1421  -1
492   1883  -1
497   1386  -1
500   1420  -1
505   999   -1
506   1898  -1
507   1018  -1
509   1233  -1
509   1437  -1
510   595   -1
510   1253  -1
511   1433  -1
512   625   -1
513   614   -1
515   539   -1
515   554   -1
515   1235  -1
517   1316  -1
517   1416  -1
518   590   -1
518   1379  -1
519   1425  -1
520   516   -1
523   497   -1
524   455   -1
524   1237  -1
528   591   -1
530   1037  -1
531   549   -1
531   588   -1
532   442   -1
535   578   -1
540   1234  -1
541   502   -1
541   1261  -1
541   1284  -1
541   1366  -1
542   1043  -1
543   351   -1
543   467   -1
544   1020  -1
547   1290  -1
547   1350  -1
548   1022  -1
549   423   -1
549   1252  -1
550   303   -1
551   1261  -1
553   1027  -1
554   584   -1
554   1277  -1
558   306   -1
559   317   -1
559   589   -1
559   1342  -1
560   607   -1
563   371   -1
567   616   -1
568   1270  -1
571   1242  -1
571   1314  -1
573   313   -1
573   607   -1
575   296   -1
575   594   -1
575   1306  -1
576   1192  -1
578   1245  -1
579   280   -1
579   596   -1
580   1323  -1
581   1219  -1
583   251   -1
587   1202  -1
588   1053  -1
589   1289  -1
591   1309  -1
592   1318  -1
594   620   -1
597   630   -1
602   777   -1
603   1085  -1
604   1205  -1
608   605   -1
608   1134  -1
609   1083  -1
609   1260  -1
610   1305  -1
611   1067  -1
613   1175  -1
613   1295  -1
616   770   -1
623   647   -1
623   1097  -1
626   1088  -1
627   641   -1
627   1227  -1
628   1148  -1
630   657   -1
632   586   -1
633   1082  -1
633   1089  -1
634   1128  -1
637   1118  -1
639   630   -1
641   585   -1
641   736   -1
641   1058  -1
642   768   -1
647   52    -1
647   1076  -1
647   1083  -1
648   587   -1
648   769   -1
649   1212  -1
649   1240  -1
654   1197  -1
655   665   -1
655   768   -1
655   1046  -1
656   1095  -1
656   1947  -1
659   1231  -1
665   1039  -1
666   800   -1
666   1896  -1
668   615   -1
669   650   -1
670   1889  -1
672   784   -1
672   1021  -1
673   801   -1
676   615   -1
676   794   -1
676   1003  -1
680   783   -1
684   702   -1
684   1056  -1
686   616   -1
687   1159  -1
690   1175  -1
694   691   -1
694   1005  -1
694   1034  -1
694   1144  -1
694   1882  -1
694   1948  -1
695   784   -1
699   287   -1
699   1930  -1
700   158   -1
700   1042  -1
701   2043  -1
702   331   -1
702   1963  -1
704   615   -1
703   979   -1
704   700   -1
705   1819  -1
706   148   -1
709   1149  -1
710   275   -1
710   1923  -1
710   1955  -1
711   1037  -1
712   625   -1
713   179   -1
713   688   -1
715   75    -1
715   343   -1
717   269   -1
717   807   -1
717   1123  -1
718   61    -1
718   1900  -1
719   222   -1
719   636   -1
719   1812  -1
720   680   -1
720   705   -1
721   236   -1
722   619   -1
722   794   -1
722   1924  -1
723   137   -1
723   972   -1
724   1047  -1
725   689   -1
726   613   -1
726   624   -1
726   1052  -1
726   1122  -1
730   340   -1
730   362   -1
730   1097  -1
731   229   -1
731   972   -1
736   585   -1
736   1057  -1
738   184   -1
739   720   -1
740   910   -1
741   696   -1
743   918   -1
743   1822  -1
744   178   -1
744   686   -1
744   1078  -1
745   745   -1
748   612   -1
748   738   -1
749   1020  -1
749   1040  -1
750   671   -1
750   680   -1
751   597   -1
751   894   -1
752   1085  -1
753   1077  -1
754   581   -1
754   926   -1
755   576   -1
755   610   -1
755   695   -1
757   763   -1
757   1079  -1
758   716   -1
758   839   -1
758   854   -1
759   1011  -1
760   232   -1
760   918   -1
761   1017  -1
762   953   -1
765   582   -1
765   614   -1
765   1012  -1
766   931   -1
767   952   -1
770   1976  -1
771   744   -1
772   228   -1
772   563   -1
772   1011  -1
773   1041  -1
774   616   -1
774   1081  -1
778   959   -1
779   791   -1
779   898   -1
780   626   -1
782   839   -1
782   933   -1
783   765   -1
783   872   -1
784   834   -1
784   925   -1
784   1014  -1
788   717   -1
788   794   -1
788   830   -1
788   914   -1
789   1060  -1
790   874   -1
790   955   -1
791   645   -1
795   950   -1
796   736   -1
798   579   -1
798   626   -1
798   829   -1
798   902   -1
798   976   -1
799   568   -1
799   698   -1
799   946   -1
801   891   -1
801   912   -1
804   811   -1
804   870   -1
804   1082  -1
805   1987  -1
806   736   -1
806   1067  -1
806   1969  -1
807   1996  -1
808   753   -1
808   801   -1
809   574   -1
809   764   -1
809   877   -1
809   925   -1
