# Filename: BNI1-640nm_416_ctrl_60x_008.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X     NUM_PUNCTA    CLUSTER_ID
718   187   2             0
754   558   3             1
788   704   2             2
831   693   2             3
864   1837  2             4
907   666   2             5
906   2044  3             6
924   669   2             7
947   734   2             8
993   644   2             9
1119  594   2             10
1132  452   2             11
1169  441   2             12
1186  562   2             13
1212  1050  2             14
1213  567   2             15
1224  588   2             16
1232  594   3             17
1237  571   2             18
1249  1033  2             19
1290  815   2             20
1305  592   2             21
1314  592   2             22
1336  252   2             23
1344  569   2             24
1354  647   2             25
1368  788   2             26
1380  1065  2             27
1402  1053  2             28
1405  1762  3             29
1427  1131  2             30
1450  1139  2             31
1931  863   2             32
365   1248  2             33
422   1207  2             34
429   1424  2             35
445   1003  2             36
447   981   2             37
474   1471  2             38
497   1021  2             39
503   630   2             40
505   609   2             41
542   345   2             42
574   1044  2             43
584   1165  2             44
629   591   2             45
645   645   2             46
656   719   2             47
658   591   2             48
672   720   2             49
673   991   2             50
678   987   2             51
677   991   3             52
677   594   2             53
681   598   2             54
685   803   2             55
687   101   2             56
691   1032  2             57
709   704   2             58
714   813   2             59
717   365   5             60
715   263   2             61
719   601   2             62
732   832   2             63
737   749   6             64
743   973   2             65
744   967   2             66
756   721   2             67
759   670   9             68
758   683   2             69
762   678   2             70
768   235   2             71
769   668   2             72
771   674   2             73
772   238   2             74
772   967   2             75
772   975   2             76
776   571   3             77
775   1828  2             78
779   799   2             79
787   236   2             80
793   621   2             81
792   936   2             82
794   504   2             83
797   537   2             84
803   752   2             85
805   1089  4             86
807   884   2             87
810   606   2             88
819   712   2             89
821   1089  2             90
834   1091  2             91
835   628   2             92
853   872   2             93
865   1994  2             94
865   865   2             95
866   1102  2             96
872   1961  3             97
869   1966  2             98
877   1955  2             99
874   1108  2             100
885   1942  4             101
883   1948  2             102
889   973   3             103
891   1926  6             104
892   1934  2             105
893   2044  2             106
908   1913  3             107
911   756   2             108
912   667   4             109
914   1108  2             110
919   1906  6             111
923   1905  4             112
924   971   2             113
931   710   2             114
934   677   2             115
938   693   2             116
939   705   2             117
942   678   2             118
951   804   2             119
953   1144  2             120
967   964   2             121
971   1971  3             122
974   847   2             123
982   816   2             124
989   564   3             125
989   742   2             126
991   732   2             127
993   1150  2             128
996   852   2             129
1003  753   2             130
1004  861   3             131
1002  865   2             132
1009  867   2             133
1007  1146  2             134
1007  1157  2             135
1015  927   3             136
1016  854   2             137
1017  624   2             138
1023  944   2             139
1023  1172  2             140
1030  843   2             141
1033  1191  2             142
1039  846   4             143
1041  495   2             144
1066  1978  8             145
1053  2014  8             146
1053  2028  14            147
1040  2031  2             148
1071  1982  4             149
1065  1997  7             150
1061  2015  5             151
1061  2005  4             152
1046  2022  4             153
1042  2029  2             154
1041  2034  3             155
1070  1991  2             156
1054  2033  2             157
1054  2024  2             158
1048  2038  5             159
1045  2043  5             160
1047  962   2             161
1057  657   2             162
1059  482   3             163
1061  989   2             164
1063  654   2             165
1065  879   2             166
1069  720   2             167
1071  611   2             168
1071  1995  2             169
1075  1200  4             170
1081  475   3             171
1088  987   2             172
1090  492   2             173
1094  589   2             174
1104  478   2             175
1115  460   3             176
1122  482   2             177
1124  1022  2             178
1136  932   5             179
1136  562   2             180
1146  903   2             181
1146  921   2             182
1146  1023  2             183
1149  130   2             184
1155  1023  2             185
1156  967   2             186
1159  1965  2             187
1159  567   2             188
1165  1954  2             189
1164  1999  2             190
1169  188   2             191
1169  212   2             192
1174  631   2             193
1181  438   2             194
1184  444   4             195
1185  182   2             196
1202  442   2             197
1228  636   2             198
1231  932   2             199
1232  940   2             200
1232  572   2             201
1239  438   3             202
1246  625   2             203
1254  959   4             204
1257  187   2             205
1260  430   2             206
1264  626   2             207
1267  625   2             208
1266  1927  3             209
1267  214   2             210
1266  656   2             211
1268  594   2             212
1276  422   2             213
1280  579   2             214
1286  849   2             215
1287  886   2             216
1293  787   2             217
1291  978   2             218
1292  409   2             219
1295  226   2             220
1295  1046  2             221
1296  919   2             222
1304  420   6             223
1301  425   2             224
1300  637   2             225
1302  569   2             226
1308  785   2             227
1314  1912  2             228
1318  593   3             229
1324  1064  2             230
1332  1908  2             231
1335  683   2             232
1338  592   3             233
1339  424   3             234
1341  764   3             235
1349  787   3             236
1351  289   2             237
1350  775   2             238
1351  940   2             239
1352  1884  2             240
1355  402   2             241
1355  1059  2             242
1355  594   2             243
1360  173   2             244
1361  965   2             245
1363  818   2             246
1363  1043  2             247
1366  785   2             248
1365  1796  2             249
1368  781   2             250
1374  655   2             251
1374  1832  2             252
1376  810   2             253
1376  1048  3             254
1381  1766  2             255
1384  926   2             256
1387  951   2             257
1389  1762  2             258
1393  1775  2             259
1395  675   2             260
1395  596   2             261
1401  333   2             262
1402  592   2             263
1405  600   2             264
1406  1124  2             265
1411  1069  2             266
1427  910   2             267
1438  1135  2             268
1447  672   2             269
1447  942   2             270
1452  1135  2             271
1454  1053  2             272
1455  1069  2             273
1458  1128  2             274
1495  924   2             275
1504  1068  2             276
1507  461   2             277
1522  905   2             278
1518  905   2             279
1519  628   2             280
1530  672   2             281
1535  939   2             282
1539  876   2             283
1547  888   2             284
1546  667   2             285
1551  636   2             286
1559  340   2             287
1567  124   2             288
1570  954   2             289
1580  636   2             290
1586  680   2             291
1587  685   2             292
1621  623   2             293
1631  676   3             294
1644  2041  5             295
1645  627   2             296
1644  666   2             297
1647  983   2             298
1653  1006  2             299
1655  963   2             300
1674  729   2             301
1726  1047  2             302
1739  1009  2             303
1739  773   2             304
1785  794   2             305
1844  739   2             306
1858  747   2             307
1879  760   2             308
1879  865   2             309
1894  673   3             310
1974  831   3             311
2019  321   2             312
2041  329   3             313
