# Filename: CLN3-561nm_416_ctrl_60x_006.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X     NUM_PUNCTA    CLUSTER_ID
232   1282  2             0
273   934   2             1
524   1692  2             2
527   284   2             3
735   1876  2             4
868   1816  2             5
1043  1140  2             6
1099  718   2             7
1259  1766  2             8
1280  1083  2             9
1284  1031  2             10
1365  196   2             11
1444  2026  3             12
1543  1402  2             13
69    779   35            14
133   1666  2             15
183   123   2             16
212   1258  2             17
237   1288  2             18
237   904   2             19
262   930   2             20
269   821   2             21
282   1183  2             22
282   813   2             23
291   936   2             24
303   950   2             25
307   1195  2             26
316   468   2             27
316   827   2             28
326   1031  2             29
326   1079  2             30
328   929   2             31
330   828   2             32
333   853   2             33
334   1129  2             34
344   828   2             35
344   1203  3             36
358   937   2             37
363   684   2             38
368   777   2             39
370   959   2             40
371   985   2             41
372   1001  2             42
382   813   3             43
381   1173  3             44
382   659   2             45
384   621   2             46
388   1209  2             47
399   810   6             48
403   1049  2             49
406   563   2             50
408   757   2             51
406   839   2             52
405   878   2             53
408   1462  2             54
409   1159  2             55
421   1092  2             56
423   503   2             57
425   907   2             58
424   1013  2             59
427   893   2             60
429   730   2             61
432   951   2             62
437   757   2             63
436   1059  2             64
439   152   6             65
439   1082  6             66
439   731   2             67
448   803   2             68
448   998   2             69
449   1208  2             70
451   743   3             71
451   897   2             72
456   912   4             73
458   463   2             74
458   1487  2             75
462   870   2             76
467   1111  4             77
478   1119  2             78
480   638   2             79
486   936   2             80
492   794   2             81
495   266   2             82
498   1052  2             83
498   819   2             84
500   1186  2             85
504   617   2             86
507   1028  2             87
509   643   2             88
509   1203  2             89
512   618   2             90
511   802   2             91
514   1198  2             92
515   726   2             93
515   964   2             94
518   745   2             95
519   735   2             96
519   1100  2             97
520   881   2             98
521   1182  2             99
522   980   2             100
521   1210  2             101
521   1527  2             102
526   1037  2             103
528   1256  2             104
531   736   2             105
529   950   2             106
531   1206  3             107
533   831   2             108
532   1164  2             109
535   1491  2             110
539   990   2             111
542   662   3             112
542   952   3             113
541   983   2             114
543   1012  2             115
545   987   3             116
545   1065  2             117
547   661   2             118
554   1174  2             119
555   736   2             120
556   516   2             121
556   1083  2             122
556   1187  2             123
556   298   2             124
558   939   2             125
561   872   2             126
563   938   2             127
564   948   2             128
567   1026  2             129
573   546   2             130
572   974   3             131
575   712   2             132
576   971   2             133
578   704   2             134
580   633   2             135
581   912   2             136
586   1598  2             137
587   1010  2             138
589   1055  2             139
597   346   2             140
596   1451  2             141
597   1032  2             142
599   660   2             143
599   1061  2             144
602   722   2             145
600   924   2             146
602   534   2             147
603   1083  2             148
605   653   2             149
609   1519  2             150
616   675   2             151
626   624   2             152
629   699   2             153
630   1112  2             154
631   1062  2             155
632   1068  3             156
634   342   2             157
634   568   2             158
635   737   2             159
636   1272  2             160
638   362   2             161
639   554   5             162
639   1670  2             163
643   996   3             164
641   1054  2             165
646   563   2             166
646   1086  2             167
649   754   2             168
650   189   2             169
652   1048  2             170
655   366   2             171
655   782   2             172
656   670   2             173
658   1120  2             174
659   1204  2             175
662   1061  2             176
662   564   2             177
663   341   2             178
667   823   2             179
667   1045  2             180
670   595   2             181
672   841   2             182
673   340   2             183
672   1579  2             184
673   427   2             185
677   670   2             186
678   1138  2             187
678   1155  3             188
680   426   2             189
681   1012  2             190
680   1140  2             191
686   1748  2             192
688   540   2             193
688   678   2             194
690   337   2             195
690   657   3             196
694   657   2             197
695   1753  2             198
697   994   2             199
701   218   2             200
701   597   3             201
703   1005  2             202
704   534   2             203
704   762   2             204
704   864   3             205
706   983   3             206
706   1019  2             207
710   955   4             208
711   1441  2             209
711   1726  2             210
712   810   3             211
713   422   2             212
729   642   2             213
731   215   2             214
734   658   2             215
736   539   2             216
736   1777  3             217
740   432   2             218
745   1329  2             219
747   100   2             220
750   418   2             221
753   320   2             222
755   546   2             223
759   549   2             224
762   224   2             225
762   557   2             226
764   687   2             227
768   688   2             228
767   820   2             229
770   303   2             230
769   1618  2             231
771   601   2             232
773   614   2             233
775   589   2             234
776   621   2             235
782   1804  2             236
788   725   3             237
789   660   2             238
795   657   2             239
797   762   2             240
799   635   2             241
806   907   2             242
808   641   2             243
809   854   2             244
811   583   2             245
813   1219  2             246
813   551   3             247
814   1108  2             248
815   1121  2             249
815   270   2             250
816   932   2             251
817   541   2             252
834   1859  2             253
837   246   2             254
838   414   2             255
840   326   2             256
840   422   3             257
856   796   2             258
857   300   2             259
858   928   2             260
859   1486  2             261
863   435   2             262
866   805   3             263
867   433   2             264
867   800   2             265
868   1206  2             266
872   433   2             267
872   457   2             268
872   1262  2             269
874   1368  2             270
877   354   3             271
878   1240  2             272
882   1213  2             273
885   484   2             274
886   1100  2             275
888   478   3             276
888   704   2             277
888   1317  2             278
891   415   2             279
893   281   2             280
893   711   2             281
895   1326  2             282
898   943   3             283
903   522   2             284
903   363   2             285
905   810   2             286
906   514   2             287
909   631   2             288
914   629   2             289
913   509   2             290
914   806   2             291
916   693   3             292
917   1899  2             293
920   531   2             294
919   560   2             295
923   623   2             296
922   1173  2             297
926   396   2             298
932   815   2             299
937   423   2             300
936   629   2             301
942   805   3             302
947   607   2             303
952   429   3             304
952   419   2             305
960   445   2             306
959   594   2             307
964   587   2             308
970   355   2             309
970   590   3             310
971   109   2             311
974   427   2             312
975   870   3             313
977   585   2             314
977   1143  2             315
978   436   2             316
978   568   2             317
979   411   2             318
979   875   2             319
982   606   2             320
985   342   2             321
985   815   2             322
985   1146  2             323
987   287   2             324
997   467   3             325
997   649   2             326
998   660   4             327
999   581   2             328
999   1098  2             329
1000  563   2             330
1002  538   2             331
1005  679   2             332
1005  358   2             333
1006  479   2             334
1009  547   2             335
1013  348   2             336
1014  685   2             337
1014  1142  2             338
1015  65    2             339
1019  684   2             340
1021  993   3             341
1025  567   2             342
1027  804   2             343
1027  352   2             344
1027  678   2             345
1030  817   2             346
1029  519   2             347
1037  1095  2             348
1041  1459  2             349
1043  710   2             350
1047  248   2             351
1049  1157  2             352
1052  190   3             353
1058  712   2             354
1062  1617  2             355
1068  702   2             356
1073  716   2             357
1079  539   2             358
1094  333   2             359
1097  301   2             360
1104  330   2             361
1115  1182  2             362
1117  1097  2             363
1120  330   2             364
1121  725   2             365
1130  719   2             366
1134  266   2             367
1154  1548  2             368
1157  1077  2             369
1178  298   2             370
1178  800   2             371
1191  536   2             372
1196  294   2             373
1213  466   2             374
1217  538   2             375
1221  988   2             376
1227  1157  2             377
1229  361   2             378
1234  1266  2             379
1237  549   2             380
1237  1301  2             381
1239  1291  2             382
1241  1303  2             383
1244  1210  2             384
1248  498   2             385
1254  1280  2             386
1264  964   3             387
1267  168   2             388
1282  110   2             389
1285  807   2             390
1308  1015  2             391
1319  549   2             392
1332  931   2             393
1342  970   2             394
1351  332   2             395
1358  994   2             396
1360  131   2             397
1378  1684  2             398
1383  838   2             399
1385  522   2             400
1392  743   2             401
1393  633   2             402
1395  638   2             403
1415  724   2             404
1425  2026  4             405
1440  986   4             406
1446  994   2             407
1453  1960  2             408
1486  1278  2             409
1500  288   2             410
1530  985   2             411
1534  1005  2             412
1538  646   2             413
1554  963   2             414
1580  966   3             415
1668  837   2             416
1678  821   2             417
1687  798   2             418
1690  920   2             419
1909  217   2             420
