# Filename: CLN3-561nm_416_ctrl_60x_014.tif
# Puncta radius (pixels): 1.3888888888888888
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X
22    809
29    1486
45    705
72    605
72    642
79    282
83    1446
90    280
103   287
103   1039
118   1066
128   1402
131   234
136   306
146   411
149   373
156   503
157   280
159   243
160   514
161   380
164   346
165   389
165   517
166   319
166   358
169   219
169   521
170   227
174   257
177   223
180   252
182   359
182   396
187   193
190   421
191   143
191   342
198   782
201   305
202   230
205   500
213   405
217   408
219   390
221   222
222   200
225   307
245   707
258   506
265   576
268   458
282   601
285   166
291   191
291   604
296   507
298   167
301   463
305   387
308   310
310   55
313   394
314   483
323   168
328   65
331   490
342   151
346   152
351   150
355   463
366   121
370   466
375   123
378   103
380   173
383   134
389   72
394   72
394   213
396   113
411   117
412   25
415   238
418   174
425   160
426   227
427   219
427   262
433   144
443   277
448   111
452   200
452   282
453   650
456   190
456   644
460   269
464   286
466   649
474   58
476   278
480   659
481   670
484   663
485   76
486   294
487   279
488   291
490   650
494   675
495   291
503   31
506   174
509   249
517   296
520   965
520   1026
522   203
522   677
523   973
523   1238
525   683
528   316
529   198
529   926
530   660
531   953
532   668
535   663
538   322
542   305
542   691
546   1224
547   298
547   327
548   890
550   926
556   1010
556   1226
556   1239
557   12
557   930
560   989
561   33
562   673
562   998
563   939
565   917
565   1066
566   289
566   1195
567   1015
568   991
568   1226
569   202
569   292
569   889
569   935
569   949
569   956
570   1084
571   1220
572   696
573   1231
574   691
574   991
575   1174
576   319
576   962
576   974
577   338
577   977
578   930
578   948
580   993
580   1200
581   898
581   917
582   678
582   906
583   1189
586   1057
586   1168
587   955
587   979
587   1190
590   1184
592   884
593   877
593   952
594   853
594   880
594   988
595   966
597   685
597   852
598   1169
598   1206
599   352
599   903
600   1116
603   340
603   1078
603   1156
604   895
604   1144
606   1141
607   938
607   1197
608   844
608   984
608   1075
608   1157
608   1171
608   1189
609   1210
610   857
610   866
610   969
611   335
611   892
611   921
611   994
611   1080
612   308
612   1131
613   817
613   914
613   966
613   983
613   1045
614   682
614   957
614   1018
614   1128
616   861
616   874
616   999
616   1176
617   1028
617   1126
617   1152
620   1069
622   718
622   1003
623   1074
624   1007
625   344
625   1060
625   1147
626   825
626   847
626   920
628   793
628   1085
629   835
629   891
629   1098
630   706
630   772
630   1009
630   1042
630   1080
631   823
631   1200
632   1071
633   860
633   933
634   799
634   829
635   733
635   810
637   1190
639   1027
640   1107
641   945
641   1193
643   875
643   1006
643   1163
645   732
646   358
647   456
647   935
647   1022
648   1112
648   1150
650   751
650   907
650   1066
651   466
651   782
651   1036
652   1089
652   1187
653   798
653   1137
654   641
655   832
656   842
656   953
656   1189
657   1064
657   1095
658   1203
658   1245
659   752
660   396
660   655
660   812
660   1027
660   1068
661   444
661   1121
662   466
662   1139
663   1010
663   1170
663   1211
667   1143
668   684
668   1239
669   626
669   1127
670   823
671   58
671   699
671   762
672   677
672   1013
673   574
673   1246
674   1023
675   38
675   1002
676   1092
677   694
677   767
677   1018
677   1233
678   956
679   1213
680   1003
680   1282
681   1035
681   1049
682   589
683   365
683   943
684   559
684   751
684   769
687   629
687   969
688   616
689   1089
689   1156
690   879
690   1000
690   1282
691   787
692   46
692   947
693   939
693   996
693   1147
696   1041
698   762
698   913
699   28
699   608
700   756
700   808
700   849
700   1119
701   1336
702   1030
702   1349
703   1269
704   748
704   760
704   1140
705   915
706   851
708   860
708   982
708   1062
709   369
709   572
709   1165
709   1339
710   354
710   935
710   1305
711   614
711   721
711   791
711   865
711   1176
711   1326
713   568
713   961
715   840
715   1340
716   814
716   1281
716   1348
718   666
718   964
719   823
719   1113
720   329
720   843
720   916
720   948
720   1004
720   1306
721   795
722   601
722   934
723   591
723   956
723   1144
724   943
725   757
725   1346
726   876
726   1130
727   762
728   1025
728   1219
728   1315
729   654
729   931
729   1011
729   1256
729   1364
730   799
730   865
730   911
730   1200
730   1209
731   810
731   875
731   889
731   1017
731   1269
732   759
732   1166
732   1333
733   848
734   641
734   858
734   935
734   1184
735   355
735   369
735   815
735   1341
736   993
737   751
737   1162
737   1169
737   1189
738   1085
738   1135
739   841
739   900
739   1252
739   1277
740   857
740   912
740   1111
741   752
741   853
742   747
742   934
744   742
745   332
745   1166
745   1337
746   570
746   673
747   899
747   954
748   661
748   721
748   1348
749   587
749   1143
749   1353
750   362
753   845
754   743
755   1079
755   1434
756   966
758   788
758   916
758   955
758   1489
759   564
759   700
759   810
759   862
760   353
760   934
760   1226
761   556
761   1397
762   687
762   1265
764   779
764   910
765   579
765   650
766   678
766   872
767   1527
768   0
768   683
768   1341
769   657
769   1272
770   891
771   909
771   1241
772   363
772   568
772   943
772   988
773   7
773   937
774   896
774   1184
775   549
775   771
775   869
776   650
777   631
777   803
778   736
778   1290
779   378
779   1039
779   1285
779   1316
779   1325
781   357
781   692
782   552
782   1354
783   363
783   836
784   383
784   1331
785   42
785   582
785   727
785   828
785   1356
787   323
787   360
787   646
787   954
787   979
788   874
788   1336
789   1301
789   1361
790   649
790   729
790   836
791   1324
791   1899
792   534
793   361
793   960
793   1034
793   1308
793   1359
794   0
794   357
794   917
794   1297
794   1353
795   578
795   806
795   1337
796   440
796   587
796   1320
797   615
797   939
797   1313
798   522
799   679
800   512
800   1237
800   1288
800   1363
800   1374
801   574
801   726
801   1279
802   809
803   402
803   665
803   1334
804   540
804   720
805   1408
806   574
806   933
