# Filename: BNI1-640nm_416_ctrl_001.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X     CLUSTER_ID
0     1113  -1
49    1445  -1
55    1057  -1
68    1060  -1
82    1109  -1
88    888   -1
111   909   -1
124   1403  -1
143   1168  -1
190   1481  -1
230   1504  -1
232   949   -1
237   379   -1
244   1057  -1
259   1104  -1
271   916   -1
274   1076  -1
281   887   -1
282   221   -1
283   271   -1
300   961   -1
302   879   -1
332   890   -1
353   1699  -1
369   422   -1
404   438   -1
438   1697  -1
446   1821  -1
450   419   -1
455   1022  -1
471   945   -1
476   1660  -1
487   1664  -1
492   22    -1
506   939   -1
509   656   -1
535   629   -1
535   1068  -1
535   1177  -1
536   840   -1
538   1602  -1
539   1043  -1
540   852   -1
551   1139  -1
556   1017  -1
556   1132  -1
559   1369  -1
563   1610  -1
571   936   -1
575   786   -1
576   857   -1
576   1603  -1
578   521   -1
579   248   -1
579   709   -1
580   701   -1
580   1604  -1
582   990   -1
584   865   -1
585   597   -1
585   1601  -1
588   895   -1
590   244   -1
592   975   -1
595   951   -1
599   585   -1
600   381   -1
600   842   -1
601   772   -1
607   833   -1
608   960   -1
609   179   -1
609   756   -1
611   889   -1
611   934   -1
613   827   -1
614   884   -1
616   869   -1
616   1025  -1
617   693   -1
617   996   -1
618   1343  -1
620   860   -1
620   1089  -1
623   990   -1
625   890   -1
626   902   -1
629   1335  -1
630   603   -1
633   914   -1
637   605   -1
639   830   -1
643   102   -1
644   814   -1
645   864   -1
646   644   -1
649   628   -1
649   1136  -1
652   298   -1
652   836   -1
653   808   -1
653   1336  -1
657   1320  -1
662   1336  -1
663   920   -1
669   923   -1
669   1139  -1
672   898   -1
673   1121  -1
673   1321  -1
674   907   -1
675   870   -1
677   819   -1
677   1325  -1
678   916   -1
683   883   -1
685   837   -1
689   1120  -1
690   847   -1
691   1752  -1
692   1320  -1
696   855   -1
697   954   -1
700   774   -1
701   720   -1
709   842   -1
712   1003  -1
716   1537  -1
717   854   -1
719   752   -1
721   1547  -1
722   931   -1
724   1126  -1
725   685   -1
725   818   -1
730   892   -1
730   915   -1
733   843   -1
736   1742  -1
738   865   -1
738   911   -1
739   1723  -1
740   1538  -1
741   794   -1
741   801   -1
741   915   -1
741   964   -1
742   711   -1
744   1794  -1
745   644   -1
745   777   -1
745   980   -1
748   1030  -1
749   721   -1
750   752   -1
753   912   -1
756   689   -1
756   923   -1
757   849   -1
758   979   -1
760   695   -1
761   907   -1
761   1478  -1
763   603   -1
763   1739  -1
763   1925  -1
765   1523  -1
766   826   -1
768   849   -1
769   1766  -1
770   1087  -1
772   608   -1
772   725   -1
772   1550  -1
773   861   -1
773   903   -1
774   916   -1
775   898   -1
776   953   -1
777   787   -1
778   822   -1
780   612   -1
780   818   -1
782   713   -1
783   793   -1
783   807   -1
783   914   -1
784   633   -1
785   644   -1
786   860   -1
786   1445  -1
786   1744  -1
788   830   -1
789   1656  -1
790   767   -1
790   806   -1
790   876   -1
791   843   -1
792   958   -1
793   883   -1
793   890   -1
793   1643  -1
794   844   -1
794   910   -1
794   925   -1
796   893   -1
797   801   -1
799   772   -1
800   833   -1
800   886   -1
802   768   -1
803   892   -1
803   1320  -1
804   679   -1
805   967   -1
805   1324  -1
806   929   -1
806   1091  -1
808   838   -1
809   1033  -1
812   888   -1
814   751   -1
814   859   -1
814   921   -1
814   1535  -1
814   1659  -1
815   629   -1
815   936   -1
818   736   -1
820   898   -1
821   1102  -1
822   886   -1
822   1956  -1
823   719   -1
825   1850  -1
826   930   -1
826   1505  -1
828   738   -1
829   819   -1
830   901   -1
830   1305  -1
831   904   -1
832   1815  -1
833   654   -1
834   801   -1
834   822   -1
834   1636  -1
837   610   -1
837   1567  -1
839   995   -1
839   1000  -1
841   891   -1
845   804   -1
846   680   -1
846   735   -1
850   1906  -1
851   855   -1
853   970   -1
854   1823  -1
857   1049  -1
858   772   -1
863   1034  -1
863   1860  -1
865   1636  -1
867   1017  -1
869   1073  -1
871   747   -1
871   1893  -1
872   1531  -1
875   799   -1
878   754   -1
882   1008  -1
885   747   -1
885   1442  -1
885   1633  -1
886   101   -1
887   626   -1
887   1437  -1
891   1439  -1
892   1585  -1
893   730   -1
893   735   -1
897   738   -1
897   817   -1
898   613   -1
898   1804  -1
899   1423  -1
902   1790  -1
903   969   -1
905   949   -1
906   1605  -1
907   586   -1
907   1564  -1
908   1294  -1
910   1569  -1
912   534   -1
913   1805  -1
914   424   -1
914   607   -1
916   429   -1
919   599   -1
919   1548  -1
921   457   -1
925   443   -1
926   460   -1
926   1009  -1
928   401   -1
928   404   -1
932   408   -1
933   443   -1
933   1524  -1
935   1402  -1
935   1519  -1
936   1003  -1
940   398   -1
940   423   -1
940   705   -1
943   437   -1
943   1690  -1
944   416   -1
944   1380  -1
945   1497  -1
947   762   -1
948   1207  -1
949   404   -1
949   842   -1
951   1516  -1
952   431   -1
952   1668  -1
954   834   -1
955   926   -1
956   410   -1
957   388   -1
957   689   -1
957   693   -1
960   1794  -1
963   374   -1
963   759   -1
964   1799  -1
965   351   -1
965   401   -1
966   1615  -1
967   1373  -1
968   1498  -1
968   1812  -1
969   1556  -1
970   1672  -1
972   383   -1
972   851   -1
975   374   -1
975   1528  -1
976   1637  -1
976   1641  -1
977   400   -1
977   822   -1
978   931   -1
981   1362  -1
983   815   -1
983   1555  -1
984   1803  -1
986   383   -1
987   662   -1
987   687   -1
988   1536  -1
991   1687  -1
992   1668  -1
994   996   -1
995   1362  -1
995   1634  -1
997   975   -1
998   347   -1
998   1570  -1
999   365   -1
999   1341  -1
999   1651  -1
1000  1630  -1
1002  37    -1
1004  907   -1
1005  309   -1
1005  1623  -1
1007  336   -1
1007  1542  -1
1008  787   -1
1008  1645  -1
1011  843   -1
1012  337   -1
1013  324   -1
1013  1223  -1
1015  315   -1
1016  983   -1
1016  1851  -1
1017  283   -1
1017  553   -1
1017  1567  -1
1018  951   -1
1020  280   -1
1020  1643  -1
1026  1584  -1
1028  889   -1
1031  1778  -1
1032  229   -1
1033  648   -1
1035  2030  -1
1037  624   -1
1038  1626  -1
1040  1617  -1
1044  1599  -1
1048  793   -1
1049  782   -1
1051  1285  -1
1054  609   -1
1055  617   -1
1057  930   -1
1058  855   -1
1060  124   -1
1060  799   -1
1060  902   -1
1067  927   -1
1072  164   -1
1073  659   -1
1074  944   -1
1075  613   -1
1075  851   -1
1077  777   -1
1079  671   -1
1080  687   -1
1082  711   -1
1083  695   -1
1083  806   -1
1084  885   -1
1086  587   -1
1086  665   -1
1087  864   -1
1088  622   -1
1089  1267  -1
1090  720   -1
1094  789   -1
1095  905   -1
1097  614   -1
1098  589   -1
1102  749   -1
1102  769   -1
1102  1648  -1
1103  601   -1
1103  610   -1
1103  671   -1
1103  715   -1
1113  1254  -1
1116  690   -1
1122  1202  -1
1129  594   -1
1131  1187  -1
1131  1217  -1
1135  1230  -1
1141  796   -1
1142  1389  -1
1144  897   -1
1146  557   -1
1146  1262  -1
1147  1333  -1
1151  787   -1
1153  671   -1
1154  884   -1
1155  799   -1
1156  714   -1
1156  1213  -1
1157  673   -1
1158  706   -1
1160  734   -1
1162  925   -1
1165  850   -1
1165  1185  -1
1168  833   -1
1168  895   -1
1172  764   -1
1173  931   -1
1176  633   -1
1176  1233  -1
1179  593   -1
1179  754   -1
1179  888   -1
1181  767   -1
1184  591   -1
1185  792   -1
1185  861   -1
1186  924   -1
1187  960   -1
1191  569   -1
1194  625   -1
1195  867   -1
1198  1263  -1
1199  750   -1
1199  1249  -1
1200  613   -1
1203  567   -1
1204  733   -1
1205  677   -1
1206  568   -1
1206  1266  -1
1207  765   -1
1208  969   -1
1216  542   -1
1218  701   -1
1218  746   -1
1219  851   -1
1219  961   -1
1220  711   -1
1223  633   -1
1223  726   -1
1223  798   -1
1224  746   -1
1227  1258  -1
1231  683   -1
1232  800   -1
1232  850   -1
1232  894   -1
1233  705   -1
1235  530   -1
1236  969   -1
1239  591   -1
1239  614   -1
1239  822   -1
1241  735   -1
1243  807   -1
1243  1215  -1
1246  860   -1
1247  543   -1
1247  562   -1
1252  667   -1
1252  960   -1
1255  885   -1
1257  672   -1
1257  989   -1
1259  584   -1
1259  799   -1
1260  1686  -1
1262  972   -1
1265  328   -1
1267  591   -1
1267  768   -1
1271  569   -1
1272  918   -1
1277  1032  -1
1278  628   -1
1279  1065  -1
1282  696   -1
1283  1058  -1
1284  665   -1
1284  763   -1
1284  912   -1
1286  386   -1
1287  629   -1
1287  794   -1
1287  924   -1
1289  624   -1
1299  718   -1
1301  523   -1
1301  1051  -1
1306  802   -1
1307  821   -1
1307  854   -1
1308  773   -1
1308  916   -1
1308  1056  -1
1315  674   -1
1316  848   -1
1317  633   -1
1317  945   -1
1318  852   -1
1318  1071  -1
1319  638   -1
1321  612   -1
1323  938   -1
1323  1034  -1
1325  766   -1
1325  840   -1
1329  1084  -1
1330  923   -1
1330  1069  -1
1332  763   -1
1333  731   -1
1335  639   -1
1335  952   -1
1336  1028  -1
1339  577   -1
1339  636   -1
1340  490   -1
1341  625   -1
1343  525   -1
1343  774   -1
1344  502   -1
1344  760   -1
1345  1096  -1
1347  766   -1
1348  954   -1
1350  809   -1
1352  360   -1
1352  521   -1
1352  981   -1
1353  429   -1
1353  754   -1
1357  870   -1
1359  850   -1
1361  508   -1
1361  804   -1
1363  867   -1
1366  699   -1
1369  825   -1
1370  492   -1
1370  691   -1
1376  764   -1
1378  650   -1
1378  1100  -1
1380  665   -1
1382  638   -1
1388  849   -1
1389  467   -1
1389  756   -1
1393  1107  -1
1395  778   -1
1396  886   -1
1397  650   -1
1402  878   -1
1407  655   -1
1411  740   -1
1415  625   -1
1415  701   -1
1416  663   -1
1416  767   -1
1416  815   -1
1421  871   -1
1423  684   -1
1425  631   -1
1426  807   -1
1426  1563  -1
1429  777   -1
1431  871   -1
1434  801   -1
1439  248   -1
1439  822   -1
1440  408   -1
1447  1079  -1
1450  882   -1
1462  374   -1
1464  1910  -1
1474  385   -1
1474  1662  -1
1480  816   -1
1483  364   -1
1483  1094  -1
1493  234   -1
1495  326   -1
1496  841   -1
1502  534   -1
1505  214   -1
1508  1125  -1
1513  56    -1
1539  848   -1
1550  838   -1
1550  1988  -1
1552  825   -1
1553  1962  -1
1580  1859  -1
1593  1199  -1
1599  415   -1
1600  1827  -1
1606  1852  -1
1610  1250  -1
1613  317   -1
1622  434   -1
1624  1258  -1
1635  389   -1
1648  315   -1
1663  1806  -1
1693  475   -1
1790  406   -1
2026  739   -1
27    994   -1
35    1135  -1
45    1212  -1
42    1211  -1
176   1490  -1
179   1491  -1
174   1492  -1
194   775   -1
191   774   -1
220   953   -1
218   951   -1
236   869   -1
237   955   -1
271   952   -1
303   222   -1
342   838   -1
372   1819  -1
373   1816  -1
469   435   -1
529   955   -1
528   848   -1
547   1132  -1
546   1129  -1
559   1381  -1
567   892   -1
571   724   -1
578   976   -1
584   976   -1
581   852   -1
584   1155  -1
599   812   -1
617   612   -1
618   770   -1
624   138   -1
625   1070  -1
633   875   -1
656   304   -1
655   1325  -1
673   1375  -1
685   1328  -1
700   1379  -1
704   925   -1
707   998   -1
708   1331  -1
734   925   -1
747   814   -1
760   1045  -1
766   778   -1
767   755   -1
767   1030  -1
773   871   -1
777   748   -1
775   756   -1
778   757   -1
781   949   -1
785   920   -1
786   1328  -1
790   651   -1
790   906   -1
790   780   -1
791   796   -1
798   871   -1
800   842   -1
800   914   -1
800   816   -1
802   800   -1
803   824   -1
810   819   -1
813   854   -1
815   782   -1
818   787   -1
818   903   -1
815   905   -1
816   1051  -1
816   1557  -1
825   943   -1
825   890   -1
827   937   -1
833   940   -1
829   940   -1
829   894   -1
830   611   -1
832   930   -1
838   938   -1
837   1614  -1
838   931   -1
839   934   -1
848   898   -1
844   893   -1
846   907   -1
850   697   -1
849   1520  -1
857   724   -1
859   653   -1
860   1001  -1
861   855   -1
864   664   -1
861   665   -1
864   677   -1
867   835   -1
874   809   -1
875   1576  -1
876   1511  -1
878   629   -1
881   806   -1
885   807   -1
882   797   -1
883   643   -1
885   645   -1
883   753   -1
883   1532  -1
887   636   -1
888   798   -1
892   1511  -1
895   1512  -1
891   1012  -1
891   1430  -1
898   782   -1
904   597   -1
903   1561  -1
910   449   -1
912   737   -1
918   442   -1
919   584   -1
919   1540  -1
925   919   -1
929   1694  -1
930   483   -1
932   791   -1
935   703   -1
934   777   -1
936   390   -1
936   401   -1
939   722   -1
941   749   -1
947   1012  -1
945   1009  -1
948   1008  -1
948   381   -1
951   426   -1
952   420   -1
961   389   -1
961   683   -1
961   997   -1
962   851   -1
968   825   -1
975   379   -1
980   359   -1
989   820   -1
991   1369  -1
993   369   -1
993   657   -1
1000  353   -1
1002  648   -1
1006  929   -1
1010  856   -1
1019  898   -1
1027  878   -1
1028  847   -1
1035  608   -1
1039  1278  -1
1038  258   -1
1041  1357  -1
1038  1357  -1
1042  836   -1
1049  971   -1
1049  1177  -1
1053  705   -1
1053  909   -1
1063  1609  -1
1064  1612  -1
1065  755   -1
1066  854   -1
1071  1627  -1
1073  1818  -1
1075  687   -1
1077  694   -1
1078  862   -1
