# Filename: BNI1-640nm_416_ctrl_004.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X     NUM_PUNCTA    CLUSTER_ID
240   1283  11            0
268   1155  2             1
607   624   5             2
611   625   3             3
628   704   3             4
758   981   2             5
772   389   3             6
868   1219  2             7
874   916   2             8
885   875   2             9
885   826   3             10
886   726   2             11
912   919   3             12
928   1260  2             13
992   673   6             14
1001  294   2             15
1001  1027  2             16
1085  849   2             17
1086  470   2             18
1145  1005  2             19
1153  826   2             20
1175  611   5             21
1181  873   3             22
1187  902   3             23
1211  829   2             24
1239  1445  3             25
1244  937   4             26
1247  1474  2             27
1252  1024  2             28
1248  1028  2             29
1303  730   3             30
1311  1089  2             31
1326  1337  2             32
1334  728   2             33
1431  496   2             34
1454  1195  2             35
1542  681   4             36
1546  1385  2             37
1630  1797  2             38
1667  864   7             39
1754  431   2             40
