# Filename: BNI1-640nm_416_ctrl_007.tif
# Puncta radius (pixels): 1.3888888888888888
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X
6     723
62    866
70    208
206   140
332   1159
339   877
370   662
416   913
440   725
475   1530
483   1061
498   1660
510   891
511   827
513   1060
524   896
526   538
531   784
542   1220
559   780
578   758
580   764
585   1026
593   1741
613   1791
633   1087
636   716
666   1181
709   1135
725   1542
727   704
732   1236
736   655
737   829
737   1451
739   1268
756   1332
757   698
759   1158
763   1344
764   763
767   667
769   1285
773   594
782   922
783   704
784   593
788   1261
794   469
797   675
800   1216
801   1199
818   345
822   479
825   1238
836   1236
838   998
842   704
847   1240
856   503
871   148
875   831
880   705
881   834
882   838
885   1044
896   1300
899   771
902   345
908   704
913   1092
914   701
922   1313
923   1109
943   1281
954   913
965   1306
969   1123
973   845
983   1124
986   864
987   1136
995   348
995   1510
998   1363
998   1475
999   924
1003  961
1009  957
1013  1381
1017  862
1017  998
1024  850
1028  1082
1033  852
1034  864
1034  988
1036  997
1038  966
1040  378
1041  1069
1043  1046
1064  957
1066  1030
1070  829
1072  1199
1077  927
1077  1068
1079  1143
1087  1233
1089  990
1091  1086
1095  1385
1111  1054
1112  412
1126  960
1130  1005
1153  395
1177  1076
1178  835
1178  992
1196  1024
1214  1209
1229  1262
1238  562
1249  1206
1254  899
1257  894
1264  992
1276  1362
1289  1353
1290  444
1302  1268
1305  986
1310  876
1310  1275
1311  1313
1316  1318
1321  802
1321  1309
1334  1145
1335  432
1337  1174
1341  931
1347  831
1348  1102
1355  903
1366  1284
1369  829
1375  902
1387  922
1388  712
1388  785
1389  1149
1401  763
1406  799
1419  314
1424  795
1429  1287
1431  746
1439  700
1447  772
1451  1206
1454  851
1456  749
1457  864
1457  1158
1460  832
1465  824
1466  803
1466  811
1468  749
1468  1254
1475  1549
1479  1101
1484  1173
1485  1099
1497  1356
1520  1161
1528  1046
1540  1155
1559  1088
1566  1094
1569  962
1570  1417
1600  1194
1658  884
1685  793
1699  951
1724  233
1796  962
1845  1317
1856  1260
1901  798
1904  794
1907  802
1915  1270
1921  1477
1931  1432
1951  1733
