# Filename: CLN3-561nm_416_ctrl_005.tif
# Puncta radius (pixels): 1.3888888888888888
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X
68    731
72    484
79    490
82    1220
90    421
92    480
99    447
100   410
101   488
104   1217
121   1098
124   516
124   1081
126   339
126   493
133   1096
134   1156
137   1134
142   766
142   1101
143   1009
144   1470
149   983
150   1040
152   997
169   1481
170   997
170   1002
175   1383
189   168
194   1480
196   1365
196   1399
198   1417
199   1067
201   967
204   547
210   1279
213   478
214   1140
216   490
219   199
220   1071
222   1122
223   1506
225   156
227   190
231   976
231   1531
232   274
234   214
235   489
236   1386
237   506
237   1419
238   1551
240   150
240   1523
241   176
241   205
242   142
243   1720
243   1742
245   991
245   1368
246   282
246   519
246   1397
246   1680
247   99
247   1508
249   178
251   1355
252   189
252   1581
253   1510
254   1377
256   278
258   229
258   1575
260   1607
262   1582
264   565
264   1613
264   1644
265   1350
266   523
266   580
266   1390
267   267
268   1585
269   1285
269   1304
270   1543
270   1646
271   173
271   1350
271   1635
272   1578
275   225
276   1272
278   183
279   261
279   1553
279   1658
280   253
280   575
280   1704
280   1746
281   569
282   1342
284   595
284   1632
284   1658
285   1255
285   1763
287   551
288   1300
288   1672
289   1257
290   697
290   1682
291   372
292   581
296   795
297   1398
298   1386
298   1726
303   1365
305   1259
305   1528
306   1391
309   238
311   568
311   592
313   144
313   564
315   1729
316   1666
318   184
318   1342
319   1319
321   174
322   1412
323   1388
324   1637
325   182
325   1622
326   1244
327   702
327   1524
327   1602
328   996
329   1736
333   1663
334   375
334   1265
334   1364
335   217
336   1683
337   1257
338   1252
340   358
341   583
344   170
346   713
347   1391
351   78
354   1236
356   601
356   612
356   1607
358   620
360   629
361   182
363   481
365   1212
366   1605
368   1246
370   380
376   605
377   464
377   627
378   1517
380   1222
380   1367
382   709
382   1646
383   459
384   445
386   612
387   174
390   1683
391   456
392   604
395   657
395   1440
396   1356
397   640
399   292
399   653
399   1338
403   1152
406   677
408   630
408   1172
410   1320
412   654
412   1184
413   631
413   639
414   268
414   328
415   256
415   1419
417   663
419   1352
421   154
421   1096
422   653
423   638
423   1360
425   1140
428   1633
429   141
429   1068
431   643
435   504
439   467
440   1071
440   1115
443   1135
444   1184
445   1191
448   1152
450   1032
455   538
455   1075
459   511
459   1305
460   1122
468   46
471   1064
472   1090
472   1117
473   502
476   1333
480   1350
484   555
486   677
486   1092
488   1333
492   1105
492   1111
492   1321
494   622
496   1122
499   565
499   1105
501   536
502   1116
504   1098
510   574
513   1102
514   295
516   1166
517   554
520   619
523   1303
525   579
525   1143
525   1179
526   1292
527   534
528   593
528   951
528   1134
528   1303
533   616
533   1301
534   1156
534   1169
535   922
536   903
536   1123
540   1302
543   1296
547   1107
548   1274
549   1044
549   1111
553   1078
554   1029
557   311
561   1045
561   1054
565   968
565   1109
565   1268
567   977
567   1159
573   1105
575   1214
576   1038
581   1195
582   1011
583   1018
583   1046
583   1079
584   950
589   1009
589   1099
590   1023
591   1171
595   1181
596   1140
596   1197
597   955
597   1075
600   1226
602   1148
608   996
617   1179
617   1243
618   989
621   1205
623   1038
638   1107
647   1150
650   1062
650   1193
651   1246
652   1013
654   1048
659   999
662   1155
663   1019
663   1230
666   1012
667   1164
667   1218
670   898
670   937
670   1024
673   1183
673   1238
673   1244
677   1079
677   1155
677   1166
677   2035
679   960
679   1005
680   379
681   1156
682   905
682   937
682   1237
683   257
685   1001
685   1132
686   261
686   1048
686   1165
689   315
690   1058
690   1189
691   1268
692   1155
693   1234
694   1069
696   257
696   1047
696   1167
698   978
699   1187
700   1077
706   1050
708   1046
708   1257
709   1034
714   1979
715   1023
715   1075
717   1060
717   1769
719   1972
720   1024
722   1233
723   287
724   1210
725   1053
726   1185
727   994
728   392
728   1204
729   997
729   1889
730   1051
730   1968
731   358
731   1060
731   1080
732   1016
734   1611
735   317
735   1003
736   1241
737   275
737   1620
739   309
739   356
739   985
740   1027
740   1226
740   1255
741   1033
741   1208
741   1573
741   1594
742   1202
742   1245
743   1225
744   1860
745   405
745   1000
745   1110
745   1262
745   1607
746   299
746   1254
746   1590
746   1798
747   387
748   1194
749   1012
749   1034
751   1624
751   1812
751   1892
752   983
753   1599
754   1700
755   1084
755   1204
756   1103
756   1657
757   1092
757   1815
758   987
758   1012
758   1181
761   1005
761   1709
762   994
762   1040
763   1000
763   1213
763   1574
764   1063
765   1718
766   1191
768   1518
769   510
770   210
771   1216
771   1736
772   1223
773   354
773   1713
774   1201
774   1236
777   934
778   1159
778   1204
778   1234
779   710
780   908
780   1190
781   333
782   1514
783   1204
784   912
785   738
786   1249
786   1503
788   1155
790   1256
793   480
793   1035
793   1252
796   1045
797   991
797   1135
798   1490
799   1237
800   841
801   1257
802   1041
802   1118
803   896
804   1239
804   1283
809   940
812   1022
816   799
816   918
817   298
817   310
818   1088
819   1557
820   302
820   913
821   851
822   295
824   305
824   858
824   961
824   1194
825   300
825   898
825   1036
826   1854
827   301
827   1004
827   1866
828   1618
829   997
830   1207
831   312
831   838
833   193
833   987
833   1628
834   1464
835   325
835   1123
835   1192
836   1097
836   1927
837   911
837   974
837   1222
841   1055
842   1190
843   972
844   1597
844   1671
845   901
848   1011
848   1207
848   1864
849   842
849   1228
850   960
851   1534
851   1584
851   1743
851   1873
853   1002
854   1795
854   1959
855   998
855   1080
855   1084
856   941
857   972
857   1153
858   1171
858   1562
858   1886
860   807
860   825
861   1753
861   1966
862   1224
862   1618
863   1700
864   1675
864   1972
865   985
866   1093
867   912
867   1232
867   1239
867   1554
867   1692
868   1212
868   1535
869   1541
869   1681
869   1974
870   1243
872   1091
872   1237
872   1567
873   1100
873   1697
874   1135
874   1229
874   1564
874   1720
877   1200
877   1204
879   969
879   1749
880   475
880   1093
880   1575
880   1964
881   1778
882   1673
883   848
883   865
883   1748
884   1740
884   1953
885   1128
885   1531
885   1796
886   928
886   933
886   947
886   1713
886   1743
888   869
888   920
888   1147
888   1691
888   1765
888   1933
889   848
889   1187
890   1202
891   840
891   1927
892   1718
892   1992
893   971
893   1218
894   57
895   1507
895   1595
896   860
896   1230
898   1077
900   981
901   1083
903   1234
903   1933
904   476
904   1103
904   1219
906   932
906   1045
906   1048
907   838
907   1696
908   975
908   1186
908   1201
909   471
911   1222
912   847
914   887
915   783
915   945
915   1062
915   1167
915   1205
916   956
917   2004
918   55
918   594
920   938
920   1334
921   1671
921   2036
922   1148
922   1181
922   1212
923   1028
924   1052
926   598
926   744
927   728
927   982
930   965
930   970
930   1044
930   1051
930   1160
930   1505
931   49
932   790
933   945
933   1030
935   1144
936   776
937   1645
937   2027
938   1136
938   1845
938   1860
939   1903
939   1908
940   117
940   1041
940   1067
940   1605
941   1838
942   1148
943   1754
944   936
944   984
944   1008
944   1063
944   1160
945   1025
947   1840
947   1976
948   2014
949   916
949   1757
950   2037
952   940
952   1662
953   1053
953   1111
953   1153
954   711
954   977
954   1716
954   1765
955   679
957   1030
959   972
959   1734
960   885
