# Filename: CLN3-561nm_416_ctrl_007.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X     CLUSTER_ID
0     1185  -1
7     907   -1
11    1261  -1
19    1172  -1
19    1242  -1
20    1293  -1
21    1253  -1
21    1271  -1
25    1308  -1
31    872   -1
31    1438  -1
43    1048  -1
55    1014  -1
55    1442  -1
56    966   -1
62    1022  -1
71    983   -1
73    1621  -1
79    1051  -1
87    723   -1
89    1942  -1
93    1316  -1
95    1435  -1
99    1817  -1
102   1031  -1
103   998   -1
104   1725  -1
104   1949  -1
114   1015  -1
118   551   -1
118   1319  -1
120   1027  -1
120   1205  -1
123   1020  -1
127   1206  -1
134   1008  -1
136   1029  -1
136   1069  -1
136   1175  -1
138   738   -1
144   1059  -1
146   1052  -1
147   579   -1
149   985   -1
154   1186  -1
154   1953  -1
158   919   -1
160   977   -1
162   589   -1
162   1078  -1
167   920   -1
168   745   -1
175   1319  -1
176   1312  -1
180   1018  -1
183   1315  -1
185   1114  -1
192   964   -1
194   1026  -1
194   1150  -1
195   1071  -1
197   1313  -1
197   1316  -1
210   952   -1
210   1083  -1
211   1468  -1
213   1099  -1
215   936   -1
219   753   -1
219   1096  -1
221   1055  -1
228   1029  -1
228   1040  -1
230   1174  -1
232   1167  -1
238   1160  -1
239   1136  -1
246   1196  -1
255   747   -1
260   1200  -1
265   989   -1
267   993   -1
269   1123  -1
271   1014  -1
274   997   -1
275   729   -1
277   724   -1
277   973   -1
277   1025  -1
285   811   -1
286   977   -1
289   972   -1
290   820   -1
298   808   -1
300   825   -1
300   1118  -1
301   1082  -1
302   843   -1
306   897   -1
306   1028  -1
308   1223  -1
310   1027  -1
313   1085  -1
315   820   -1
323   810   -1
324   908   -1
326   912   -1
327   1084  -1
327   1168  -1
327   1217  -1
328   1033  -1
329   1129  -1
329   1136  -1
339   885   -1
341   988   -1
348   1128  -1
349   1173  -1
353   900   -1
353   1042  -1
354   1200  -1
356   1163  -1
357   1065  -1
359   674   -1
359   997   -1
363   911   -1
364   1074  -1
365   644   -1
365   1223  -1
372   622   -1
372   1046  -1
372   1092  -1
373   782   -1
375   982   -1
377   1014  -1
378   752   -1
380   1044  -1
381   729   -1
383   952   -1
385   1130  -1
387   1224  -1
388   952   -1
388   968   -1
393   1057  -1
395   1003  -1
403   979   -1
404   582   -1
404   1257  -1
407   999   -1
408   907   -1
412   765   -1
420   913   -1
422   755   -1
427   1190  -1
428   927   -1
434   570   -1
434   1036  -1
434   1191  -1
438   904   -1
438   1103  -1
439   1186  -1
455   1539  -1
459   1248  -1
472   945   -1
476   1008  -1
478   844   -1
483   1061  -1
484   1131  -1
490   959   -1
496   1046  -1
500   942   -1
507   1000  -1
509   890   -1
514   1038  -1
518   976   -1
524   897   -1
524   978   -1
524   1012  -1
531   712   -1
535   1041  -1
544   539   -1
547   887   -1
555   934   -1
557   531   -1
559   185   -1
560   1049  -1
564   944   -1
570   179   -1
571   519   -1
571   1333  -1
573   188   -1
573   1030  -1
581   943   -1
584   1324  -1
585   182   -1
586   1255  -1
586   1338  -1
587   783   -1
587   959   -1
596   167   -1
599   928   -1
599   1063  -1
599   1301  -1
599   1868  -1
602   158   -1
604   168   -1
606   1239  -1
607   893   -1
614   171   -1
614   900   -1
614   1191  -1
615   1212  -1
620   1815  -1
623   534   -1
624   990   -1
627   733   -1
629   1511  -1
631   1247  -1
634   908   -1
635   716   -1
635   1295  -1
635   1428  -1
636   1946  -1
637   1417  -1
638   1511  -1
639   1244  -1
639   1404  -1
640   986   -1
640   1294  -1
641   678   -1
641   1232  -1
642   1066  -1
645   1220  -1
645   1413  -1
646   1199  -1
647   904   -1
652   951   -1
653   683   -1
653   1262  -1
654   888   -1
654   1132  -1
657   1140  -1
658   1453  -1
659   1205  -1
659   1362  -1
660   1136  -1
660   1288  -1
661   884   -1
661   948   -1
662   1127  -1
663   1439  -1
664   1312  -1
665   1332  -1
666   960   -1
666   1367  -1
666   1458  -1
667   1902  -1
669   1216  -1
673   1223  -1
673   1292  -1
675   1330  -1
676   1455  -1
677   979   -1
678   1141  -1
678   1214  -1
678   1299  -1
678   1353  -1
679   673   -1
679   1236  -1
679   1541  -1
680   1161  -1
680   1358  -1
682   1295  -1
682   1880  -1
683   926   -1
684   1457  -1
685   1226  -1
685   1294  -1
685   1462  -1
686   906   -1
688   1132  -1
688   1329  -1
689   1315  -1
693   531   -1
693   904   -1
693   1528  -1
693   1944  -1
694   1284  -1
695   1233  -1
697   1369  -1
697   1471  -1
697   1904  -1
699   1154  -1
699   1290  -1
699   1465  -1
701   119   -1
701   675   -1
702   666   -1
702   1951  -1
704   1232  -1
706   1363  -1
707   676   -1
707   1204  -1
708   1269  -1
709   1246  -1
709   1947  -1
711   1232  -1
711   1924  -1
712   1290  -1
713   1247  -1
713   1256  -1
714   1517  -1
716   1097  -1
717   765   -1
719   695   -1
719   1450  -1
721   925   -1
721   1291  -1
721   1468  -1
722   1342  -1
723   1190  -1
723   1308  -1
723   1544  -1
724   1958  -1
725   1025  -1
725   1541  -1
726   1253  -1
727   1113  -1
728   1290  -1
730   1095  -1
733   1105  -1
734   158   -1
734   1283  -1
735   866   -1
735   1181  -1
736   1247  -1
737   153   -1
737   175   -1
738   1335  -1
740   1542  -1
741   1264  -1
743   1986  -1
745   1451  -1
746   623   -1
747   869   -1
747   1054  -1
747   1264  -1
747   1278  -1
748   1167  -1
748   1307  -1
749   126   -1
750   1028  -1
751   893   -1
751   1084  -1
751   1117  -1
752   868   -1
753   1054  -1
754   141   -1
755   1988  -1
757   1282  -1
758   1067  -1
758   1276  -1
759   890   -1
761   1013  -1
761   1088  -1
761   1536  -1
762   977   -1
763   992   -1
766   870   -1
767   1050  -1
767   1093  -1
769   467   -1
769   2000  -1
770   865   -1
770   1016  -1
771   110   -1
771   114   -1
771   1042  -1
772   819   -1
773   852   -1
774   990   -1
775   586   -1
776   995   -1
776   1329  -1
778   328   -1
779   971   -1
780   1109  -1
780   1304  -1
784   2027  -1
786   936   -1
786   1031  -1
786   1335  -1
787   883   -1
787   1043  -1
787   1060  -1
788   988   -1
788   2022  -1
790   455   -1
790   1067  -1
791   1027  -1
791   1098  -1
792   1080  -1
794   841   -1
795   946   -1
795   1173  -1
795   1180  -1
796   833   -1
797   795   -1
798   1519  -1
799   107   -1
799   1444  -1
800   645   -1
800   890   -1
801   1177  -1
802   795   -1
802   1004  -1
802   1331  -1
803   670   -1
804   828   -1
804   868   -1
805   895   -1
805   1076  -1
807   811   -1
808   1466  -1
810   1331  -1
811   1545  -1
812   825   -1
812   903   -1
812   969   -1
812   1345  -1
813   914   -1
815   661   -1
817   587   -1
817   1555  -1
818   931   -1
818   1539  -1
819   777   -1
820   989   -1
820   992   -1
820   1233  -1
825   1240  -1
827   698   -1
827   1106  -1
828   1305  -1
829   845   -1
829   922   -1
830   869   -1
830   884   -1
830   1021  -1
831   896   -1
832   1240  -1
834   853   -1
835   795   -1
838   1274  -1
839   594   -1
840   781   -1
840   834   -1
844   1449  -1
844   1552  -1
846   1250  -1
848   1170  -1
853   1278  -1
854   870   -1
854   943   -1
854   1210  -1
856   890   -1
856   1155  -1
858   1232  -1
859   482   -1
859   946   -1
860   1043  -1
861   1487  -1
862   1196  -1
863   954   -1
863   1129  -1
863   1307  -1
863   1449  -1
863   1455  -1
864   988   -1
865   1481  -1
869   1124  -1
869   1175  -1
870   1161  -1
873   276   -1
874   693   -1
875   909   -1
875   1157  -1
875   1437  -1
877   1453  -1
880   1146  -1
881   1254  -1
882   1100  -1
882   1361  -1
885   1386  -1
886   1556  -1
887   70    -1
887   1208  -1
888   92    -1
888   901   -1
889   919   -1
890   793   -1
890   1104  -1
891   907   -1
893   1120  -1
899   1150  -1
902   347   -1
902   868   -1
904   64    -1
905   1182  -1
907   73    -1
908   590   -1
909   1018  -1
911   1201  -1
911   1239  -1
912   1188  -1
912   1545  -1
915   1212  -1
919   952   -1
919   1214  -1
921   1221  -1
924   887   -1
926   1085  -1
928   64    -1
928   309   -1
931   1193  -1
931   1353  -1
935   1041  -1
935   1466  -1
938   1146  -1
940   1158  -1
941   1151  -1
941   1176  -1
944   346   -1
945   817   -1
946   1153  -1
947   647   -1
950   1178  -1
953   71    -1
953   827   -1
953   1132  -1
953   1294  -1
954   909   -1
956   1314  -1
958   65    -1
961   1185  -1
963   1233  -1
964   698   -1
967   1128  -1
969   1087  -1
971   82    -1
970   904   -1
970   914   -1
970   1073  -1
973   1356  -1
976   1168  -1
980   897   -1
981   1055  -1
983   80    -1
986   721   -1
989   880   -1
991   1419  -1
993   75    -1
994   738   -1
995   1515  -1
997   55    -1
997   1475  -1
1001  1103  -1
1003  78    -1
1004  1409  -1
1005  893   -1
1007  905   -1
1012  61    -1
1012  280   -1
1012  1095  -1
1017  1134  -1
1018  790   -1
1020  1108  -1
1021  57    -1
1022  1129  -1
1023  1055  -1
1023  1288  -1
1023  1348  -1
1024  1060  -1
1028  994   -1
1029  1039  -1
1031  1021  -1
1038  58    -1
1038  1240  -1
1039  360   -1
1043  1075  -1
1046  1088  -1
1048  1272  -1
1051  1369  -1
1055  982   -1
1059  53    -1
1064  957   -1
1064  1767  -1
1067  920   -1
1068  965   -1
1068  1036  -1
1069  70    -1
1069  905   -1
1070  368   -1
1070  1068  -1
1070  1081  -1
1073  1105  -1
1074  911   -1
1074  1013  -1
1075  997   -1
1077  1071  -1
1079  955   -1
1082  1100  -1
1089  1343  -1
1092  1572  -1
1094  371   -1
1096  890   -1
1118  44    -1
1118  1195  -1
1131  1186  -1
1132  68    -1
1136  60    -1
1143  47    -1
1144  2     -1
1144  1191  -1
1146  56    -1
1156  1083  -1
1165  37    -1
1173  3     -1
1184  14    -1
1187  1018  -1
1207  1218  -1
1218  1281  -1
1232  1234  -1
1250  201   -1
1255  1241  -1
1256  1284  -1
1257  425   -1
1257  894   -1
1273  182   -1
1281  1344  -1
1286  1323  -1
1293  847   -1
1294  185   -1
1295  1319  -1
1300  198   -1
1306  191   -1
1307  202   -1
1311  193   -1
1312  889   -1
1324  1009  -1
1327  190   -1
1332  992   -1
1332  1080  -1
1334  1007  -1
1336  1085  -1
1337  1040  -1
1341  932   -1
1341  1035  -1
1341  1100  -1
1344  1078  -1
1345  981   -1
1346  1119  -1
1348  907   -1
1348  1059  -1
1349  210   -1
1352  944   -1
1355  217   -1
1358  952   -1
1359  1046  -1
1364  463   -1
1369  940   -1
1373  904   -1
1375  1457  -1
1379  1158  -1
1380  220   -1
1380  920   -1
1384  892   -1
1390  222   -1
1396  1445  -1
1400  1088  -1
1403  894   -1
1403  1602  -1
1411  840   -1
1412  213   -1
1414  850   -1
1417  898   -1
1429  794   -1
1430  698   -1
1430  833   -1
1438  1065  -1
1450  739   -1
1454  1451  -1
1455  1104  -1
1456  865   -1
1456  911   -1
1457  716   -1
1458  1133  -1
1459  722   -1
1459  754   -1
1460  747   -1
1460  832   -1
1463  1246  -1
1467  844   -1
1469  766   -1
1469  1554  -1
1470  1109  -1
1471  741   -1
1472  1234  -1
1473  861   -1
1474  1217  -1
1476  257   -1
1476  778   -1
1477  326   -1
1477  1150  -1
1478  299   -1
1478  735   -1
1478  756   -1
1478  1547  -1
1479  320   -1
1480  291   -1
1480  1544  -1
1483  788   -1
1484  292   -1
1484  853   -1
1485  1116  -1
1487  1120  -1
1488  323   -1
1489  736   -1
1493  1113  -1
1493  1399  -1
1496  727   -1
1497  1110  -1
1497  1498  -1
1500  1406  -1
1501  1198  -1
1502  332   -1
1502  848   -1
1506  1484  -1
1507  1014  -1
1507  1466  -1
1509  1114  -1
1510  729   -1
1510  841   -1
1514  1072  -1
1514  1109  -1
1515  840   -1
1517  1057  -1
1518  830   -1
1519  372   -1
1520  845   -1
1521  838   -1
1525  949   -1
1526  831   -1
1526  939   -1
1528  1109  -1
1530  1019  -1
1531  1129  -1
1534  864   -1
1538  916   -1
1540  835   -1
1540  1147  -1
1542  1020  -1
1544  941   -1
1545  1619  -1
1547  843   -1
1548  959   -1
1548  1306  -1
1550  1020  -1
1554  1137  -1
1555  843   -1
1561  882   -1
1561  1116  -1
1571  1486  -1
1572  1006  -1
1573  858   -1
1574  1033  -1
1576  948   -1
1578  1355  -1
1579  1485  -1
1582  872   -1
1582  1112  -1
1583  1297  -1
1585  1116  -1
1586  947   -1
1587  974   -1
1587  1159  -1
1589  960   -1
1589  990   -1
1589  1124  -1
1590  947   -1
1590  1145  -1
1592  869   -1
1592  879   -1
1594  890   -1
1594  2036  -1
