# Filename: CLN3-561nm_416_ctrl_010.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X     NUM_PUNCTA    CLUSTER_ID
671   1142  2             0
796   876   2             1
807   1387  2             2
936   755   2             3
1205  35    2             4
1713  500   2             5
1765  1018  2             6
61    1703  2             7
144   1171  3             8
292   215   2             9
377   201   2             10
377   928   2             11
411   1016  2             12
407   1015  2             13
412   1009  3             14
421   706   2             15
429   714   2             16
441   811   2             17
517   921   2             18
538   891   2             19
541   902   2             20
550   1448  2             21
554   1416  2             22
556   873   2             23
567   1199  2             24
569   1177  2             25
574   1028  2             26
583   812   2             27
589   869   2             28
594   1179  2             29
604   809   2             30
608   646   4             31
648   1074  2             32
656   1074  2             33
659   466   2             34
664   480   2             35
672   835   2             36
676   1043  2             37
679   602   2             38
680   632   2             39
682   890   2             40
685   915   2             41
687   617   2             42
691   1408  2             43
696   592   2             44
702   961   2             45
705   565   5             46
708   531   2             47
709   595   2             48
715   985   2             49
720   937   2             50
726   545   2             51
729   747   2             52
730   1930  3             53
735   847   2             54
740   868   5             55
740   872   3             56
744   866   2             57
740   1012  2             58
746   553   2             59
750   941   4             60
756   1169  4             61
757   1052  2             62
761   1942  2             63
768   197   2             64
769   834   3             65
769   846   2             66
771   1403  7             67
771   860   2             68
771   947   2             69
779   897   2             70
791   782   2             71
793   917   2             72
793   1026  2             73
793   1158  2             74
799   942   2             75
800   966   3             76
800   818   2             77
804   832   2             78
815   1203  2             79
818   1283  2             80
820   540   2             81
821   687   2             82
824   1141  2             83
826   945   2             84
826   1181  2             85
830   1109  2             86
831   1010  2             87
833   805   2             88
835   1218  2             89
837   854   2             90
840   553   2             91
840   681   2             92
842   1022  2             93
842   928   2             94
843   723   2             95
845   903   2             96
845   1135  2             97
849   1246  2             98
851   969   2             99
854   804   2             100
855   924   2             101
858   729   2             102
862   1160  2             103
868   769   2             104
870   668   2             105
877   1380  2             106
878   956   2             107
880   719   3             108
882   732   2             109
882   1149  2             110
883   907   2             111
887   1394  2             112
893   904   2             113
895   690   2             114
906   811   2             115
902   1170  2             116
909   507   2             117
910   920   2             118
911   1920  2             119
914   919   2             120
915   703   2             121
921   998   2             122
924   673   2             123
928   772   2             124
928   828   2             125
929   1344  4             126
930   224   3             127
931   776   2             128
932   743   2             129
934   587   2             130
933   922   2             131
934   1105  2             132
936   772   2             133
938   1142  2             134
938   761   2             135
938   1204  2             136
939   1404  2             137
950   860   2             138
949   1282  2             139
953   727   3             140
955   578   2             141
959   840   2             142
958   1164  2             143
962   713   2             144
965   804   2             145
965   766   2             146
965   972   2             147
967   726   2             148
967   851   2             149
969   632   2             150
969   974   2             151
970   1111  2             152
970   1220  2             153
972   757   5             154
972   227   2             155
971   704   2             156
971   1327  2             157
974   716   2             158
974   769   2             159
976   1158  11            160
975   1244  2             161
976   860   2             162
976   882   2             163
977   837   2             164
977   865   2             165
980   805   2             166
982   880   2             167
982   1153  2             168
985   698   2             169
985   854   2             170
985   1053  2             171
988   1037  2             172
989   1050  2             173
987   1165  2             174
989   596   2             175
991   628   2             176
991   768   2             177
991   576   2             178
994   694   2             179
995   606   2             180
995   616   2             181
995   685   2             182
994   1000  2             183
994   1180  2             184
996   1263  7             185
997   880   2             186
1003  1135  2             187
1003  913   2             188
1003  943   2             189
1009  891   2             190
1008  1135  2             191
1014  1130  2             192
1023  917   2             193
1024  1383  2             194
1032  1209  2             195
1033  897   2             196
1036  763   2             197
1037  818   2             198
1045  807   3             199
1044  816   2             200
1046  790   4             201
1047  1223  2             202
1048  845   2             203
1052  864   2             204
1055  834   2             205
1059  1035  2             206
1059  1228  2             207
1059  1063  2             208
1059  1321  2             209
1067  314   2             210
1068  975   2             211
1069  781   2             212
1084  899   2             213
1083  1234  2             214
1091  1238  3             215
1095  1023  2             216
1096  1215  2             217
1098  930   2             218
1100  1073  2             219
1100  1165  2             220
1103  993   2             221
1104  913   2             222
1105  1357  2             223
1114  603   2             224
1113  1382  2             225
1120  309   2             226
1124  880   2             227
1127  1303  2             228
1128  870   2             229
1131  998   2             230
1142  961   2             231
1143  918   2             232
1143  926   2             233
1143  1010  2             234
1145  826   2             235
1146  1163  2             236
1152  1367  4             237
1157  647   2             238
1157  1251  2             239
1157  1177  2             240
1170  1006  2             241
1174  998   2             242
1187  1151  2             243
1193  1233  2             244
1197  1350  2             245
1202  1089  2             246
1203  40    2             247
1206  598   2             248
1208  1152  2             249
1214  1252  2             250
1219  585   2             251
1221  1183  3             252
1226  1267  2             253
1232  41    4             254
1243  1650  2             255
1247  643   2             256
1253  1236  2             257
1252  1267  2             258
1252  1346  2             259
1256  1179  2             260
1270  1207  2             261
1270  1242  2             262
1270  680   2             263
1273  1015  2             264
1273  1245  2             265
1276  1233  2             266
1277  1959  2             267
1284  205   18            268
1285  1859  2             269
1289  540   2             270
1307  1770  6             271
1322  546   5             272
1332  1419  2             273
1355  1626  2             274
1355  1615  2             275
1368  620   2             276
1415  325   2             277
1421  1884  2             278
1441  1096  2             279
1441  1121  5             280
1448  1205  2             281
1467  1291  2             282
1497  1251  2             283
1519  1254  2             284
1521  1247  2             285
1574  1178  2             286
1636  1271  2             287
1640  1272  2             288
1641  753   2             289
1683  1035  5             290
1678  1036  5             291
1699  1258  3             292
1701  1033  2             293
1709  1715  3             294
1768  955   4             295
1791  1250  3             296
