# Filename: BNI1-640nm_ctrl_pfa_001.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X     NUM_PUNCTA    CLUSTER_ID
631   1339  2             0
1342  896   2             1
343   1449  3             2
407   788   2             3
530   1416  2             4
574   1734  2             5
707   1477  2             6
761   1257  4             7
762   1512  3             8
763   1143  2             9
773   489   2             10
774   1160  5             11
774   1296  2             12
788   1149  2             13
800   1302  3             14
802   1309  2             15
810   495   2             16
815   1301  2             17
827   468   2             18
828   1176  3             19
830   479   2             20
830   1386  2             21
845   1111  3             22
848   1120  2             23
850   1045  2             24
853   1140  3             25
856   862   2             26
861   924   2             27
862   1295  3             28
871   1226  2             29
879   1480  2             30
881   1364  2             31
890   918   2             32
895   1428  2             33
898   1167  2             34
903   823   3             35
904   753   2             36
906   1540  3             37
907   847   2             38
917   985   4             39
922   1472  3             40
934   1268  2             41
938   1087  2             42
938   1448  2             43
940   1036  3             44
943   667   4             45
954   1069  2             46
954   1317  3             47
956   1082  2             48
955   684   2             49
955   1484  2             50
958   1297  2             51
958   707   2             52
962   998   2             53
962   1073  2             54
965   1474  3             55
970   1128  2             56
972   1007  2             57
974   1056  2             58
978   1191  4             59
976   1029  2             60
976   1041  2             61
979   647   2             62
978   1303  2             63
980   1154  2             64
982   991   2             65
984   600   2             66
985   1370  2             67
994   679   2             68
996   1195  2             69
998   446   3             70
998   1283  2             71
1002  1122  2             72
1006  474   2             73
1008  1052  3             74
1009  527   2             75
1009  1127  2             76
1009  1203  2             77
1016  1346  2             78
1017  511   3             79
1018  591   2             80
1022  560   4             81
1023  1069  2             82
1022  595   2             83
1026  497   3             84
1026  1316  2             85
1027  990   2             86
1029  563   2             87
1029  1225  2             88
1030  389   2             89
1031  568   2             90
1031  358   2             91
1035  1239  2             92
1039  912   2             93
1041  341   4             94
1040  413   2             95
1041  470   2             96
1040  1211  2             97
1045  490   2             98
1047  1128  2             99
1049  952   2             100
1055  1068  2             101
1055  992   2             102
1058  1145  2             103
1062  841   2             104
1066  589   2             105
1067  989   2             106
1069  631   2             107
1071  1263  2             108
1071  1099  2             109
1074  1381  2             110
1075  874   2             111
1083  991   3             112
1087  1086  2             113
1090  887   2             114
1091  901   2             115
1096  984   2             116
1093  1301  2             117
1096  880   2             118
1097  838   2             119
1097  1046  2             120
1096  1102  2             121
1100  1133  4             122
1098  1163  2             123
1103  1151  2             124
1104  821   2             125
1105  864   2             126
1108  1378  4             127
1107  1162  2             128
1108  1204  2             129
1111  943   2             130
1111  1109  2             131
1111  1310  2             132
1113  784   4             133
1112  1088  2             134
1115  1119  2             135
1118  903   2             136
1120  1272  2             137
1130  1089  2             138
1131  1184  2             139
1143  928   3             140
1143  943   2             141
1145  878   2             142
1152  914   2             143
1150  983   2             144
1151  1172  6             145
1153  1153  2             146
1156  947   2             147
1165  1163  2             148
1170  907   2             149
1174  1157  2             150
1174  1144  2             151
1174  1213  2             152
1175  1364  2             153
1176  1131  2             154
1177  808   2             155
1179  917   3             156
1182  922   3             157
1189  813   2             158
1194  901   2             159
1194  1186  2             160
1194  944   2             161
1213  929   2             162
1214  1189  2             163
1226  827   2             164
1226  857   2             165
1229  961   2             166
1229  862   2             167
1236  793   2             168
1236  1170  2             169
1236  1505  2             170
1242  934   2             171
1244  1144  2             172
1251  939   4             173
1252  934   2             174
1251  1158  2             175
1252  878   2             176
1262  900   2             177
1279  935   2             178
1293  855   2             179
1297  793   2             180
1297  966   2             181
1303  907   3             182
1303  972   2             183
1307  933   2             184
1306  959   2             185
1310  1031  2             186
1311  701   2             187
1313  962   5             188
1318  920   3             189
1321  868   2             190
1323  894   2             191
1323  818   2             192
1329  839   6             193
1327  879   4             194
1329  594   2             195
1330  952   2             196
1333  834   2             197
1337  910   2             198
1340  646   2             199
1346  724   2             200
1345  753   2             201
1385  955   2             202
1397  722   2             203
1404  700   2             204
1419  682   4             205
1421  934   2             206
1513  804   2             207
