# Filename: BNI1-640nm_ctrl_pfa_004.tif
# Puncta radius (pixels): 1.3888888888888888
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X
150   1828
163   1831
171   1836
212   1831
227   1457
228   1831
229   1448
229   1465
235   1478
236   1382
239   1411
243   1867
244   1354
245   1404
245   1412
245   1432
246   1365
246   1386
250   1503
250   1516
252   1436
254   1509
254   1526
255   1358
257   1420
257   2000
261   1352
261   1512
262   1469
263   1458
264   1390
265   1363
265   1431
266   1340
266   1426
267   1379
267   1405
267   1515
267   1526
269   1304
269   1495
270   1472
274   1408
274   1426
275   1374
275   1412
276   1486
276   1581
277   1419
278   1337
278   1341
278   1499
279   1536
279   1542
281   1274
281   1430
284   1415
284   1523
286   1305
286   1327
286   1335
287   1431
288   1847
292   1263
292   1428
293   1281
293   1600
295   1621
296   1303
298   1611
301   1541
303   1557
304   1272
305   1284
306   1269
307   1281
307   1602
307   1943
308   1560
308   1568
308   1588
309   1853
310   1548
311   1247
311   1310
313   1278
316   1675
317   1578
318   1291
318   1558
320   1275
321   1713
323   1242
324   1594
330   1896
332   1674
333   1252
338   1810
341   1267
341   1626
341   1641
341   1672
343   1247
346   1667
348   1696
350   1846
352   1264
355   1235
355   1647
355   1694
358   1642
359   1272
360   1757
362   1680
363   1263
365   1862
366   1232
369   1779
373   1252
377   1774
379   1268
381   1689
382   1815
385   839
385   1222
386   833
386   1786
388   1235
388   1687
388   1706
388   1755
396   820
396   1238
401   1736
404   826
407   1226
409   815
411   1701
413   1677
419   837
421   831
424   1229
425   811
429   1220
429   1227
430   1202
432   1223
434   819
436   826
438   803
440   1215
441   1208
441   1244
443   816
446   730
453   739
453   828
454   795
455   745
455   1210
455   1217
456   754
456   1202
460   734
460   1193
460   1213
461   1200
462   710
463   795
464   767
465   847
471   1196
479   805
481   751
482   907
484   821
485   790
489   1196
493   762
494   788
494   1208
495   1198
496   783
497   852
497   893
502   876
503   868
503   1194
510   798
511   1183
511   1196
512   884
515   826
515   841
518   834
518   908
519   869
523   809
523   1197
524   828
525   870
528   783
528   794
529   818
529   854
530   810
530   831
530   888
530   1207
531   883
533   822
534   800
534   811
534   834
535   962
535   969
536   795
536   857
537   862
538   976
538   1180
538   1195
539   872
540   1215
541   973
543   909
547   835
547   1161
548   797
548   988
549   1217
550   891
550   1130
552   883
553   841
555   976
555   1148
556   811
556   900
556   1178
557   840
557   894
557   983
561   853
563   1112
566   1174
566   1187
569   789
573   1114
574   837
576   1124
577   1116
578   811
580   1121
582   1203
585   995
586   799
588   845
589   815
591   991
597   820
601   867
603   820
607   810
610   806
610   815
621   1076
622   1124
623   853
623   1098
625   871
625   1041
626   1020
626   1059
629   1118
631   1149
631   1173
632   1065
633   868
633   1162
637   873
638   1003
638   1117
639   1060
639   1089
639   1180
640   1072
642   1183
645   1144
646   883
647   1169
647   1250
649   1077
650   1184
651   1110
654   1089
659   1117
660   980
661   1072
662   1224
664   877
665   974
666   920
667   1067
668   1005
671   985
671   1208
671   1218
673   1064
675   1010
676   963
677   993
678   1274
679   999
681   1052
682   1270
683   1009
684   1284
685   964
687   1281
689   973
689   1009
691   894
692   788
692   1083
693   795
693   1099
697   1002
698   1031
698   1255
699   723
699   1328
700   1007
700   1026
701   680
701   994
701   1083
702   786
703   779
703   1120
704   1257
704   1261
706   1306
707   1064
708   800
708   940
708   1257
710   807
710   1076
710   1202
712   1044
712   1215
712   1307
713   1034
714   799
714   1083
714   1096
715   812
715   1229
717   1100
718   1303
719   1087
719   1249
719   1325
720   813
720   862
720   1037
722   904
722   923
722   1236
722   1340
723   1052
724   1076
724   1249
724   1325
724   1413
725   862
725   991
725   1202
727   1120
728   1154
729   827
729   1354
731   909
731   1257
731   1479
732   949
733   934
733   977
733   1139
733   1160
733   1345
733   1426
735   879
736   1055
736   1078
736   1337
736   1405
736   1423
738   752
738   930
738   943
738   1224
738   1247
739   1086
739   1500
740   1091
740   1173
741   826
741   1405
741   1469
742   1068
742   1113
743   991
743   1463
745   882
745   914
745   1361
746   1439
746   1501
748   951
749   1389
749   1487
750   1242
750   1426
750   1502
751   757
751   1378
751   1439
751   1492
753   1158
754   1240
755   1466
756   952
756   985
757   793
758   764
758   856
758   998
760   1134
761   1081
761   1110
762   779
762   787
762   807
762   998
763   1205
763   1416
763   1451
765   1016
765   1130
766   1025
767   905
767   1426
768   1205
768   1236
769   1155
770   877
770   936
772   1150
772   1219
773   945
774   1105
775   1123
776   1057
778   798
778   926
778   1181
779   771
779   1067
780   934
780   1053
780   1213
783   784
783   986
783   1192
784   1221
785   938
786   774
786   1057
787   1043
788   877
788   944
788   1183
789   899
789   1018
790   1028
792   1216
793   1152
795   999
795   1065
795   1111
796   782
796   1019
799   1027
799   1203
801   933
801   939
801   1113
801   1185
802   693
802   993
802   1105
802   1161
803   1205
804   860
804   1037
804   1050
805   936
806   959
806   999
806   1068
806   1094
809   761
811   693
811   1021
811   1137
813   970
813   980
814   912
814   1073
814   1171
815   682
815   815
816   709
816   1186
817   756
817   872
817   1069
819   825
820   849
820   1058
820   1162
823   677
823   979
824   957
825   726
825   1061
826   901
826   953
826   1243
827   943
827   998
827   1180
828   751
828   890
828   928
828   1139
830   861
831   843
831   1020
832   1015
832   1052
833   1043
833   1125
834   883
834   922
834   1192
835   1078
836   898
837   689
837   980
839   659
839   704
840   774
840   997
841   933
841   1100
842   918
843   894
843   1023
844   649
845   854
845   887
846   864
846   1092
847   769
847   1232
848   872
848   1018
848   1142
849   952
849   1081
849   1188
850   1035
851   745
851   793
851   1010
851   1043
852   928
852   938
852   1111
853   1089
854   1196
855   924
855   968
855   1094
856   917
856   1020
856   1040
857   886
858   744
858   855
858   1070
859   730
859   964
859   1102
859   1120
859   1130
860   1214
861   993
862   811
862   871
862   1021
862   1199
863   819
864   630
864   799
864   922
864   938
864   1017
865   841
866   778
866   948
866   1083
867   557
867   1087
868   835
868   960
869   785
869   1031
870   847
870   953
870   970
870   1041
871   660
872   618
873   822
873   992
873   1158
874   1004
875   1150
875   1196
876   1203
877   852
878   1255
879   765
879   914
879   1136
880   1061
880   1085
880   1167
881   909
881   1110
882   819
882   1216
883   761
884   1078
885   724
886   649
886   773
886   858
886   891
886   1102
886   1115
888   870
888   1011
888   1247
889   805
889   901
889   906
889   1161
890   852
890   951
890   1039
890   1127
890   1142
891   996
892   779
892   828
892   876
892   1045
893   1050
893   1213
894   736
894   921
894   925
894   1029
894   1086
895   893
897   838
897   908
897   963
897   1118
898   885
898   945
899   932
899   1242
900   1058
901   1099
901   1126
901   1203
902   960
902   1185
903   810
903   954
904   851
905   857
905   935
905   1221
906   633
906   878
906   1205
907   648
907   659
907   951
907   1093
910   1103
911   824
911   1236
912   642
912   754
912   966
913   763
913   1187
914   810
914   932
914   1017
914   1134
916   1118
917   579
917   876
918   897
919   904
921   1078
922   887
923   852
923   1120
924   591
924   876
925   670
926   660
926   762
926   800
927   571
928   580
928   927
929   939
929   1123
931   857
931   985
931   1098
931   1142
932   1086
933   767
933   975
933   994
934   578
934   1056
935   791
935   870
936   572
936   1116
936   1145
936   1202
937   36
937   1184
938   946
938   968
939   855
939   1037
940   763
941   1143
942   39
942   585
942   815
943   805
943   1118
946   1073
947   1046
947   1082
948   584
948   790
949   659
950   1015
951   673
951   1021
953   980
954   717
954   972
954   1095
954   1192
955   919
956   726
956   1006
957   932
958   1066
959   630
959   1016
960   820
960   1072
960   1124
960   1163
961   756
961   792
961   1106
962   827
963   971
964   760
964   1006
965   855
965   1041
965   1076
965   1151
966   1052
967   901
967   925
967   1122
969   758
970   833
970   879
970   990
970   1010
973   694
973   1044
975   822
976   5
976   717
977   663
977   880
977   897
977   922
977   1052
977   1162
978   617
978   955
978   1034
978   1058
979   653
979   733
979   1072
980   1065
981   744
981   1020
982   1073
982   1176
986   855
986   1147
986   1161
987   726
987   966
988   1008
990   923
991   678
991   701
992   757
992   814
992   1093
992   1155
993   989
996   902
996   1030
996   1061
996   1076
998   1161
999   718
999   761
1000  779
1000  1069
1000  1081
1001  702
1001  818
1002  753
1003  741
1004  1141
1006  851
1006  917
1006  923
1007  808
1008  685
1009  929
1010  962
1011  720
1011  770
1012  847
1012  1135
1013  708
1014  755
1016  843
1016  1067
1017  856
1017  1031
1018  746
1018  805
1018  866
1018  951
1019  770
1019  973
1020  1045
1021  850
1022  761
1022  825
1022  1163
1025  962
1025  1030
1025  1084
1026  830
1026  838
1026  1110
1026  1206
1027  1054
1028  874
1029  1037
1029  1044
1030  20
1031  820
1031  959
1031  977
1031  1067
1031  1155
1033  731
1033  850
1033  1125
1034  811
1035  754
1035  926
1035  1029
1036  1142
