# Filename: CLN3-561nm_ctrl_pfa_003.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X     CLUSTER_ID
164   1255  -1
175   1256  -1
178   1278  -1
185   1283  -1
193   1267  -1
198   1267  -1
200   1255  -1
203   1264  -1
207   1279  -1
212   1265  -1
220   1233  -1
226   1246  -1
232   1240  -1
236   1221  -1
243   1215  -1
244   1204  -1
245   1252  -1
252   1204  -1
252   1213  -1
256   1241  -1
256   1281  -1
257   1220  -1
266   1211  -1
269   1220  -1
274   1209  -1
280   1208  -1
283   1255  -1
290   1212  -1
292   1232  -1
295   1165  -1
296   1181  -1
297   1176  -1
304   1219  -1
309   1188  -1
324   1164  -1
343   1148  -1
349   1164  -1
371   1090  -1
373   1082  -1
380   841   -1
380   1081  -1
384   1071  -1
389   851   -1
389   1323  -1
393   1083  -1
399   806   -1
400   784   -1
400   1070  -1
401   800   -1
403   885   -1
405   879   -1
406   1300  -1
409   1146  -1
411   772   -1
411   847   -1
411   880   -1
411   1277  -1
416   890   -1
419   758   -1
424   777   -1
424   1176  -1
425   902   -1
426   999   -1
427   985   -1
432   882   -1
434   1165  -1
435   777   -1
435   871   -1
435   1160  -1
440   1385  -1
442   859   -1
442   866   -1
443   1211  -1
444   882   -1
455   904   -1
457   882   -1
457   1237  -1
458   1036  -1
462   1221  -1
464   729   -1
484   907   -1
484   1340  -1
488   1338  -1
490   710   -1
495   894   -1
499   889   -1
499   914   -1
500   903   -1
500   1093  -1
500   1337  -1
501   1105  -1
502   885   -1
505   1231  -1
508   1302  -1
509   1325  -1
512   918   -1
516   1338  -1
519   1328  -1
522   714   -1
523   1344  -1
530   699   -1
538   689   -1
538   901   -1
540   1156  -1
545   1334  -1
546   700   -1
546   893   -1
547   1392  -1
550   1128  -1
550   1139  -1
550   1826  -1
551   880   -1
551   1276  -1
551   1686  -1
553   1105  -1
553   1343  -1
554   1229  -1
556   1282  -1
558   1343  -1
559   1763  -1
560   1657  -1
561   692   -1
561   963   -1
562   1269  -1
564   1198  -1
564   1249  -1
564   1335  -1
565   1133  -1
567   902   -1
567   1720  -1
568   1147  -1
568   1256  -1
570   662   -1
573   1877  -1
574   1085  -1
577   686   -1
577   857   -1
577   1338  -1
577   1853  -1
579   1744  -1
581   853   -1
582   1257  -1
584   1150  -1
584   1688  -1
587   680   -1
588   1282  -1
589   1852  -1
590   1618  -1
591   1879  -1
592   1166  -1
593   859   -1
597   663   -1
598   1325  -1
599   1619  -1
601   666   -1
602   653   -1
602   1164  -1
604   1866  -1
607   1876  -1
608   842   -1
608   1391  -1
609   851   -1
610   1047  -1
611   1075  -1
613   1889  -1
614   1607  -1
615   1162  -1
617   1133  -1
620   949   -1
621   1878  -1
627   853   -1
630   866   -1
630   1426  -1
634   817   -1
637   1605  -1
640   1300  -1
640   1416  -1
641   1009  -1
643   1591  -1
646   1075  -1
646   1414  -1
651   831   -1
652   812   -1
653   1929  -1
654   1101  -1
654   1439  -1
655   1177  -1
655   1587  -1
655   1911  -1
656   828   -1
660   630   -1
661   620   -1
661   828   -1
661   1593  -1
663   1412  -1
663   1913  -1
664   985   -1
664   1589  -1
666   600   -1
666   997   -1
666   1025  -1
668   836   -1
669   848   -1
669   1003  -1
671   952   -1
673   1410  -1
674   1570  -1
675   1003  -1
677   552   -1
677   811   -1
677   898   -1
682   1923  -1
684   1075  -1
684   1207  -1
685   986   -1
685   997   -1
689   813   -1
694   826   -1
699   1154  -1
700   1076  -1
700   1104  -1
703   1373  -1
703   1380  -1
707   818   -1
708   900   -1
709   914   -1
710   1143  -1
710   1312  -1
710   1568  -1
713   812   -1
714   1109  -1
714   1400  -1
715   1347  -1
716   1219  -1
716   1335  -1
716   1570  -1
717   1156  -1
721   1205  -1
721   1396  -1
723   813   -1
724   1288  -1
724   1400  -1
726   1105  -1
727   894   -1
728   1627  -1
729   983   -1
729   1115  -1
729   1402  -1
729   1551  -1
729   1579  -1
730   1587  -1
731   1142  -1
732   1631  -1
734   1055  -1
734   1559  -1
736   794   -1
739   1248  -1
741   1236  -1
743   768   -1
745   1635  -1
747   1011  -1
749   802   -1
749   1040  -1
752   1009  -1
752   1065  -1
754   799   -1
758   1140  -1
761   1004  -1
763   897   -1
764   867   -1
766   781   -1
771   884   -1
774   1129  -1
774   1351  -1
776   791   -1
777   842   -1
778   1300  -1
780   1008  -1
781   885   -1
781   944   -1
781   1285  -1
782   1255  -1
785   817   -1
786   1022  -1
789   1349  -1
793   1559  -1
797   1025  -1
797   1505  -1
799   1471  -1
800   834   -1
800   1165  -1
800   1545  -1
802   1050  -1
804   1198  -1
805   795   -1
805   1451  -1
807   1084  -1
810   810   -1
810   1476  -1
814   1110  -1
815   1163  -1
818   852   -1
819   1447  -1
827   810   -1
827   1169  -1
828   1161  -1
829   1317  -1
831   1165  -1
832   1205  -1
834   1086  -1
835   1118  -1
837   1047  -1
838   810   -1
839   1156  -1
841   1231  -1
842   1262  -1
843   831   -1
843   1001  -1
847   808   -1
848   1221  -1
849   1065  -1
853   867   -1
853   1077  -1
853   1200  -1
854   1071  -1
855   829   -1
855   1245  -1
855   1251  -1
856   978   -1
857   1028  -1
858   986   -1
864   1037  -1
866   1259  -1
868   1032  -1
868   1190  -1
869   1256  -1
870   866   -1
870   877   -1
871   684   -1
871   1249  -1
875   1289  -1
875   1343  -1
877   1307  -1
878   991   -1
881   872   -1
885   999   -1
889   816   -1
889   975   -1
889   1007  -1
891   1014  -1
893   988   -1
893   1213  -1
894   1030  -1
895   1292  -1
899   1255  -1
899   1335  -1
900   1041  -1
903   891   -1
903   1154  -1
903   1275  -1
903   1298  -1
904   1210  -1
905   1244  -1
906   596   -1
908   977   -1
911   773   -1
912   1044  -1
914   1312  -1
914   1329  -1
917   836   -1
918   1403  -1
919   796   -1
923   1340  -1
923   1370  -1
926   1159  -1
926   1168  -1
926   1390  -1
928   1144  -1
930   376   -1
931   893   -1
932   1366  -1
935   1209  -1
937   558   -1
937   1260  -1
938   406   -1
939   780   -1
941   879   -1
941   1120  -1
943   874   -1
946   833   -1
948   392   -1
950   796   -1
950   880   -1
950   1020  -1
950   1113  -1
951   743   -1
952   890   -1
953   668   -1
955   899   -1
955   938   -1
957   536   -1
957   894   -1
959   1376  -1
961   1252  -1
963   921   -1
966   862   -1
966   1109  -1
967   1295  -1
969   887   -1
980   1159  -1
981   1148  -1
985   1092  -1
985   1233  -1
990   1140  -1
994   519   -1
995   1268  -1
996   479   -1
997   1355  -1
998   1113  -1
1004  809   -1
1007  826   -1
1009  1289  -1
1017  1291  -1
1020  826   -1
1021  858   -1
1021  918   -1
1024  1069  -1
1028  887   -1
1031  1027  -1
1034  870   -1
1035  966   -1
1036  778   -1
1036  1115  -1
1036  1349  -1
1045  848   -1
1047  1321  -1
1049  1284  -1
1052  1175  -1
1055  1147  -1
1057  954   -1
1059  927   -1
1061  965   -1
1063  458   -1
1065  1041  -1
1066  920   -1
1066  1177  -1
1068  870   -1
1072  1128  -1
1078  861   -1
1078  965   -1
1081  855   -1
1084  1298  -1
1085  1074  -1
1087  1157  -1
1089  769   -1
1090  782   -1
1092  461   -1
1093  1019  -1
1097  923   -1
1098  840   -1
1099  776   -1
1099  966   -1
1100  891   -1
1108  852   -1
1118  917   -1
1119  767   -1
1120  1067  -1
1121  794   -1
1124  1255  -1
1126  751   -1
1135  760   -1
1138  855   -1
1139  772   -1
1140  751   -1
1142  1122  -1
1145  909   -1
1145  1171  -1
1148  889   -1
1151  141   -1
1152  764   -1
1153  947   -1
1155  1204  -1
1156  139   -1
1158  960   -1
1160  732   -1
1161  744   -1
1161  1212  -1
1162  1122  -1
1166  891   -1
1176  753   -1
1187  990   -1
1189  909   -1
1192  735   -1
1192  1072  -1
1196  1037  -1
1200  730   -1
1200  863   -1
1200  926   -1
1200  938   -1
1203  755   -1
1204  961   -1
1207  997   -1
1215  1038  -1
1218  970   -1
1219  966   -1
1225  1013  -1
1225  1292  -1
1230  729   -1
1231  756   -1
1232  990   -1
1248  1014  -1
1256  989   -1
1259  727   -1
1271  748   -1
1284  729   -1
1289  729   -1
1301  641   -1
1306  622   -1
1310  992   -1
1314  780   -1
1321  681   -1
1346  706   -1
1356  1048  -1
1357  978   -1
1381  971   -1
1383  961   -1
1395  759   -1
1419  741   -1
1450  741   -1
1460  762   -1
1471  726   -1
1478  757   -1
1482  764   -1
1498  738   -1
1509  767   -1
1517  772   -1
1528  729   -1
1535  725   -1
1550  728   -1
1574  734   -1
1585  721   -1
1781  1467  -1
1968  1035  -1
1986  990   -1
1987  1049  -1
1991  959   -1
1998  1068  -1
1999  985   -1
2008  981   -1
2009  1111  -1
2022  967   -1
2024  1111  -1
2027  943   -1
2045  965   -1
2047  1171  -1
2047  1235  -1
216   1281  -1
258   1206  -1
335   1169  -1
350   1105  -1
401   1092  -1
418   871   -1
421   785   -1
424   1005  -1
429   752   -1
428   1020  -1
432   1025  -1
442   731   -1
443   767   -1
461   1285  -1
