# Filename: CLN3-561nm_ctrl_pfa_004.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X     NUM_PUNCTA    CLUSTER_ID
544   777   2             0
589   827   2             1
600   790   2             2
622   844   2             3
626   890   2             4
634   856   2             5
640   1025  2             6
641   1168  2             7
661   1236  2             8
668   1102  2             9
680   986   2             10
686   901   2             11
698   1319  2             12
699   670   2             13
703   1224  4             14
720   735   2             15
720   739   2             16
725   827   2             17
725   844   2             18
744   1167  2             19
747   1453  2             20
756   1034  2             21
755   1192  2             22
762   939   2             23
774   807   2             24
774   1041  2             25
784   952   2             26
797   812   2             27
817   1091  2             28
829   791   2             29
837   718   2             30
842   949   2             31
841   993   2             32
842   1148  2             33
843   1117  2             34
845   797   2             35
844   878   2             36
860   623   2             37
863   731   2             38
868   860   2             39
870   812   2             40
885   765   2             41
888   943   2             42
899   1115  2             43
909   790   2             44
913   836   2             45
912   939   2             46
914   871   2             47
916   624   2             48
920   867   2             49
927   1220  2             50
928   1087  2             51
929   975   2             52
932   1079  2             53
938   605   2             54
941   985   2             55
941   1116  2             56
949   830   2             57
958   1006  2             58
957   1033  2             59
967   992   2             60
973   686   2             61
978   982   2             62
979   941   2             63
1000  1008  2             64
1002  949   2             65
1004  929   2             66
1034  785   2             67
1045  997   2             68
1047  867   2             69
1047  809   2             70
1050  989   2             71
1052  957   2             72
1056  938   2             73
1058  862   2             74
1062  955   2             75
1068  1091  2             76
1078  1035  2             77
1098  987   2             78
1120  1003  2             79
1137  1182  2             80
1145  1105  2             81
1158  1054  2             82
1161  725   2             83
1165  954   2             84
1167  1187  2             85
1168  950   2             86
1169  1031  2             87
1184  1170  2             88
1185  1092  2             89
1187  1145  2             90
1191  627   2             91
1196  531   2             92
1207  569   2             93
1249  815   2             94
1251  926   2             95
1270  459   2             96
1275  1052  2             97
1300  883   2             98
1303  1157  2             99
1312  927   2             100
1328  862   2             101
1335  1197  2             102
1335  1100  2             103
1348  774   2             104
1376  1124  5             105
1390  938   2             106
1399  918   2             107
1544  532   2             108
