# Filename: CLN3-561nm_ctrl_pfa_006.tif
# Puncta radius (pixels): 1.3888888888888888
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X
367   668
367   774
375   632
376   799
379   624
381   731
383   750
385   641
390   656
393   807
394   826
401   843
416   505
417   587
418   823
420   381
424   372
424   410
425   824
427   820
432   495
432   860
434   393
437   434
437   555
441   854
445   439
447   691
450   848
451   833
451   842
452   432
452   679
460   531
461   366
463   598
466   471
467   399
467   558
467   614
467   853
468   609
469   841
478   667
479   458
479   601
480   581
480   644
482   344
482   550
483   472
483   477
484   622
484   651
484   857
485   464
485   597
488   861
489   683
490   639
491   363
492   559
493   343
493   573
493   713
493   732
494   494
494   640
494   867
495   652
496   348
496   399
497   338
498   599
499   414
499   692
500   451
502   619
502   855
503   303
504   297
504   427
504   643
505   860
506   590
506   658
506   852
508   479
509   581
511   588
513   579
514   697
517   610
518   770
519   420
519   542
519   598
520   674
521   573
525   434
526   611
527   639
531   669
533   487
533   587
534   415
534   611
535   381
535   544
535   849
535   858
537   875
538   422
539   846
541   404
541   545
541   570
541   890
542   599
542   705
543   485
547   897
548   349
549   555
549   613
550   416
552   440
552   884
553   449
554   488
556   897
558   368
558   730
559   333
559   1126
561   439
561   548
561   866
563   902
563   940
564   398
564   443
564   485
564   574
564   1094
564   1109
565   512
565   717
565   980
566   386
566   1131
567   612
568   1103
568   1158
569   958
571   633
571   923
572   1089
572   1110
572   1140
573   380
573   441
573   1068
574   928
574   1026
574   1131
574   1153
575   461
575   986
575   1059
576   630
576   1050
576   1112
577   1120
578   386
580   943
580   1126
581   332
581   351
581   896
581   1133
581   1167
582   998
582   1110
583   499
583   904
583   1019
583   1032
584   687
584   921
584   954
585   371
586   909
586   1000
587   1151
587   1164
589   679
589   1076
591   485
592   577
593   1116
593   1155
595   447
595   1043
596   406
596   486
596   506
596   1128
596   1193
597   1091
598   934
599   1105
599   1129
600   372
600   1164
601   434
602   689
604   995
605   503
605   644
607   497
607   1248
609   1176
609   1245
610   1213
612   1208
613   669
617   1229
619   375
621   689
622   465
622   548
622   1224
624   370
624   672
625   429
626   1258
628   574
629   1236
631   307
631   384
632   313
632   448
632   688
636   1269
637   523
639   457
640   509
644   671
644   1233
645   375
647   361
647   434
647   549
648   665
650   1253
651   1243
652   373
652   383
654   300
656   511
659   1268
660   472
663   569
663   617
669   356
674   1285
675   1265
678   369
678   562
678   684
680   650
681   565
681   1290
682   646
683   675
684   554
686   374
687   673
688   359
688   625
689   411
689   430
694   511
694   1292
698   350
698   1291
699   629
701   372
707   1299
709   1273
713   616
716   622
717   418
717   610
719   339
723   368
725   594
730   573
732   622
737   353
739   393
739   510
742   538
744   374
744   386
746   341
746   583
747   347
753   364
755   539
762   344
764   336
765   391
773   342
775   533
776   520
776   553
781   1292
782   382
785   1279
798   1294
804   525
809   1283
824   1291
825   1277
826   513
833   1285
840   1268
843   517
862   1261
864   499
880   1235
891   1214
892   1274
893   1223
901   1222
905   1299
909   1308
913   1266
913   1289
919   1165
924   1159
925   1175
927   1258
927   1266
930   1309
932   1175
932   1181
934   1156
935   1203
935   1226
937   1221
942   1150
944   1355
947   1231
948   1241
953   1304
954   1310
956   1097
957   1108
957   1199
957   1290
958   1254
963   1096
963   1311
969   1385
975   1319
979   1297
988   1292
989   1142
991   1334
993   1047
994   1103
998   1080
998   1346
1000  1118
1001  1049
1003  1295
1003  1314
1007  1129
1007  1283
1009  1369
1010  1338
1011  1296
1016  1285
1018  1272
1018  1294
1021  1355
1022  1408
1024  1390
1025  1153
1025  1299
1032  1209
1033  1269
1035  1352
1039  1177
1041  1121
1041  1353
1042  1327
1043  1153
1044  1217
1046  1133
1047  1353
1048  1101
1049  1265
1051  1292
1052  1085
1052  1114
1052  1337
1052  1346
1058  1398
1060  1088
1061  1422
1063  1118
1064  1368
1064  1382
1066  1102
1068  1160
1068  1241
1068  1414
1070  1351
1072  1407
1073  1290
1076  1103
1076  1421
1078  1194
1078  1236
1078  1336
1078  1356
1080  1294
1084  1171
1086  1224
1086  1374
1087  1299
1088  1209
1089  1352
1094  1215
1094  1345
1096  1166
1098  1240
1103  1422
1105  1342
1109  1288
1116  1205
1116  1423
1119  1179
1119  1266
1123  1231
1123  1384
1124  1401
1127  1127
1127  1293
1129  1141
1129  1325
1132  1363
1133  1275
1134  1086
1135  1384
1136  1373
1136  1401
1137  1161
1140  1249
1145  1126
1145  1150
1145  1253
1145  1331
1150  1257
1153  1088
1154  1275
1156  1334
1156  1376
1161  1142
1165  1274
1165  1357
1166  1080
1168  1227
1171  1246
1171  1365
1173  1144
1174  1433
1178  1149
1185  1080
1187  986
1187  1144
1191  1221
1193  1065
1196  1118
1196  1269
1198  995
1202  1098
1203  1268
1204  1216
1205  1064
1207  984
1207  992
1210  1296
1210  1402
1211  1057
1212  1006
1212  1377
1213  1445
1215  939
1216  1091
1218  965
1218  1081
1219  1036
1222  1079
1222  1352
1223  1225
1224  1095
1226  1080
1227  1036
1227  1248
1228  1115
1229  1106
1230  959
1231  1062
1231  1397
1235  1098
1242  1042
1244  1098
1246  1131
1247  1430
1248  1142
1249  1102
1249  1138
1250  1030
1250  1236
1251  1008
1253  1038
1253  1412
1254  1256
1255  1372
1257  1419
1258  1114
1260  919
1263  1005
1265  1049
1265  1234
1266  1031
1267  1101
1267  1429
1269  1254
1270  1072
1270  1175
1271  1099
1274  1197
1274  1231
1275  1110
1276  1007
1278  970
1279  1057
1280  1036
1283  1099
1283  1269
1291  940
1291  1051
1292  1359
1296  1365
1297  1252
1298  1020
1299  1003
1301  1333
1301  1371
1302  1015
1304  1064
1306  1275
1306  1283
1309  1038
1310  1044
1312  1054
1313  1066
1314  1248
1315  1094
1320  1039
1320  1063
1322  1424
1325  1000
1326  1007
1328  1078
1331  986
1334  1020
1336  1038
1336  1067
1337  991
1337  1334
1338  1061
1338  1367
1340  1080
1341  1440
1343  1071
1343  1221
1351  1019
1351  1071
1352  1083
1352  1208
1354  1075
1354  1242
1358  1240
1365  1044
1366  1234
1367  1223
1367  1240
1367  1321
1368  912
1368  1081
1371  1029
1374  999
1374  1421
1375  992
1376  1031
1378  1356
1379  994
1382  1041
1388  919
1388  1223
1396  1013
1399  1356
1400  1395
1401  1127
1404  947
1405  1029
1410  1133
1412  1124
1412  1127
1412  1372
1414  1315
1418  1094
1418  1187
1421  1416
1425  1131
1429  1177
1431  1422
1435  1136
1437  1155
1439  1392
1441  1165
1441  1254
1446  1187
1446  1331
1446  1368
1448  1143
1448  1338
1449  895
1449  1222
1451  1344
1456  1190
1456  1308
1457  1271
1461  1304
1462  1317
1463  1207
1465  1254
1472  1257
1476  1294
1477  1213
1483  1170
1483  1321
1483  1326
1487  1376
1490  1285
1492  1358
1492  1380
1496  1252
1499  1273
1499  1330
1499  1430
1505  1353
1509  1233
1510  1221
1510  1257
1519  1220
1519  1320
1524  1244
1529  1435
1538  1425
1542  1325
1545  1231
1546  1335
1546  1415
1554  1323
1554  1389
1554  1418
1556  1264
1556  1273
1556  1376
1560  1384
1565  1403
1570  943
1573  1221
1586  1362
1595  948
1600  1473
1630  1384
1671  917
1690  1347
1695  901
1699  923
1724  1174
1742  1281
1751  1293
