# Filename: BNI1-640nm_416_bidi_60x_002.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X    NUM_PUNCTA    CLUSTER_ID
1690  314  2             0
469   691  2             1
1513  478  2             2
1537  459  9             3
1564  436  5             4
1595  402  5             5
1599  403  3             6
1617  377  5             7
1621  374  4             8
1628  373  3             9
1627  581  2             10
1671  424  2             11
1687  269  7             12
1688  573  2             13
1698  333  3             14
1700  330  2             15
1723  604  2             16
1727  398  3             17
1724  398  2             18
1732  416  2             19
1738  625  3             20
1741  457  2             21
1758  591  9             22
1766  432  2             23
1784  731  3             24
1800  405  2             25
1816  442  4             26
1829  330  3             27
1852  654  4             28
1867  593  3             29
1875  270  2             30
1887  488  2             31
1927  557  2             32
1927  401  2             33
2025  629  2             34
