# Filename: BNI1-640nm_416_bidi_60x_009.tif
# Puncta radius (pixels): 1.3888888888888888
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X
155   459
156   397
220   1440
223   377
228   375
240   1443
276   1406
284   385
317   264
331   1380
357   389
373   412
388   1335
392   1342
407   407
440   1080
580   1192
594   1183
649   1211
676   1230
697   1277
737   1167
789   1127
791   1134
803   839
811   1149
827   896
851   905
852   994
864   966
869   1135
870   961
883   1049
884   1040
888   1006
895   649
939   707
987   53
1025  739
1077  530
1100  854
1138  814
1146  967
1163  943
1168  1002
1176  948
1179  897
1194  927
1204  995
1205  1160
1209  995
1211  991
1227  824
1229  923
1233  1078
1235  1086
1246  779
1253  881
1265  1133
1271  993
1283  1240
1288  1235
1293  1244
1295  1211
1297  702
1298  1202
1300  1148
1301  759
1303  957
1305  1070
1310  1071
1310  1149
1311  755
1311  1065
1314  957
1320  962
1348  953
1379  903
1403  954
1412  1065
1417  1057
1421  1000
1422  1181
1431  914
1431  1027
1437  700
1461  968
1463  900
1464  1112
1466  964
1467  969
1470  655
1488  861
1490  865
1497  795
1509  988
1513  876
1516  872
1524  1187
1536  1027
1539  1071
1555  855
1562  986
1568  1015
1569  992
1592  1069
1595  1010
1598  1070
1603  1017
1604  1173
1612  1125
1614  1138
1615  860
1617  1014
1618  1120
1621  1115
1621  1131
1622  1128
1623  1174
1654  1282
1655  923
1715  935
1764  924
1767  929
