# Filename: BNI1-640nm_416_bidi_60x_015.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X     CLUSTER_ID
100   1904  -1
255   1585  -1
273   510   -1
320   428   -1
336   1498  -1
362   1570  -1
364   1573  -1
367   1319  -1
386   272   -1
393   1639  -1
396   380   -1
415   434   -1
426   545   -1
429   728   -1
469   314   -1
472   324   -1
481   738   -1
486   737   -1
489   725   -1
529   1474  -1
544   731   -1
570   293   -1
572   215   -1
577   302   -1
578   71    -1
585   742   -1
591   735   -1
594   358   -1
599   701   -1
630   395   -1
633   729   -1
657   695   -1
658   1164  -1
661   221   -1
666   310   -1
676   632   -1
677   704   -1
679   643   -1
682   622   -1
689   32    -1
690   618   -1
691   695   -1
704   716   -1
705   295   -1
705   624   -1
710   721   -1
714   734   -1
715   666   -1
718   677   -1
719   722   -1
726   130   -1
733   715   -1
737   693   -1
738   733   -1
749   699   -1
761   1143  -1
763   727   -1
775   0     -1
779   718   -1
782   331   -1
801   343   -1
803   1716  -1
804   349   -1
804   1704  -1
808   334   -1
820   1854  -1
828   1698  -1
832   1678  -1
835   1706  -1
842   766   -1
844   1381  -1
847   764   -1
854   772   -1
857   757   -1
861   752   -1
868   726   -1
872   1666  -1
873   18    -1
878   1088  -1
879   1092  -1
879   1882  -1
883   725   -1
884   777   -1
888   723   -1
890   344   -1
896   1086  -1
898   928   -1
905   723   -1
907   801   -1
916   783   -1
928   716   -1
928   1444  -1
928   1674  -1
930   807   -1
931   212   -1
934   1440  -1
938   6     -1
938   732   -1
939   1730  -1
944   357   -1
944   1752  -1
948   754   -1
950   698   -1
951   948   -1
955   1444  -1
961   1601  -1
962   0     -1
962   600   -1
962   1444  -1
966   671   -1
967   934   -1
975   738   -1
979   705   -1
979   947   -1
980   1035  -1
982   1478  -1
1005  440   -1
1005  1582  -1
1008  878   -1
1011  842   -1
1013  1363  -1
1042  1753  -1
1043  1604  -1
1045  1554  -1
1047  805   -1
1069  796   -1
1076  828   -1
1077  834   -1
1093  1071  -1
1094  954   -1
1102  929   -1
1105  832   -1
1106  597   -1
1114  1012  -1
1114  1804  -1
1121  839   -1
1121  852   -1
1121  1587  -1
1124  857   -1
1125  836   -1
1131  736   -1
1131  832   -1
1136  834   -1
1137  900   -1
1139  847   -1
1141  568   -1
1146  876   -1
1148  1478  -1
1151  1034  -1
1155  843   -1
1155  949   -1
1165  673   -1
1176  829   -1
1181  866   -1
1183  1061  -1
1191  725   -1
1194  871   -1
1198  1045  -1
1207  1756  -1
1209  803   -1
1216  983   -1
1227  987   -1
1229  691   -1
1230  1103  -1
1235  719   -1
1247  722   -1
1251  724   -1
1254  602   -1
1255  705   -1
1256  825   -1
1257  692   -1
1260  869   -1
1262  695   -1
1262  727   -1
1266  720   -1
1268  1114  -1
1273  698   -1
1273  823   -1
1274  781   -1
1283  660   -1
1285  785   -1
1295  370   -1
1303  788   -1
1308  1158  -1
1314  794   -1
1322  1140  -1
1323  1642  -1
1337  813   -1
1349  1462  -1
1359  1596  -1
1365  1199  -1
1365  1551  -1
1368  781   -1
1373  788   -1
1375  924   -1
1378  1183  -1
1383  1459  -1
1386  44    -1
1390  1213  -1
1391  1551  -1
1404  1139  -1
1408  391   -1
1420  1249  -1
1422  1076  -1
1426  1223  -1
1427  1189  -1
1429  1044  -1
1429  1208  -1
1439  1066  -1
1462  913   -1
1471  1016  -1
1479  1006  -1
1479  1101  -1
1483  980   -1
1489  985   -1
1495  335   -1
1496  989   -1
1503  963   -1
1540  317   -1
1584  899   -1
1596  271   -1
1601  273   -1
1628  269   -1
90    725   -1
107   769   -1
108   689   -1
109   776   -1
119   758   -1
171   442   -1
169   445   -1
168   441   -1
173   444   -1
173   518   -1
185   477   -1
196   462   -1
236   427   -1
233   426   -1
263   455   -1
267   450   -1
296   543   -1
294   540   -1
316   412   -1
332   1551  -1
382   539   -1
390   1607  -1
426   731   -1
432   273   -1
429   273   -1
465   248   -1
467   244   -1
490   729   -1
497   724   -1
516   369   -1
573   209   -1
578   558   -1
592   731   -1
606   485   -1
604   703   -1
610   206   -1
610   536   -1
657   1159  -1
661   501   -1
658   502   -1
689   154   -1
693   153   -1
689   157   -1
686   478   -1
689   308   -1
692   713   -1
708   515   -1
707   725   -1
710   689   -1
711   692   -1
711   656   -1
717   1244  -1
746   976   -1
750   973   -1
751   1140  -1
751   1218  -1
773   712   -1
768   711   -1
844   1750  -1
857   47    -1
860   47    -1
861   714   -1
858   716   -1
860   731   -1
879   486   -1
884   482   -1
886   1671  -1
883   1675  -1
903   1087  -1
911   1654  -1
920   704   -1
922   710   -1
924   750   -1
925   811   -1
928   1599  -1
931   96    -1
931   218   -1
934   928   -1
947   1634  -1
953   95    -1
975   333   -1
976   1765  -1
976   660   -1
975   1475  -1
984   1796  -1
1006  1562  -1
1006  1007  -1
1010  953   -1
1023  793   -1
1070  1219  -1
1072  1461  -1
1082  1614  -1
1078  1615  -1
1095  1862  -1
1098  1863  -1
1099  960   -1
1104  610   -1
1110  737   -1
1110  1399  -1
1145  1226  -1
1146  1223  -1
1149  1816  -1
1152  709   -1
1160  687   -1
1164  389   -1
1179  1233  -1
1180  1236  -1
1183  1126  -1
1190  704   -1
1216  380   -1
1222  678   -1
1222  989   -1
1232  821   -1
1233  1071  -1
1241  705   -1
1238  701   -1
1264  1111  -1
1272  1048  -1
1277  791   -1
1280  719   -1
1296  1232  -1
1315  385   -1
1312  385   -1
1315  807   -1
1320  586   -1
1323  296   -1
1325  1145  -1
1330  1225  -1
1342  1591  -1
1352  783   -1
1357  1590  -1
1366  1217  -1
1373  1473  -1
1369  792   -1
1399  1098  -1
1398  1094  -1
1401  1095  -1
1433  1036  -1
1441  1071  -1
1471  336   -1
1472  1110  -1
1480  1311  -1
1498  966   -1
1498  1090  -1
1505  976   -1
1534  810   -1
1570  815   -1
1622  272   -1
1349  1596  0
1349  1595  0
12    771   1
14    772   1
28    469   2
30    470   2
117   756   3
118   754   3
193   461   4
192   463   4
192   459   4
269   452   5
270   453   5
267   457   6
266   458   6
296   536   7
294   535   7
296   537   7
381   544   8
381   545   8
380   543   8
383   546   8
504   230   9
505   232   9
571   563   10
570   563   10
572   244   11
573   246   11
571   243   11
574   248   11
593   198   12
593   196   12
605   490   13
605   488   13
606   491   13
605   488   13
605   491   13
614   272   14
615   273   14
613   270   14
670   491   15
668   491   15
670   489   15
671   493   15
684   155   16
684   154   16
686   711   17
685   713   17
692   316   18
696   316   18
694   315   18
691   316   18
696   318   18
694   646   19
696   645   19
775   327   20
777   324   20
775   328   20
776   323   20
778   326   20
776   328   20
775   325   20
814   1685  21
814   1685  21
814   1686  21
814   1684  21
814   1686  21
813   1683  21
816   1683  21
860   1686  22
860   1688  22
859   1685  22
861   1687  22
860   1689  22
859   1685  22
858   1691  23
857   1691  23
856   1690  23
874   1870  24
875   1869  24
874   1872  24
879   1152  25
879   1151  25
881   481   26
881   479   26
882   348   27
883   347   27
917   708   28
919   708   28
926   1437  29
926   1436  29
948   1631  30
948   1630  30
948   95    31
948   93    31
971   333   32
971   332   32
971   333   32
971   332   32
971   1042  33
970   1041  33
974   1770  34
975   1768  34
985   1792  35
985   1791  35
992   1778  36
992   1779  36
996   1784  37
996   1783  37
1002  1559  38
1002  1559  38
1003  1560  38
1008  957   39
1008  957   39
1063  945   40
1064  946   40
1068  1222  41
1067  1222  41
1069  1461  42
1067  1461  42
1077  538   43
1078  539   43
1077  537   43
1112  1280  44
1112  1280  44
1111  1280  44
1146  864   45
1146  864   45
1146  864   45
1146  864   45
1146  865   45
1146  864   45
1146  865   45
1146  864   45
1145  864   45
1142  861   46
1143  861   46
1142  861   46
1143  861   46
1142  860   46
1152  1051  47
1152  1050  47
1154  1050  47
1154  1636  48
1154  1635  48
1158  1642  49
1158  1641  49
1158  1642  49
1167  386   50
1167  388   50
1166  385   50
1167  875   51
1166  875   51
1167  875   51
1166  874   51
1167  876   51
1166  874   51
1168  877   51
1166  874   51
1168  877   51
1166  874   51
1168  877   51
1172  1058  52
1172  1058  52
1171  1058  52
1172  1057  52
1173  1061  52
1172  1057  52
1171  1060  52
1190  1031  53
1190  1031  53
1209  710   54
1208  711   54
1209  709   54
1208  712   54
1207  709   54
1210  709   54
1212  379   55
1211  378   55
1235  817   56
1235  817   56
1235  818   56
1237  817   56
1235  668   57
1236  670   57
1242  696   58
1242  697   58
1241  697   58
1266  819   59
1266  820   59
1283  1682  60
1283  1683  60
1283  1682  60
1282  1680  60
1284  1685  60
1280  1683  61
1279  1682  61
1282  706   62
1283  708   62
1283  1184  63
1284  1185  63
1283  1181  64
1284  1181  64
1318  810   65
1318  809   65
1317  810   65
1319  808   65
1318  802   66
1319  802   66
1341  1518  67
1341  1518  67
1348  1590  68
1348  1590  68
1348  1589  68
1349  1590  68
1348  1589  68
1344  796   69
1344  797   69
1343  794   69
1345  798   69
1349  782   70
1348  782   70
1371  1478  71
1372  1479  71
1369  1474  72
1367  1475  72
1376  1644  73
1373  1646  73
1377  1643  73
1374  1645  73
1371  1646  73
1376  1642  73
1375  1646  73
1389  1160  74
1390  1161  74
1386  1159  75
1385  1159  75
1399  1223  76
1398  1223  76
1426  789   77
1427  789   77
1426  790   77
1499  1087  78
1498  1087  78
1583  893   79
1581  892   79
