# Filename: BNI1-640nm_416_bidi_60x_017.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X     NUM_PUNCTA    CLUSTER_ID
297   1131  2             0
352   542   4             1
376   755   2             2
392   503   2             3
392   313   2             4
407   569   3             5
415   618   3             6
423   689   4             7
426   284   2             8
429   587   2             9
433   590   2             10
449   643   2             11
505   715   3             12
516   310   2             13
588   352   2             14
604   514   2             15
678   168   2             16
701   608   2             17
718   73    4             18
760   410   6             19
782   518   3             20
835   1595  2             21
835   621   3             22
839   624   2             23
848   227   2             24
867   1608  3             25
868   355   3             26
923   295   2             27
925   540   6             28
950   598   9             29
1008  549   2             30
1079  284   4             31
1086  286   2             32
1084  159   2             33
1113  1416  2             34
1128  363   5             35
1128  531   4             36
1148  693   2             37
1166  1425  3             38
1175  254   3             39
1170  252   3             40
1302  522   4             41
1308  647   8             42
1308  544   4             43
1320  456   2             44
1341  435   3             45
1342  267   2             46
1444  845   6             47
1441  849   2             48
1484  1035  3             49
1516  841   2             50
1517  723   2             51
1531  1055  2             52
1534  1112  2             53
1546  1065  2             54
1559  840   3             55
1602  1234  2             56
1613  828   2             57
1660  586   2             58
1668  970   2             59
1677  1136  2             60
1684  1099  6             61
1848  1418  2             62
1862  1312  2             63
1865  1312  2             64
1870  1366  2             65
1872  1356  4             66
1886  1418  3             67
1882  1419  2             68
1982  1434  4             69
