# Filename: CLN3-561nm_416_bidi_60x_002.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X    CLUSTER_ID
376   414  -1
391   113  -1
397   106  -1
407   467  -1
409   416  -1
412   489  -1
415   496  -1
417   540  -1
418   497  -1
487   324  -1
499   671  -1
523   23   -1
534   800  -1
547   373  -1
565   689  -1
570   717  -1
653   561  -1
730   948  -1
1471  492  -1
1474  486  -1
1479  476  -1
1485  469  -1
1495  481  -1
1513  476  -1
1523  442  -1
1570  402  -1
1578  623  -1
1580  554  -1
1586  442  -1
1587  389  -1
1589  601  -1
1619  585  -1
1628  317  -1
1678  694  -1
1679  706  -1
1696  679  -1
1700  332  -1
1701  722  -1
1704  691  -1
1712  521  -1
1719  688  -1
1725  631  -1
1733  416  -1
1756  427  -1
1757  552  -1
1780  302  -1
1796  730  -1
1804  236  -1
1804  797  -1
1805  405  -1
1823  500  -1
1843  651  -1
1856  645  -1
1888  420  -1
1930  399  -1
1930  636  -1
1941  571  -1
1948  582  -1
1948  606  -1
1954  445  -1
2006  409  -1
2011  450  -1
2018  816  -1
2031  471  -1
96    156  -1
393   306  -1
423   230  -1
533   796  -1
538   648  -1
574   576  -1
630   889  -1
656   574  -1
1541  457  -1
1620  375  -1
1622  373  -1
1627  577  -1
1627  373  -1
1630  373  -1
1672  425  -1
1675  210  -1
1680  728  -1
1688  270  -1
1690  572  -1
1696  449  -1
1725  397  -1
1729  398  -1
1739  399  -1
1743  460  -1
1742  456  -1
1766  432  -1
1767  428  -1
1793  424  -1
1801  404  -1
1816  441  -1
1818  217  -1
1820  215  -1
1819  880  -1
1818  883  -1
1831  328  -1
1830  331  -1
1851  656  -1
1856  611  -1
1869  592  -1
1877  270  -1
1889  488  -1
1915  507  -1
1923  642  -1
1997  508  -1
1994  505  -1
2030  626  -1
2035  870  -1
1866  534  0
1867  533  0
386   108  1
385   107  1
469   691  2
468   690  2
472   687  3
472   687  3
543   650  4
544   651  4
543   650  4
1539  460  5
1538  459  5
1538  456  5
1538  461  5
1537  456  5
1537  458  5
1537  462  5
1565  431  6
1565  431  6
1564  436  7
1565  435  7
1599  402  8
1597  401  8
1599  403  8
1597  401  8
1600  402  8
1597  399  8
1596  402  8
1629  580  9
1628  582  9
1689  267  10
1691  268  10
1723  603  11
1724  603  11
1740  624  12
1739  625  12
1741  622  12
1760  591  13
1760  589  13
1759  592  13
1761  589  13
1759  593  13
1785  731  14
1785  732  14
1790  816  15
1790  815  15
1788  817  15
1819  442  16
1819  442  16
1848  559  17
1847  561  17
1854  654  18
1853  653  18
1855  654  18
1873  400  19
1875  399  19
1918  505  20
1918  504  20
1927  558  21
1929  558  21
2028  628  22
2026  628  22
2028  628  22
