# Filename: CLN3-561nm_416_bidi_60x_013.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X     CLUSTER_ID
31    1184  -1
36    1853  -1
63    1245  -1
105   1896  -1
125   1701  -1
155   1205  -1
162   1916  -1
187   1694  -1
240   1773  -1
334   708   -1
548   473   -1
616   494   -1
660   547   -1
727   561   -1
742   604   -1
772   577   -1
818   517   -1
819   578   -1
856   453   -1
858   619   -1
918   352   -1
920   959   -1
924   651   -1
926   366   -1
929   600   -1
941   332   -1
970   607   -1
1017  577   -1
1025  1099  -1
1049  616   -1
1061  606   -1
1064  1430  -1
1082  559   -1
1084  627   -1
1091  1122  -1
1092  1325  -1
1099  1086  -1
1118  458   -1
1142  1388  -1
1162  1379  -1
1187  361   -1
1188  1344  -1
1220  1355  -1
1224  603   -1
1228  467   -1
1237  501   -1
1242  1318  -1
1261  480   -1
1309  603   -1
1319  593   -1
1319  602   -1
1344  1279  -1
1407  501   -1
1433  756   -1
1441  1310  -1
1449  1561  -1
1468  773   -1
1496  334   -1
1511  787   -1
1646  1382  -1
162   1112  -1
356   1741  -1
753   1713  -1
764   625   -1
778   467   -1
812   581   -1
903   380   -1
923   356   -1
952   319   -1
1188  555   -1
1210  566   -1
1223  502   -1
1242  1325  -1
1263  591   -1
1295  1317  -1
1300  1316  -1
1361  526   -1
1359  522   -1
1377  552   -1
1385  551   -1
1386  548   -1
1384  546   -1
1391  1100  -1
1421  1179  -1
1472  743   -1
1509  792   -1
208   1702  0
210   1701  0
209   1707  1
211   1706  1
286   1735  2
285   1737  2
336   1716  3
337   1716  3
360   1742  4
362   1742  4
409   1741  5
410   1740  5
408   1741  5
411   1745  6
412   1744  6
436   1754  7
436   1753  7
435   1754  7
437   1752  7
819   504   8
820   502   8
863   780   9
863   779   9
864   780   9
861   780   9
903   377   10
903   377   10
904   377   10
930   637   11
931   636   11
951   297   12
951   295   12
963   1106  13
963   1105  13
1007  1176  14
1007  1176  14
1044  1120  15
1044  1120  15
1104  1400  16
1105  1401  16
1193  554   17
1191  553   17
1198  1138  18
1199  1138  18
1198  1139  18
1198  1136  18
1257  589   19
1257  588   19
1257  589   19
1257  588   19
1256  591   19
1259  590   19
1279  518   20
1279  518   20
1280  518   20
1277  517   20
1357  524   21
1357  524   21
1436  724   22
1437  723   22
1436  725   22
1437  723   22
1435  725   22
