# Filename: CLN3-561nm_416_bidi_60x_019.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X     NUM_PUNCTA    CLUSTER_ID
46    912   3             0
70    858   2             1
181   1767  2             2
211   900   2             3
237   681   2             4
308   844   2             5
320   1371  2             6
645   208   2             7
707   391   2             8
889   1368  2             9
960   313   3             10
984   636   3             11
995   592   2             12
1044  543   5             13
1072  394   2             14
1164  1053  2             15
1232  1010  2             16
1332  250   5             17
1696  410   2             18
1710  469   2             19
1764  278   2             20
1983  567   2             21
