# Filename: CLN3-561nm_416_bidi_60x_021.tif
# Puncta radius (pixels): 1.3888888888888888
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X
71    1669
186   664
195   1252
197   1248
227   1261
251   641
252   630
254   590
261   1823
269   1807
291   384
294   329
303   567
326   1256
347   1219
364   563
368   1201
394   528
401   1418
415   1734
428   388
440   611
446   617
458   657
469   497
472   492
473   1108
476   588
493   1398
532   277
536   783
543   1099
557   574
563   785
570   491
570   726
570   1464
584   1558
596   1755
616   1018
635   1393
636   451
649   1705
663   1510
667   1621
678   733
679   1176
680   955
680   961
681   1614
705   1091
706   833
722   788
722   1332
724   1329
727   1331
750   707
762   837
765   367
767   444
774   906
781   485
784   812
786   1029
797   1319
798   455
802   452
809   1036
814   1164
825   1218
826   819
856   643
863   963
875   320
875   890
882   1127
885   813
886   1151
889   1146
907   910
908   919
927   900
975   908
982   1371
999   907
999   1539
1008  918
1008  1428
1009  850
1013  1403
1021  870
1031  1565
1037  1120
1042  892
1044  1767
1050  834
1085  696
1094  781
1101  1594
1122  1376
1146  1170
1147  1493
1179  1439
1192  744
1205  1453
1229  744
1238  727
1245  1472
1247  1035
1273  1281
1285  706
1289  707
1292  703
1320  1323
1332  530
1351  370
1385  427
1387  439
1406  483
1417  1378
1441  501
1445  1216
1454  521
1459  413
1480  1310
1498  1306
1499  1314
1518  536
1530  368
1532  532
1542  359
1553  1279
1648  379
1739  258
1793  116
1830  194
1858  161
1876  114
