# Filename: BNI1-640nm_416_bidi_003.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X     CLUSTER_ID
339   521   -1
464   1790  -1
916   584   -1
924   696   -1
925   681   -1
928   693   -1
930   1242  -1
933   729   -1
937   602   -1
939   572   -1
941   740   -1
955   597   -1
957   687   -1
958   592   -1
963   696   -1
966   774   -1
966   1280  -1
967   571   -1
968   530   -1
971   777   -1
972   1278  -1
985   553   -1
985   634   -1
985   657   -1
986   1289  -1
987   563   -1
987   590   -1
991   692   -1
991   1277  -1
992   553   -1
996   722   -1
999   526   -1
999   752   -1
1002  569   -1
1002  623   -1
1002  633   -1
1003  759   -1
1005  640   -1
1006  557   -1
1006  776   -1
1007  562   -1
1007  635   -1
1008  530   -1
1011  555   -1
1011  608   -1
1013  787   -1
1015  557   -1
1015  778   -1
1016  718   -1
1017  570   -1
1018  668   -1
1018  684   -1
1018  689   -1
1018  1326  -1
1020  662   -1
1020  722   -1
1022  780   -1
1023  751   -1
1024  560   -1
1029  675   -1
1031  660   -1
1031  768   -1
1033  750   -1
1035  677   -1
1038  1308  -1
1038  1332  -1
1040  661   -1
1044  675   -1
1047  661   -1
1050  570   -1
1050  684   -1
1055  1315  -1
1058  571   -1
1058  621   -1
1060  568   -1
1065  744   -1
1066  687   -1
1066  737   -1
1068  567   -1
1068  1320  -1
1074  686   -1
1075  644   -1
1075  690   -1
1078  671   -1
1079  685   -1
1080  746   -1
1081  567   -1
1081  1324  -1
1084  762   -1
1085  665   -1
1088  636   -1
1089  662   -1
1093  658   -1
1094  938   -1
1096  692   -1
1097  933   -1
1098  681   -1
1100  576   -1
1101  587   -1
1104  652   -1
1107  563   -1
1107  735   -1
1109  652   -1
1109  667   -1
1110  617   -1
1113  716   -1
1114  858   -1
1117  555   -1
1117  671   -1
1118  676   -1
1121  845   -1
1122  699   -1
1122  827   -1
1123  588   -1
1125  656   -1
1125  661   -1
1127  703   -1
1128  861   -1
1132  609   -1
1133  564   -1
1137  826   -1
1137  874   -1
1138  652   -1
1139  673   -1
1144  607   -1
1145  754   -1
1147  691   -1
1154  666   -1
1155  609   -1
1155  704   -1
1155  831   -1
1156  580   -1
1157  570   -1
1157  857   -1
1159  626   -1
1160  673   -1
1161  613   -1
1162  669   -1
1162  812   -1
1163  641   -1
1166  614   -1
1166  629   -1
1166  802   -1
1168  1305  -1
1169  570   -1
1170  658   -1
1170  688   -1
1171  646   -1
1171  664   -1
1172  702   -1
1174  640   -1
1174  676   -1
1174  691   -1
1175  437   -1
1175  661   -1
1176  628   -1
1176  863   -1
1177  681   -1
1178  870   -1
1179  582   -1
1181  454   -1
1182  681   -1
1183  595   -1
1183  677   -1
1184  1322  -1
1186  591   -1
1186  701   -1
1186  746   -1
1186  869   -1
1187  671   -1
1188  622   -1
1188  667   -1
1191  536   -1
1191  660   -1
1192  472   -1
1192  670   -1
1193  733   -1
1193  859   -1
1193  911   -1
1193  1313  -1
1194  805   -1
1195  828   -1
1196  488   -1
1196  594   -1
1196  603   -1
1196  648   -1
1196  820   -1
1196  922   -1
1197  624   -1
1197  675   -1
1197  689   -1
1197  916   -1
1197  1316  -1
1198  640   -1
1199  578   -1
1199  653   -1
1200  1299  -1
1201  678   -1
1204  459   -1
1204  510   -1
1208  657   -1
1209  669   -1
1210  582   -1
1211  814   -1
1213  890   -1
1217  657   -1
1217  873   -1
1218  640   -1
1218  694   -1
1218  759   -1
1220  664   -1
1221  661   -1
1221  750   -1
1221  869   -1
1223  894   -1
1227  833   -1
1227  856   -1
1228  721   -1
1229  591   -1
1229  896   -1
1230  561   -1
1230  704   -1
1232  574   -1
1235  688   -1
1236  893   -1
1238  666   -1
1238  756   -1
1239  661   -1
1241  781   -1
1241  801   -1
1241  870   -1
1241  895   -1
1242  862   -1
1243  1301  -1
1245  808   -1
1247  869   -1
1247  883   -1
1250  814   -1
1250  836   -1
1251  670   -1
1251  711   -1
1252  687   -1
1253  833   -1
1254  819   -1
1255  699   -1
1257  665   -1
1258  549   -1
1260  819   -1
1260  861   -1
1261  572   -1
1262  1301  -1
1263  644   -1
1264  651   -1
1266  709   -1
1266  748   -1
1267  641   -1
1267  646   -1
1267  822   -1
1268  728   -1
1268  864   -1
1271  564   -1
1272  555   -1
1273  655   -1
1274  673   -1
1274  885   -1
1274  891   -1
1276  642   -1
1277  662   -1
1277  733   -1
1278  890   -1
1282  647   -1
1282  655   -1
1282  727   -1
1284  515   -1
1285  930   -1
1286  651   -1
1286  984   -1
1287  690   -1
1287  969   -1
1288  942   -1
1289  898   -1
1290  528   -1
1291  924   -1
1292  876   -1
1292  961   -1
1294  642   -1
1295  657   -1
1295  737   -1
1295  925   -1
1295  952   -1
1297  766   -1
1298  626   -1
1298  649   -1
1298  893   -1
1298  936   -1
1299  654   -1
1299  901   -1
1299  927   -1
1300  505   -1
1300  636   -1
1300  664   -1
1301  520   -1
1302  667   -1
1304  1003  -1
1305  905   -1
1305  992   -1
1306  662   -1
1306  883   -1
1309  692   -1
1309  844   -1
