# Filename: BNI1-640nm_416_bidi_015.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X     NUM_PUNCTA    CLUSTER_ID
628   651   2             0
327   238   2             1
330   712   2             2
358   354   3             3
368   344   7             4
406   719   5             5
406   723   2             6
440   514   8             7
449   490   2             8
487   762   7             9
527   655   3             10
589   686   6             11
588   690   5             12
595   559   2             13
631   502   2             14
638   647   5             15
637   652   2             16
633   650   2             17
713   476   17            18
741   428   5             19
1285  1124  3             20
1408  962   2             21
1512  799   2             22
