# Filename: BNI1-640nm_416_bidi_020.tif
# Puncta radius (pixels): 1.3888888888888888
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X
37    1481
95    622
136   690
161   1274
163   1281
178   1472
196   793
245   1191
249   1196
257   841
288   1202
311   174
325   1133
329   1138
371   1479
422   960
430   979
436   1498
441   1116
453   1087
489   943
530   1115
538   1056
545   1097
558   1127
562   1123
565   1079
591   1177
660   977
717   960
719   956
727   959
741   955
756   827
800   1345
867   1279
877   1290
933   1321
938   925
954   1249
958   1106
963   1379
977   1377
986   1221
994   1211
1018  1229
1021  1209
1029  1186
1037  1228
1042  1218
1056  1262
1067  1313
1070  1083
1076  1250
1079  1034
1080  1223
1086  1221
1089  1229
1094  1290
1096  1251
1100  1296
1101  1301
1102  1227
1102  1258
1106  1297
1123  1235
1124  1248
1124  1309
1132  1232
1132  1304
1134  1278
1135  1299
1147  1317
1150  1301
1156  1239
1167  1301
1171  1304
1184  1225
1206  1235
1293  1208
1373  1792
1381  1224
1638  1470
1639  1493
1642  1473
1647  1471
1652  1466
1687  1297
1707  1386
1716  1383
1727  1367
1950  1240
