# Filename: CLN3-561nm_416_bidi_009.tif
# Puncta radius (pixels): 1.3888888888888888
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X
121   193
160   201
268   214
277   286
298   272
346   499
374   456
381   595
384   583
385   599
387   542
391   539
396   292
398   252
419   471
434   340
438   579
450   333
456   337
472   541
477   312
478   567
493   449
521   252
535   261
546   265
558   421
563   396
566   401
617   381
619   371
622   367
670   322
675   328
690   258
697   284
743   293
767   199
778   231
805   272
814   273
816   314
826   286
833   284
857   314
868   247
884   1753
900   1393
906   251
914   1435
919   260
927   1133
933   1368
939   1738
964   429
968   282
968   417
977   278
979   266
980   371
982   431
990   276
1000  304
1001  432
1003  353
1003  460
1005  308
1007  502
1008  383
1014  339
1029  1486
1032  519
1036  1565
1038  482
1099  1553
1130  1030
1147  1478
1151  1081
1152  1373
1158  1405
1170  1545
1177  1485
1196  1137
1198  1131
1215  1616
1217  1253
1225  1504
1227  1477
1243  1207
1264  1401
1265  1269
1266  1542
1267  1101
1271  1509
1281  1413
1298  1222
1305  1410
1314  514
1320  517
1333  1185
1347  1433
1357  1101
1365  1352
1402  1222
1403  1268
1414  1235
1420  1263
1421  1157
1431  1131
1432  1254
1434  1135
1435  1258
1435  1890
1457  1276
1458  1271
1479  1074
1485  1167
1487  1219
1487  1704
1490  1112
1493  1454
1495  1701
1496  1078
1527  1227
1557  1102
1560  1269
1566  1451
1572  1163
1600  1147
1610  1144
1627  719
1634  1180
