# Filename: CLN3-561nm_416_bidi_011.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X     NUM_PUNCTA    CLUSTER_ID
294   758   2             0
354   693   2             1
364   678   2             2
371   1085  2             3
479   325   2             4
493   802   2             5
539   262   2             6
744   1389  2             7
747   1565  2             8
754   1470  3             9
767   1380  2             10
775   1463  2             11
776   920   2             12
777   265   2             13
780   919   2             14
797   1368  2             15
807   908   2             16
821   1433  2             17
846   1375  2             18
866   898   2             19
881   1470  2             20
893   1469  2             21
930   858   2             22
952   831   3             23
957   1354  2             24
986   722   3             25
988   432   2             26
1003  747   2             27
1004  142   2             28
1034  636   2             29
1040  1423  2             30
1057  1451  2             31
1069  1398  2             32
1093  1527  2             33
1096  532   2             34
1110  1374  2             35
1139  1538  2             36
1139  1591  2             37
1147  1643  3             38
1163  1654  2             39
1165  1585  3             40
1171  1656  2             41
1175  1461  2             42
1210  1784  2             43
1228  1784  3             44
1390  1034  2             45
1407  555   2             46
1408  1395  2             47
1416  1400  3             48
1421  1709  2             49
1427  1382  2             50
1434  1383  2             51
1459  1429  2             52
1479  954   2             53
1509  952   2             54
1519  922   2             55
1531  1311  2             56
1539  1636  2             57
1558  1611  2             58
1590  1710  2             59
1605  1400  2             60
1607  1534  2             61
1612  1509  2             62
1625  1624  2             63
1629  1422  8             64
1633  1674  2             65
1648  1667  2             66
1666  1602  2             67
1698  1568  2             68
1700  1401  2             69
1715  1690  2             70
87    1098  2             71
88    1058  6             72
113   1077  2             73
113   1074  2             74
118   913   13            75
150   1049  2             76
146   1047  2             77
244   1259  7             78
249   623   2             79
291   435   2             80
295   1154  2             81
302   1241  7             82
311   330   6             83
311   763   2             84
328   523   3             85
341   1232  8             86
339   315   2             87
343   634   2             88
342   1222  2             89
345   1245  2             90
346   768   3             91
346   1187  2             92
357   256   4             93
356   1061  2             94
358   1230  2             95
363   1225  11            96
361   812   2             97
362   1063  2             98
362   1090  2             99
365   1094  2             100
371   1094  3             101
371   807   5             102
370   1319  3             103
371   706   2             104
376   1070  32            105
373   799   2             106
379   517   3             107
378   776   2             108
381   734   2             109
391   1303  2             110
390   824   2             111
398   816   2             112
401   520   40            113
412   242   7             114
423   597   2             115
431   1217  2             116
436   834   2             117
438   479   2             118
440   731   2             119
441   820   2             120
451   617   4             121
451   622   2             122
452   836   2             123
453   818   3             124
452   765   2             125
455   733   3             126
456   750   2             127
457   531   2             128
460   526   2             129
462   371   3             130
461   759   2             131
465   458   2             132
465   677   4             133
466   727   3             134
468   1229  2             135
475   713   5             136
471   707   4             137
472   248   3             138
473   841   2             139
475   692   2             140
477   744   2             141
478   805   2             142
484   762   4             143
485   539   2             144
483   704   2             145
484   1235  2             146
487   468   2             147
486   562   2             148
493   599   2             149
492   798   2             150
495   546   2             151
495   779   2             152
497   591   2             153
498   1237  2             154
500   620   2             155
501   817   2             156
504   635   2             157
512   627   2             158
513   667   3             159
512   792   2             160
516   466   2             161
518   788   2             162
519   630   2             163
523   814   2             164
526   748   2             165
535   266   2             166
548   778   2             167
549   687   2             168
552   770   2             169
552   776   2             170
556   746   2             171
557   689   2             172
562   702   2             173
565   461   4             174
563   696   2             175
564   769   2             176
566   490   2             177
575   497   2             178
581   743   2             179
589   755   2             180
590   570   2             181
591   637   3             182
592   707   2             183
596   688   2             184
595   783   2             185
599   544   2             186
598   682   2             187
599   758   2             188
600   743   3             189
601   788   6             190
602   560   2             191
607   592   2             192
608   622   2             193
614   621   2             194
616   736   2             195
616   741   2             196
616   662   2             197
618   607   2             198
623   795   2             199
624   578   2             200
627   746   2             201
631   695   2             202
630   818   2             203
632   602   2             204
637   670   2             205
640   852   2             206
643   837   2             207
643   849   2             208
645   584   2             209
646   718   2             210
652   653   2             211
653   711   2             212
664   667   2             213
666   588   2             214
667   712   2             215
668   720   2             216
672   657   2             217
672   602   2             218
676   990   2             219
676   974   3             220
685   959   5             221
683   976   2             222
685   670   3             223
687   634   2             224
687   705   3             225
690   991   2             226
692   967   2             227
698   949   4             228
696   1544  2             229
701   621   2             230
702   977   2             231
703   980   2             232
707   252   2             233
716   943   8             234
716   1450  2             235
724   1401  2             236
724   1432  2             237
727   1436  3             238
726   1460  2             239
730   1391  2             240
730   249   2             241
732   1383  2             242
732   1416  2             243
744   934   5             244
738   933   2             245
738   1429  4             246
742   1459  14            247
740   1455  7             248
741   920   2             249
743   942   2             250
745   1373  4             251
747   1412  9             252
751   1560  2             253
749   260   2             254
747   1583  2             255
749   924   3             256
749   1421  2             257
749   1471  3             258
752   917   2             259
756   910   2             260
758   944   2             261
757   1427  2             262
761   1466  2             263
762   1407  6             264
764   1403  3             265
762   1373  3             266
763   223   2             267
767   1443  4             268
765   912   2             269
765   918   2             270
764   1422  2             271
767   218   2             272
767   1468  2             273
770   910   2             274
769   927   2             275
770   1439  3             276
772   1354  2             277
774   1423  23            278
775   1469  4             279
772   1530  2             280
773   1363  2             281
773   1393  2             282
775   347   2             283
775   375   2             284
774   1481  2             285
779   1383  2             286
778   1379  4             287
780   197   2             288
780   1488  2             289
781   1396  2             290
785   926   2             291
786   932   2             292
785   1446  2             293
790   911   2             294
788   1479  3             295
794   1477  3             296
790   931   2             297
794   1469  2             298
791   1466  3             299
791   1435  2             300
794   1452  3             301
795   923   3             302
796   1431  2             303
796   900   2             304
801   1374  49            305
801   1424  3             306
805   894   3             307
805   914   4             308
806   1422  5             309
807   1426  3             310
809   901   2             311
813   1452  2             312
814   894   2             313
814   912   2             314
814   1403  2             315
814   1414  2             316
815   1377  2             317
817   1474  33            318
817   1349  2             319
820   1378  2             320
821   63    2             321
821   237   4             322
821   896   2             323
824   3     3             324
827   909   47            325
837   908   2             326
823   1369  2             327
824   1441  2             328
825   1350  2             329
826   1425  2             330
827   1456  2             331
828   56    4             332
828   221   6             333
827   1381  2             334
828   902   2             335
829   1365  2             336
830   1383  2             337
832   233   2             338
842   1369  8             339
842   1373  3             340
839   1433  2             341
841   1294  2             342
841   1473  4             343
843   353   3             344
842   1462  2             345
848   1443  2             346
844   1444  2             347
844   1467  2             348
845   888   2             349
845   1276  2             350
846   908   2             351
849   909   2             352
847   1321  3             353
847   1380  2             354
846   894   2             355
846   1294  2             356
847   315   2             357
848   1464  2             358
853   1363  2             359
853   1321  2             360
853   1344  3             361
854   905   3             362
854   1335  2             363
855   329   2             364
856   1352  3             365
858   1475  2             366
859   1297  2             367
860   344   2             368
864   870   2             369
860   1386  2             370
860   1440  2             371
865   888   2             372
863   1343  2             373
866   1455  46            374
864   1313  2             375
864   882   2             376
864   1302  2             377
866   1333  3             378
866   1374  2             379
866   1436  2             380
868   866   2             381
867   1369  2             382
869   884   2             383
873   886   3             384
873   895   2             385
872   1376  3             386
878   1377  2             387
873   7     2             388
873   880   2             389
873   1342  2             390
873   1438  3             391
878   891   2             392
878   1357  2             393
879   1366  2             394
882   862   2             395
884   326   10            396
886   887   4             397
883   889   3             398
885   876   3             399
885   1364  2             400
888   1444  4             401
886   857   2             402
888   864   2             403
893   1464  2             404
891   1341  2             405
892   114   2             406
893   880   2             407
896   1361  4             408
897   858   2             409
898   876   4             410
901   1451  2             411
902   858   2             412
904   1419  9             413
906   1448  2             414
905   852   2             415
906   63    2             416
907   870   2             417
909   318   2             418
911   40    2             419
917   853   52            420
915   861   3             421
913   874   2             422
913   1420  2             423
914   127   2             424
919   1466  2             425
922   1436  16            426
921   1457  2             427
924   273   2             428
926   137   2             429
926   1335  2             430
928   1356  9             431
927   1451  3             432
926   252   2             433
926   1346  2             434
933   1433  3             435
937   1431  5             436
930   1464  2             437
933   1455  3             438
933   834   2             439
933   1422  2             440
938   1344  2             441
938   824   2             442
939   1364  2             443
938   1370  2             444
942   831   2             445
947   807   3             446
947   813   2             447
946   810   2             448
945   816   2             449
946   826   2             450
948   1437  12            451
950   841   3             452
951   850   2             453
953   144   2             454
954   796   6             455
955   1421  3             456
955   815   2             457
956   1368  2             458
957   131   2             459
958   812   2             460
963   836   3             461
964   826   13            462
964   762   2             463
963   812   2             464
965   1418  2             465
965   786   3             466
965   801   3             467
967   832   3             468
969   764   2             469
970   141   10            470
973   777   2             471
975   810   2             472
974   1334  3             473
974   1427  3             474
975   160   2             475
976   738   3             476
980   1419  3             477
979   1422  2             478
975   1456  2             479
978   786   2             480
978   1337  2             481
978   1363  3             482
979   792   2             483
980   1427  2             484
982   1361  2             485
980   1451  2             486
981   321   2             487
983   307   2             488
982   729   2             489
984   765   2             490
984   755   3             491
984   802   3             492
984   771   2             493
984   784   2             494
985   1458  2             495
988   788   3             496
990   794   2             497
988   768   2             498
990   416   2             499
990   748   2             500
990   1448  2             501
992   390   2             502
993   386   2             503
991   706   3             504
992   733   2             505
995   755   4             506
992   756   2             507
1000  755   2             508
991   780   2             509
993   1335  2             510
994   433   2             511
995   762   2             512
995   319   2             513
996   722   2             514
995   727   2             515
997   178   4             516
999   1437  16            517
997   697   3             518
998   1458  2             519
998   716   2             520
1001  149   2             521
1004  428   3             522
1006  684   2             523
1010  369   2             524
1008  389   2             525
1008  1447  2             526
1009  1335  2             527
1009  1435  2             528
1009  699   2             529
1011  166   2             530
1011  665   2             531
1015  650   3             532
1014  400   2             533
1014  709   2             534
1014  712   2             535
1015  667   2             536
1016  728   3             537
1019  723   2             538
1018  147   2             539
1017  640   3             540
1018  645   3             541
1017  1331  2             542
1019  173   5             543
1018  1437  3             544
1022  680   2             545
1025  696   20            546
1025  702   2             547
1023  646   2             548
1025  662   4             549
1025  654   4             550
1025  310   3             551
1026  631   2             552
1026  637   2             553
1026  1465  3             554
1029  176   6             555
1027  1324  2             556
1030  1457  6             557
1033  1460  3             558
1036  624   4             559
1037  648   2             560
1039  652   3             561
1040  681   3             562
1037  633   2             563
1037  1437  2             564
1039  1440  4             565
1046  598   30            566
1039  599   2             567
1038  1466  2             568
1040  628   4             569
1040  1341  2             570
1040  661   2             571
1041  1332  2             572
1045  1476  3             573
1048  1435  2             574
1053  1427  2             575
1054  662   2             576
1054  659   2             577
1055  584   2             578
1056  620   2             579
1056  1313  2             580
1058  187   2             581
1058  183   2             582
1061  1435  4             583
1058  1459  2             584
1061  578   2             585
1061  1461  2             586
1062  1488  3             587
1062  1494  2             588
1066  1454  4             589
1068  1501  4             590
1071  612   3             591
1068  613   2             592
1067  1450  2             593
1070  566   2             594
1070  607   2             595
1072  626   4             596
1071  1395  2             597
1073  1414  2             598
1080  1473  45            599
1077  572   3             600
1079  585   2             601
1078  1398  2             602
1078  1507  3             603
1081  1519  2             604
1087  564   2             605
1081  627   2             606
1083  288   2             607
1082  308   2             608
1084  1486  2             609
1085  1451  2             610
1086  1457  4             611
1086  1357  3             612
1087  621   2             613
1087  608   2             614
1088  1440  2             615
1091  1387  4             616
1091  568   2             617
1090  599   2             618
1094  1510  2             619
1094  529   2             620
1094  1430  2             621
1097  275   2             622
1102  541   6             623
1103  535   2             624
1101  1471  2             625
1103  1557  2             626
1103  1487  2             627
1104  277   2             628
1105  1384  2             629
1107  1480  2             630
1110  1479  2             631
1105  1531  2             632
1108  1546  2             633
1110  535   2             634
1110  585   2             635
1110  1310  2             636
1111  1421  2             637
1110  1424  2             638
1110  1542  2             639
1111  1455  2             640
1111  1525  2             641
1113  564   3             642
1115  1362  5             643
1112  1504  2             644
1115  514   2             645
1115  1383  2             646
1116  1457  2             647
1119  277   4             648
1117  1448  2             649
1120  1564  2             650
1123  1527  10            651
1125  1535  2             652
1125  516   2             653
1126  1476  2             654
1126  1636  2             655
1128  277   3             656
1131  1554  33            657
1130  1548  2             658
1131  557   2             659
1131  1365  2             660
1134  1526  2             661
1133  289   2             662
1132  1659  2             663
1137  1576  47            664
1134  525   3             665
1136  555   2             666
1135  1671  2             667
1140  1650  12            668
1140  380   3             669
1140  376   2             670
1141  521   3             671
1141  1310  2             672
1141  1515  2             673
1142  542   2             674
1144  1535  6             675
1143  550   2             676
1144  1439  2             677
1145  1446  2             678
1145  1489  2             679
1145  1666  2             680
1146  1331  2             681
1145  1412  2             682
1148  1696  2             683
1148  1611  2             684
1150  469   2             685
1150  1312  2             686
1151  1505  2             687
1151  1657  2             688
1152  1379  2             689
1151  1699  2             690
1153  1463  2             691
1153  1634  3             692
1154  1296  2             693
1155  376   2             694
1155  1582  2             695
1156  1600  3             696
1156  448   2             697
1158  458   2             698
1159  391   2             699
1161  491   3             700
1160  483   2             701
1160  1707  7             702
1162  1679  14            703
1161  1663  3             704
1161  1290  2             705
1161  1399  2             706
1161  1615  3             707
1162  1671  2             708
1162  373   2             709
1167  1653  3             710
1166  1708  2             711
1165  1750  3             712
1165  449   2             713
1165  1521  2             714
1167  1304  3             715
1169  1458  2             716
1167  1460  2             717
1169  1325  2             718
1169  1416  2             719
1170  458   2             720
1170  1595  2             721
1172  1580  2             722
1172  1602  2             723
1174  1689  5             724
1174  387   3             725
1174  390   2             726
1174  277   2             727
1176  1698  2             728
1177  288   2             729
1175  1565  2             730
1178  1442  2             731
1180  443   4             732
1180  1610  3             733
1182  429   9             734
1180  457   2             735
1180  1318  2             736
1180  1545  2             737
1181  494   3             738
1180  1699  2             739
1182  1311  2             740
1183  1784  2             741
1183  413   2             742
1185  1684  3             743
1187  389   2             744
1186  1720  3             745
1188  1489  2             746
1189  1481  2             747
1191  1285  2             748
1192  403   4             749
1192  1661  3             750
1194  1291  2             751
1200  1458  2             752
1199  1577  2             753
1199  1567  2             754
1199  1593  2             755
1198  1698  3             756
1204  1303  2             757
1203  1618  2             758
1206  427   3             759
1207  1684  2             760
1207  1640  2             761
1211  404   2             762
1213  1460  5             763
1214  1745  2             764
1212  1802  2             765
1214  1482  2             766
1219  477   2             767
1220  483   2             768
1221  407   2             769
1221  432   2             770
1221  1687  2             771
1222  1451  2             772
1222  1291  2             773
1226  1279  2             774
1231  1801  2             775
1228  408   2             776
1230  1319  2             777
1233  1469  2             778
1235  490   2             779
1237  1740  2             780
1239  1788  4             781
1245  441   2             782
1250  403   3             783
1249  1726  2             784
1250  1493  2             785
1252  480   4             786
1252  1782  2             787
1255  1773  2             788
1255  435   2             789
1261  1480  2             790
1261  1453  2             791
1262  409   2             792
1266  407   2             793
1267  399   2             794
1269  1271  2             795
1271  413   4             796
1284  1293  2             797
1285  1485  2             798
1288  1664  4             799
1289  1475  2             800
1295  415   6             801
1295  1486  9             802
1295  395   2             803
1300  421   32            804
1305  1493  2             805
1308  1503  2             806
1310  1741  2             807
1312  452   2             808
1318  431   3             809
1317  452   2             810
1316  1459  2             811
1317  401   2             812
1321  577   2             813
1320  1250  2             814
1322  463   2             815
1322  585   2             816
1328  604   2             817
1329  1471  2             818
1333  587   2             819
1332  1426  2             820
1335  1239  2             821
1336  1481  7             822
1337  458   2             823
1337  1716  2             824
1338  1021  2             825
1339  1024  2             826
1339  998   2             827
1340  487   2             828
1342  1498  2             829
1345  1474  2             830
1348  469   2             831
1347  577   2             832
1347  556   2             833
1349  1016  2             834
1349  989   2             835
1354  561   2             836
1353  1571  2             837
1354  1032  2             838
1355  1575  2             839
1359  1022  2             840
1360  540   2             841
1360  1647  2             842
1363  992   4             843
1362  511   2             844
1361  1736  2             845
1363  518   2             846
1364  1450  2             847
1367  509   2             848
1368  1013  2             849
1367  1029  2             850
1370  543   2             851
1371  985   2             852
1370  1050  2             853
1370  1214  2             854
1371  563   2             855
1372  1003  2             856
1373  1672  2             857
1375  517   3             858
1377  1045  3             859
1376  1790  2             860
1377  552   3             861
1376  1003  2             862
1379  505   2             863
1381  581   2             864
1380  1705  2             865
1380  517   2             866
1381  1174  2             867
1381  1562  2             868
1384  1018  14            869
1382  193   2             870
1383  1477  2             871
1384  1761  2             872
1382  1802  2             873
1384  870   2             874
1383  995   3             875
1384  1242  2             876
1384  1435  2             877
1386  1685  2             878
1386  1193  2             879
1387  1763  2             880
1390  926   2             881
1391  579   2             882
