# Filename: BNI1-640nm_bidi_pfa_001.tif
# Puncta radius (pixels): 1.3888888888888888
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X
384   969
399   1318
405   999
415   420
415   916
419   879
429   739
435   946
451   1474
461   689
473   958
483   971
488   1265
500   275
501   288
502   382
524   382
526   345
528   1753
540   612
547   278
572   1221
591   1893
595   554
600   87
607   1221
637   1345
644   1000
648   1661
668   1866
685   1912
705   1253
709   299
731   1462
732   571
733   1074
733   1279
742   1071
744   1016
749   1720
773   623
789   972
793   971
805   569
809   564
828   678
843   1216
850   1059
857   1230
857   1236
866   655
868   998
871   575
871   1597
880   639
889   1425
893   1171
895   1329
899   1465
902   1100
905   1213
910   665
919   1158
921   476
921   1696
921   1763
922   635
925   1079
926   571
936   1759
937   1216
943   1034
947   1128
950   676
951   486
954   470
957   482
958   1334
961   1754
962   991
962   1332
965   1773
966   990
969   1784
972   645
976   1089
977   1033
984   1370
992   843
992   1661
994   818
997   1066
1001  843
1002  1092
1002  1494
1006  774
1010  849
1011  727
1017  1473
1018  1468
1023  342
1023  655
1025  837
1029  806
1029  837
1030  813
1033  359
1036  549
1039  559
1039  957
1042  574
1043  761
1047  644
1047  792
1051  628
1053  779
1057  857
1059  432
1066  579
1066  612
1066  956
1074  734
1087  467
1089  566
1093  556
1095  1096
1096  477
1100  429
1100  987
1102  585
1112  450
1121  1622
1123  1627
1125  876
1131  393
1132  591
1138  984
1142  361
1146  538
1156  1431
1157  1160
1158  1138
1161  997
1164  1670
1165  532
1165  1092
1166  1004
1167  683
1170  1042
1171  1655
1173  1003
1174  1022
1175  593
1176  1032
1177  1654
1179  529
1182  969
1183  490
1186  495
1186  1501
1188  994
1191  1498
1208  1071
1221  1702
1226  1703
1227  839
1231  1048
1245  1632
1248  1456
1249  1468
1256  1634
1257  1608
1265  256
1267  1593
1268  1538
1283  1505
1289  1525
1298  1213
1312  1633
1329  1069
1340  1068
1352  1053
1368  1060
1369  1235
1408  1098
1413  1123
1432  1163
1434  1146
1438  1144
1455  1239
1456  1148
1457  1224
1460  1233
1508  1153
1509  1060
1511  497
1513  501
1518  1248
1530  1755
1537  1881
1542  1885
1543  1263
1549  1245
1557  1745
1560  437
1567  1835
1570  1750
1578  427
1581  1130
1582  1138
1583  1099
1586  1128
1620  1347
1625  1208
1630  1204
1633  1144
1637  1142
1638  1274
1669  1115
1737  757
1747  696
1778  371
1844  517
1860  925
1862  919
1995  866
