# Filename: BNI1-640nm_bidi_pfa_004.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X     CLUSTER_ID
106   1017  -1
147   579   -1
160   564   -1
173   1085  -1
191   525   -1
225   597   -1
226   413   -1
231   439   -1
231   444   -1
233   739   -1
330   461   -1
334   506   -1
337   1341  -1
362   1631  -1
364   384   -1
405   1602  -1
418   361   -1
441   1696  -1
458   360   -1
461   216   -1
537   797   -1
544   867   -1
553   314   -1
557   1654  -1
564   246   -1
593   1955  -1
595   303   -1
613   1632  -1
623   252   -1
629   1280  -1
655   1289  -1
663   1976  -1
691   1261  -1
705   1969  -1
716   1038  -1
723   1275  -1
732   1169  -1
748   1365  -1
763   783   -1
774   725   -1
804   1275  -1
818   1372  -1
819   1031  -1
830   1033  -1
834   1230  -1
835   1113  -1
843   1111  -1
845   1172  -1
853   1583  -1
857   1376  -1
868   1233  -1
871   1249  -1
881   836   -1
893   1135  -1
899   1342  -1
900   1232  -1
906   1095  -1
915   764   -1
918   1138  -1
918   1211  -1
921   1102  -1
939   1092  -1
941   1214  -1
944   1236  -1
947   999   -1
949   1111  -1
950   701   -1
951   1270  -1
956   1241  -1
959   882   -1
962   829   -1
963   974   -1
966   983   -1
972   1418  -1
978   902   -1
992   596   -1
1012  1226  -1
1018  1000  -1
1021  958   -1
1040  1215  -1
1044  1197  -1
1045  508   -1
1046  1090  -1
1052  1229  -1
1058  818   -1
1070  820   -1
1072  718   -1
1090  1216  -1
1098  1192  -1
1113  470   -1
1113  546   -1
1120  769   -1
1134  1262  -1
1138  1252  -1
1152  1250  -1
1157  890   -1
1161  842   -1
1170  1429  -1
1175  1069  -1
1184  970   -1
1189  982   -1
1197  604   -1
1203  1235  -1
1210  1249  -1
1220  973   -1
1222  902   -1
1228  1132  -1
1230  842   -1
1230  1283  -1
1235  1224  -1
1243  1286  -1
1254  1284  -1
1256  1270  -1
1272  1262  -1
1276  469   -1
1279  1036  -1
1280  1006  -1
1284  1033  -1
1288  1288  -1
1295  1259  -1
1295  1280  -1
1299  1289  -1
1302  1258  -1
1303  355   -1
1306  1263  -1
1307  1280  -1
1308  1031  -1
1310  1277  -1
1312  1285  -1
1313  1261  -1
1315  1151  -1
1319  1279  -1
1326  1109  -1
1340  447   -1
1354  1106  -1
1356  400   -1
1358  528   -1
1401  233   -1
1425  532   -1
1494  830   -1
1509  539   -1
1569  1006  -1
1571  1192  -1
1572  680   -1
1593  1836  -1
1634  1552  -1
1639  1830  -1
1640  1827  -1
1657  1795  -1
1661  1531  -1
1696  1595  -1
1714  1795  -1
1724  1502  -1
1739  1679  -1
1832  1671  -1
1919  1463  -1
129   1039  -1
225   419   -1
319   1584  -1
317   1586  -1
399   369   -1
399   366   -1
404   244   -1
406   248   -1
419   366   -1
424   358   -1
422   355   -1
426   360   -1
429   275   -1
430   278   -1
428   340   -1
433   347   -1
441   198   -1
459   355   -1
459   384   -1
469   369   -1
469   373   -1
476   1634  -1
501   1475  -1
499   1471  -1
559   242   -1
582   203   -1
587   1968  -1
678   1344  -1
709   1344  -1
711   1348  -1
773   740   -1
773   1128  -1
794   1432  -1
796   1430  -1
810   1273  -1
818   1020  -1
817   1035  -1
832   1541  -1
836   1200  -1
841   1199  -1
851   1349  -1
884   1239  -1
891   1384  -1
896   1388  -1
903   1328  -1
914   1103  -1
920   820   -1
939   1352  -1
951   1643  -1
960   1028  -1
962   1421  -1
965   1421  -1
967   1035  -1
974   988   -1
989   766   -1
990   928   -1
996   954   -1
997   1288  -1
998   451   -1
999   1263  -1
1002  1263  -1
1050  1219  -1
1048  1216  -1
1049  1328  -1
1060  764   -1
1083  1218  -1
1084  1215  -1
1092  1375  -1
