# Filename: BNI1-640nm_bidi_pfa_007.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X     NUM_PUNCTA    CLUSTER_ID
112   1480  2             0
130   1403  2             1
145   1435  2             2
217   1270  4             3
219   1342  2             4
229   1283  2             5
488   189   2             6
530   203   2             7
675   801   2             8
683   879   4             9
742   700   2             10
744   834   2             11
795   552   2             12
876   890   2             13
877   800   2             14
883   517   2             15
914   1845  2             16
938   1974  3             17
938   1896  2             18
1009  1102  2             19
1010  584   2             20
1028  582   2             21
1034  586   2             22
1037  721   3             23
1038  717   2             24
1052  837   2             25
1057  590   3             26
1133  881   2             27
1141  818   2             28
1199  878   3             29
1203  881   3             30
1201  767   3             31
1353  891   2             32
1553  760   6             33
1556  764   3             34
1610  595   3             35
1624  533   3             36
1625  1725  2             37
1656  763   3             38
1666  1612  2             39
1675  1683  2             40
1685  1771  2             41
1695  796   2             42
1702  1706  3             43
1808  948   2             44
1817  886   2             45
1885  1792  3             46
2019  996   2             47
