# Filename: CLN3-561nm_bidi_pfa_005.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X     NUM_PUNCTA    CLUSTER_ID
969   1030  2             0
65    527   3             1
109   508   2             2
112   444   4             3
116   444   2             4
119   535   4             5
231   394   2             6
542   1208  2             7
632   732   2             8
641   680   2             9
652   727   4             10
653   1069  2             11
721   871   2             12
745   1718  2             13
770   634   2             14
811   823   2             15
814   735   2             16
825   776   2             17
829   439   2             18
826   439   2             19
830   436   2             20
829   1608  2             21
857   948   2             22
868   676   3             23
902   783   2             24
999   889   2             25
1055  1985  2             26
1064  877   3             27
1078  419   3             28
1290  1244  4             29
