# Filename: CLN3-561nm_bidi_pfa_006.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X     CLUSTER_ID
128   882   -1
344   749   -1
357   741   -1
360   1233  -1
397   1135  -1
418   1005  -1
420   883   -1
470   1050  -1
527   1030  -1
538   915   -1
550   1964  -1
557   969   -1
566   1050  -1
571   995   -1
579   1125  -1
580   1644  -1
583   1804  -1
584   1234  -1
594   1250  -1
596   1144  -1
602   1246  -1
612   1168  -1
630   1118  -1
633   1009  -1
642   1582  -1
643   1588  -1
647   1076  -1
650   999   -1
656   1501  -1
658   1508  -1
659   1008  -1
660   1187  -1
666   992   -1
666   1180  -1
681   1482  -1
721   623   -1
736   684   -1
742   698   -1
745   711   -1
757   1596  -1
777   671   -1
778   1295  -1
781   1470  -1
803   784   -1
807   1416  -1
895   1040  -1
1020  1517  -1
1036  1129  -1
1085  833   -1
1093  873   -1
1119  1729  -1
1127  1550  -1
1156  622   -1
1172  538   -1
1253  888   -1
1269  1302  -1
1329  812   -1
1329  1177  -1
1374  1154  -1
1408  965   -1
1415  1094  -1
1417  633   -1
1419  848   -1
1453  1270  -1
1486  1099  -1
1493  1143  -1
1494  1413  -1
1496  751   -1
1506  1008  -1
1507  1351  -1
1509  535   -1
1518  1579  -1
1524  1487  -1
1533  1375  -1
1536  763   -1
1536  1373  -1
1542  1107  -1
1547  1218  -1
1562  1384  -1
1566  1057  -1
1739  1128  -1
1843  1187  -1
1903  1242  -1
2012  1587  -1
2047  585   -1
56    752   -1
284   692   -1
324   201   -1
322   204   -1
338   1042  -1
380   827   -1
430   1195  -1
561   998   -1
568   1136  -1
576   1206  -1
606   1152  -1
612   1068  -1
620   1010  -1
633   1171  -1
638   1624  -1
650   1510  -1
687   1414  -1
688   1419  -1
711   1630  -1
713   1591  -1
719   1509  -1
758   1590  -1
784   1720  -1
799   789   -1
1168  767   -1
1331  706   -1
1409  928   -1
1425  1137  -1
1428  747   -1
1429  787   -1
1432  786   -1
1502  1333  -1
1509  1344  -1
1510  545   -1
1510  1013  -1
1517  1163  -1
1519  1165  -1
1541  763   -1
1552  1063  -1
1559  1457  -1
1559  1461  -1
1559  1592  -1
1563  1595  -1
1589  1179  -1
1601  1330  -1
1609  1157  -1
1609  1153  -1
1604  1330  -1
1608  1092  -1
1621  1223  -1
1665  1094  -1
1675  1133  -1
1677  1138  -1
1716  1099  -1
330   620   0
331   620   0
329   619   0
336   1040  1
335   1040  1
383   1024  2
383   1023  2
431   880   3
432   879   3
528   992   4
528   993   4
528   995   4
528   992   4
525   994   4
529   994   4
526   995   4
527   991   4
562   1140  5
561   1141  5
605   1082  6
605   1083  6
617   1016  7
617   1016  7
617   1016  7
617   1016  7
617   1016  7
617   1016  7
617   1016  7
618   1015  7
619   1016  7
615   1016  7
617   1013  7
616   1016  7
620   1016  7
617   1010  8
617   1009  8
625   1112  9
625   1110  9
625   1112  9
628   1250  10
628   1249  10
627   1250  10
633   1177  11
633   1177  11
633   1177  11
633   1177  11
632   1176  11
633   1178  11
631   1177  11
634   1179  11
632   1176  11
631   1179  11
641   1111  12
641   1111  12
640   1113  12
641   1114  12
642   1193  13
642   1193  13
642   1195  13
645   1194  13
642   1192  13
643   1195  13
643   1022  14
643   1022  14
642   1021  14
645   1018  15
645   1018  15
645   1018  15
648   1023  16
649   1024  16
645   1592  17
644   1593  17
651   1141  18
653   1140  18
1163  776   19
1163  777   19
1163  777   19
1165  774   20
1165  773   20
1328  857   21
1329  857   21
1328  856   21
1330  851   22
1331  851   22
1330  851   22
1377  1081  23
1378  1080  23
1455  1311  24
1454  1310  24
1481  1445  25
1482  1445  25
1555  1066  26
1556  1065  26
1555  1067  26
1583  1029  27
1584  1028  27
1605  1154  28
1605  1155  28
1627  1298  29
1626  1299  29
