# Filename: CLN3-561nm_bidi_pfa_007.tif
# Puncta radius (pixels): 1.3888888888888888
# Puncta radius (nm): (150, 150)
# Cluster radius (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X
68    938
93    1442
110   1481
118   1415
126   1473
128   1403
144   1436
163   1447
188   1345
189   1385
197   1365
205   488
216   1270
217   1343
223   1318
228   1283
240   1251
433   147
439   712
484   770
488   183
509   698
530   203
605   1736
631   773
653   396
672   841
674   800
675   940
676   857
679   1170
683   879
693   581
696   863
703   812
719   765
741   700
744   755
744   834
748   672
766   726
766   748
769   700
784   562
787   211
794   550
800   749
805   787
810   760
813   704
818   742
820   747
852   866
860   886
860   914
876   625
877   889
878   800
880   538
883   517
887   855
888   524
900   997
905   746
910   918
914   839
914   1846
915   512
919   1850
920   1984
921   796
925   906
934   1893
935   620
936   681
937   1898
939   1976
944   805
950   2034
953   844
955   741
957   911
978   878
980   1008
998   912
1003  539
1004  684
1009  1103
1010  712
1011  584
1023  804
1025  844
1027  1777
1028  582
1029  574
1030  530
1034  585
1037  721
1038  633
1038  877
1048  530
1052  836
1057  832
1058  589
1058  617
1064  987
1068  648
1068  1112
1074  825
1083  978
1090  522
1091  698
1095  979
1105  860
1112  413
1117  949
1120  244
1121  1168
1123  267
1123  1244
1125  462
1129  268
1131  1152
1134  883
1137  665
1141  818
1144  779
1158  842
1161  872
1162  816
1162  937
1166  1177
1173  802
1187  947
1189  972
1193  995
1196  932
1199  878
1202  765
1203  881
1206  768
1242  1871
1259  886
1270  764
1272  158
1277  725
1301  783
1312  755
1313  761
1323  735
1329  740
1335  888
1353  891
1384  789
1404  390
1407  1241
1422  1254
1483  1249
1484  685
1513  945
1514  1632
1543  1622
1543  1770
1544  1817
1546  1615
1554  1838
1555  644
1556  760
1560  645
1561  1399
1568  1734
1572  1684
1574  1565
1578  1685
1585  1691
1609  1753
1613  594
1621  1687
1625  532
1625  543
1626  1726
1630  1728
1631  960
1641  1746
1644  1574
1647  1747
1656  762
1660  758
1663  1818
1665  1617
1666  1612
1676  1684
1680  1817
1682  1140
1683  1770
1686  1772
1690  736
1694  473
1696  469
1697  796
1700  870
1703  1706
1705  911
1707  1795
1716  486
1729  939
1732  858
1736  798
1767  1678
1789  1114
1793  978
1803  1012
1809  947
1813  886
1818  919
1819  885
1843  968
1850  933
1851  1745
1856  766
1862  837
1874  1761
1887  1794
1892  1333
1930  909
2007  1259
2021  996
2035  1000
