# Filename: Nuclei_416_bidi_018.npz
# Voxel size (nm): (108, 108)
# Area quantity: voxels
# Num nuclei detected: 308
Y           X           AREA       MAJOR_AXIS_LENGTH    MINOR_AXIS_LENGTH
62.25581    906.73256   86.00000   11.69596             9.64432
91.91935    902.00000   62.00000   9.45268              8.50583
317.60989   742.19231   182.00000  17.84644             13.08194
336.90164   755.72131   122.00000  14.32374             10.85781
355.85075   761.41045   134.00000  14.55750             11.75168
374.80328   751.36066   122.00000  13.55515             11.45412
414.10526   521.19298   57.00000   8.74103              8.37793
436.93396   770.16981   106.00000  13.58248             9.94533
439.28070   787.05263   171.00000  21.13379             10.61223
487.86631   806.78610   187.00000  19.14682             12.65066
524.12722   836.95562   338.00000  25.82435             16.75393
532.71429   872.13514   259.00000  19.32284             17.55242
532.85827   776.02756   254.00000  23.52684             13.90791
531.07407   905.14815   54.00000   9.27321              7.38957
570.68508   793.01105   181.00000  15.43740             14.98171
599.66839   769.04663   193.00000  18.31341             13.54118
619.68493   781.24658   73.00000   9.95084              9.42791
623.67114   747.28859   149.00000  15.54132             12.37535
628.94419   802.64651   215.00000  20.86751             13.46711
636.17276   825.22924   301.00000  23.23164             16.64629
633.84259   733.74074   108.00000  13.15634             10.50370
635.75862   852.82759   29.00000   7.35932              5.21452
645.33613   491.01681   119.00000  13.81369             11.09357
646.41935   699.25806   31.00000   6.59055              5.98181
658.19298   744.08772   285.00000  23.13140             16.07423
665.75688   877.51835   218.00000  19.07707             14.63923
681.92996   927.24125   257.00000  29.60714             12.28373
680.30612   514.17007   147.00000  14.55941             12.87275
682.95941   662.12177   271.00000  21.55408             16.22487
682.67742   862.77419   186.00000  19.65397             12.35557
684.79114   729.56962   158.00000  17.33603             11.67938
687.69500   762.77000   200.00000  18.86092             13.59158
694.09326   531.47150   193.00000  15.84428             15.69721
694.13043   799.38340   253.00000  22.46755             14.52163
693.38710   685.12903   31.00000   7.41684              5.38853
701.64732   747.00893   224.00000  19.50976             14.68792
696.50000   897.79545   44.00000   9.23295              6.31675
714.57912   635.54545   297.00000  22.89023             17.92159
709.76744   53.30233    86.00000   11.62331             9.52176
715.73750   674.16250   240.00000  19.84160             16.22711
714.04255   765.21277   47.00000   8.97023              6.68873
723.06667   774.53333   30.00000   7.08437              5.42735
729.92857   755.59921   252.00000  19.52652             16.59603
729.77439   534.22561   164.00000  15.29159             13.70960
740.01449   607.47826   207.00000  21.03295             12.78662
752.06061   599.30303   99.00000   12.17171             10.48223
766.24324   617.67568   37.00000   8.35407              5.63880
779.35859   708.51515   198.00000  22.54440             12.06515
782.97917   725.17361   144.00000  14.85766             12.44922
805.62500   581.59375   32.00000   7.42817              5.60640
826.12796   573.69194   211.00000  19.60809             13.82964
836.08036   733.08036   224.00000  18.18379             15.72987
843.44615   931.19231   260.00000  29.38125             11.60554
838.16312   559.48936   141.00000  15.12096             11.86957
841.90132   884.39474   152.00000  16.44437             11.80041
855.30114   887.04545   176.00000  17.09465             13.22593
860.77558   727.97690   303.00000  23.27236             16.85030
860.79832   1229.89076  119.00000  14.15182             10.94647
880.73196   573.19588   194.00000  23.23302             10.76024
874.35000   745.97500   40.00000   7.99240              6.46154
876.80000   952.51667   60.00000   9.76707              7.94733
885.69349   994.31801   522.00000  40.75261             16.74452
883.98658   550.93960   149.00000  14.64968             13.27800
897.21364   737.86364   220.00000  20.84543             13.62899
896.57653   577.14286   196.00000  17.45743             14.50269
901.04661   980.68644   236.00000  25.12272             12.06144
905.51316   1013.31579  228.00000  22.28112             13.60040
903.85207   552.37870   169.00000  15.34172             14.10355
910.63014   1051.62557  219.00000  18.37188             15.20502
917.30769   563.68639   169.00000  17.63212             12.35600
913.47761   627.88060   67.00000   10.83985             7.99583
917.92627   956.94470   217.00000  17.39740             15.93813
921.67943   906.52153   209.00000  20.56049             12.97098
934.22727   881.74126   286.00000  24.45665             15.10716
931.25556   1034.08519  270.00000  29.29321             12.56474
933.68605   937.50388   258.00000  20.17071             16.29093
937.20732   632.61789   246.00000  23.26979             13.69875
943.90237   539.86982   338.00000  30.42227             15.43769
942.06316   618.93684   190.00000  16.77712             14.72272
940.58974   993.84615   78.00000   11.19615             8.94342
954.84098   987.67278   327.00000  28.56063             15.32945
950.77019   876.14907   161.00000  16.27728             12.70735
956.49057   754.34906   212.00000  18.26503             15.35198
962.87766   518.00000   188.00000  16.60456             14.47103
965.29329   636.79152   283.00000  21.92055             16.55628
967.30500   836.72000   200.00000  18.20925             14.05704
975.15517   751.38506   174.00000  15.76779             14.34624
986.14634   923.41951   205.00000  17.60961             15.03530
990.03286   856.46948   213.00000  22.58585             12.06194
997.19377   498.69204   289.00000  26.00830             14.49438
1003.29885  735.93103   261.00000  19.01616             17.70013
1005.91532  801.80242   248.00000  21.75728             14.71704
1010.60889  765.02222   225.00000  19.43969             14.85750
1011.04854  852.45631   206.00000  18.96613             13.86566
1020.16043  837.82888   187.00000  16.31632             14.64368
1024.10909  526.94182   275.00000  21.86814             16.06255
1023.75000  728.33962   212.00000  17.08431             15.94796
1028.06989  867.08602   186.00000  17.65305             13.64375
1023.27778  895.83333   18.00000   5.28914              4.28322
1032.87726  698.34657   277.00000  21.78894             16.36641
1033.32258  807.81048   248.00000  21.79273             14.52690
1035.36567  849.80970   268.00000  20.25470             17.15552
1039.77733  746.31174   247.00000  18.14523             17.38716
1053.42449  682.86531   245.00000  19.95570             15.70860
1064.61475  506.92623   244.00000  19.02879             16.37373
1066.49515  647.68932   206.00000  18.78124             14.09027
1065.19429  825.46857   175.00000  15.51708             14.49947
1070.08995  737.17460   189.00000  15.74200             15.37247
1072.98661  807.95536   224.00000  18.72502             15.37099
1071.83456  889.76471   272.00000  22.68254             15.44257
1079.05417  694.09583   240.00000  21.54919             14.44895
1078.76531  857.62755   196.00000  18.35018             13.68474
1084.16842  502.17895   190.00000  17.80509             13.66640
1088.10843  645.44578   249.00000  21.45298             15.00363
1091.23899  947.62893   318.00000  20.73602             19.99264
1095.84259  697.09259   216.00000  19.55108             14.28413
1102.78414  721.15859   227.00000  20.43742             14.39227
1100.36889  790.96444   225.00000  20.55772             13.98668
1103.21397  840.36681   229.00000  17.96638             16.60380
1112.49268  672.14634   205.00000  17.39383             15.07701
1109.10526  953.21053   38.00000   7.39398              6.49052
1114.72727  504.96970   198.00000  16.28777             15.64275
1114.74242  816.06566   198.00000  17.33194             14.57439
1117.67308  787.49519   208.00000  16.68795             15.90700
1119.00000  940.12500   24.00000   6.07733              4.98158
1131.53608  912.67698   291.00000  20.08791             18.56859
1131.14835  801.32967   182.00000  18.28310             12.71452
1145.36199  800.35294   221.00000  17.40956             16.32486
1152.65272  742.79498   239.00000  21.26176             14.56411
1157.22535  855.80282   284.00000  23.10926             16.12865
1161.34632  805.60606   231.00000  18.81552             15.65478
1172.20818  741.59851   269.00000  20.79473             16.77830
1179.00417  1008.61250  240.00000  23.40383             13.35633
1188.57413  956.27129   317.00000  22.28091             18.28824
1185.49123  826.22807   57.00000   9.15482              8.09947
1187.25191  1029.83206  131.00000  13.93025             12.31740
1199.43869  885.04360   367.00000  23.91117             20.48917
1196.14865  814.11261   222.00000  20.23456             14.07659
1199.30226  666.49153   354.00000  22.31369             20.52099
1197.46617  844.25815   399.00000  34.27015             15.42321
1204.34252  739.42520   254.00000  26.25178             12.62151
1207.55612  913.31888   392.00000  30.96381             16.65294
1208.45912  687.59748   159.00000  15.92511             12.80520
1208.36066  975.54098   61.00000   9.94683              7.83446
1219.40293  1097.02198  273.00000  19.01429             18.52070
1222.48000  834.03733   375.00000  26.45384             18.34238
1223.23913  1118.37826  230.00000  21.53320             13.83771
1223.56250  772.67308   208.00000  20.81817             12.73641
1229.49653  1056.11111  288.00000  21.94018             16.88811
1233.69435  1080.87375  301.00000  20.32189             18.92796
1237.23569  1133.84175  297.00000  25.72697             14.88176
1245.94161  1104.61314  274.00000  21.95353             16.08833
1249.07796  740.49731   372.00000  35.28628             13.91009
1252.39245  1154.50566  265.00000  20.47115             16.58663
1250.29801  823.44371   151.00000  15.37190             12.52631
1254.20743  1031.60991  323.00000  21.87831             19.16781
1255.13196  981.65982   341.00000  30.09587             15.49582
1253.68000  1274.84000  50.00000   9.28702              6.88354
1254.36957  1339.89130  46.00000   8.19375              7.08098
1259.82969  440.85590   229.00000  20.62195             14.19023
1263.88535  1306.53185  314.00000  25.18088             16.46197
1258.89552  1285.10448  67.00000   10.42302             8.20062
1265.38686  1365.92336  274.00000  24.31199             15.27225
1270.87310  963.21827   197.00000  20.63076             12.24087
1268.50549  1016.52198  182.00000  19.74956             11.80853
1272.48536  383.11715   239.00000  19.66586             15.74992
1276.53395  991.41975   324.00000  27.76422             15.10750
1274.70813  847.61722   209.00000  20.52738             13.74097
1276.31481  435.09259   162.00000  17.15233             12.23537
1275.82562  456.32384   281.00000  31.24378             12.38052
1279.37979  759.72822   287.00000  24.36073             15.16917
1272.85965  1275.77193  57.00000   9.24430              7.86681
1280.78261  716.72174   230.00000  22.53702             13.04443
1284.31004  1230.64629  229.00000  18.98074             15.59530
1281.63846  1318.33846  130.00000  13.47063             12.32768
1283.86875  478.99375   160.00000  15.34243             13.63574
1286.36929  372.34855   241.00000  20.69292             14.93363
1289.94648  643.72113   355.00000  27.60893             17.20647
1283.75893  737.16964   112.00000  14.53786             9.96294
1291.03103  874.48621   290.00000  22.71192             16.96687
1285.40909  1306.23636  110.00000  15.81512             9.09653
1296.75694  699.94097   288.00000  33.60053             11.84872
1294.18079  912.02825   177.00000  18.62034             12.69019
1291.80435  1439.00000  138.00000  18.03361             9.84972
1297.04380  1429.31387  137.00000  15.84448             11.04019
1305.71678  502.79021   286.00000  22.95470             16.32333
1306.00901  791.88288   222.00000  18.54992             15.35773
1309.70903  834.37458   299.00000  24.78170             16.70860
1313.47273  515.56364   165.00000  16.84496             12.65489
1316.01515  846.80303   198.00000  23.67167             10.93587
1321.44172  533.37423   163.00000  18.17548             11.47287
1325.11847  738.43206   287.00000  29.11434             13.02213
1323.48128  663.47594   187.00000  20.27875             11.88573
1336.73469  1330.54847  392.00000  29.61945             18.54432
1328.52874  1456.91954  87.00000   11.75231             9.65715
1327.58000  829.28000   50.00000   9.08958              6.97586
1334.76415  1200.07233  318.00000  29.69082             13.82359
1344.69906  697.76489   319.00000  24.94717             16.55184
1342.06509  1295.39053  169.00000  17.44515             12.42250
1345.67382  1166.59227  233.00000  28.06998             10.84052
1349.51493  528.65672   268.00000  21.06079             16.40492
1343.61111  710.22222   54.00000   10.40154             6.86415
1348.09132  496.79909   219.00000  18.59907             15.07965
1353.54434  786.27523   327.00000  31.55807             13.58608
1350.26829  802.25610   164.00000  19.83805             10.61784
1360.37536  1264.22063  349.00000  28.25938             15.99792
1360.52107  1283.81609  261.00000  19.59483             17.18415
1362.61310  1163.55952  168.00000  21.24980             10.11335
1360.76744  1127.72093  43.00000   8.76601              6.33367
1370.39583  633.00694   144.00000  15.20224             12.13561
