# Filename: Nuclei_416_bidi_60x_021.npz
# Voxel size (nm): (108, 108)
# Area quantity: voxels
# Num nuclei detected: 1007
Y           X           AREA       MAJOR_AXIS_LENGTH    MINOR_AXIS_LENGTH
15.02381    1301.42381  210.00000  19.26042             14.00207
14.91667    1427.89881  168.00000  16.47902             13.06669
23.54098    1389.68852  244.00000  23.55584             13.28387
28.51698    1250.93208  265.00000  23.06483             14.71834
33.71429    1017.44082  245.00000  19.34132             16.25950
35.17500    980.32083   240.00000  20.67490             14.97815
34.48168    923.52356   191.00000  16.98975             14.35395
40.98830    1033.70175  171.00000  16.52607             13.29430
52.02778    867.17778   180.00000  16.23024             14.20388
60.05556    352.82778   180.00000  16.19979             14.21965
62.90099    1428.14851  101.00000  12.40419             10.44374
66.16746    1278.13876  209.00000  17.22678             15.47874
68.29365    1223.51587  126.00000  14.41564             11.26362
74.61600    1256.78800  250.00000  18.52107             17.29380
76.00820    1384.80328  244.00000  22.56218             13.85522
76.37561    1118.26341  205.00000  20.20016             12.94719
76.11050    1140.20442  181.00000  17.99542             13.16229
92.05238    1272.82381  210.00000  18.08109             14.83369
95.93727    527.76753   271.00000  22.10094             15.80535
106.60938   1097.45937  320.00000  22.19754             18.44319
107.27336   394.84083   289.00000  21.97276             16.76620
107.91282   1472.42564  195.00000  18.03278             13.80908
109.36082   1229.54124  194.00000  19.36821             12.80621
116.97107   1081.73967  242.00000  20.97133             14.83233
118.41209   1211.71978  182.00000  16.00289             14.51866
129.18357   882.92754   207.00000  17.45083             15.27098
135.63851   520.82095   296.00000  28.01268             13.58196
139.87705   1186.90574  244.00000  23.68791             13.88975
140.97484   711.64151   159.00000  16.94445             12.12624
151.16575   949.53039   181.00000  16.16653             14.38695
164.89804   1374.10196  255.00000  23.39046             13.99401
164.97653   343.17840   213.00000  19.82525             13.76326
163.88108   495.43243   185.00000  20.48329             11.70287
166.89575   518.20849   259.00000  21.06234             15.69948
165.77821   227.43969   257.00000  20.77144             16.02229
172.50384   1431.27110  391.00000  24.59729             20.74191
169.14010   1006.19324  207.00000  17.71826             14.98122
169.62100   453.23744   219.00000  21.38496             13.25735
171.58427   1082.58989  178.00000  17.86506             13.22455
175.55882   711.92857   238.00000  23.34156             13.07802
171.82759   1830.82759  87.00000   11.58168             9.60332
173.70588   1177.00000  102.00000  13.40696             9.79229
175.91071   1208.27381  168.00000  15.48533             13.83995
178.87831   496.03704   189.00000  18.17341             13.35108
179.18939   1271.46970  132.00000  14.64961             11.49758
196.47909   667.14449   263.00000  26.20284             12.89287
200.38365   501.37736   159.00000  14.84852             13.77611
198.00000   338.95652   46.00000   8.02895              7.42684
206.21622   744.44865   185.00000  18.37025             12.91021
213.91532   1243.88306  248.00000  20.08163             15.75645
218.51316   508.46711   152.00000  16.81080             11.62159
220.14706   674.31765   170.00000  16.87339             12.98366
222.47926   1449.32258  217.00000  20.92588             13.25443
222.96020   604.23881   201.00000  17.43876             14.73570
221.60769   1433.85385  130.00000  15.37294             10.96600
227.98010   260.55721   201.00000  19.01409             13.63555
229.88785   689.19626   214.00000  19.21395             14.29029
231.04598   1115.39655  174.00000  17.54955             12.71405
232.23353   297.40120   167.00000  18.69166             12.07313
233.85000   477.75000   180.00000  19.26944             12.21819
239.02119   412.44492   236.00000  18.50905             16.75759
238.53659   511.75610   205.00000  19.53320             13.49175
242.68396   747.46698   212.00000  21.30831             12.89291
245.85795   499.73864   176.00000  19.73663             12.43363
248.08268   1443.59449  254.00000  20.38668             15.95383
252.18140   106.71163   215.00000  21.07184             13.38516
256.25652   1151.06957  230.00000  22.59834             13.05416
256.47716   434.62437   197.00000  19.94828             12.60986
257.17216   636.51282   273.00000  21.29014             16.51408
256.93380   660.82578   287.00000  22.56079             16.24728
260.86765   731.50490   204.00000  19.87212             13.18179
268.78399   1314.79702  537.00000  34.17207             21.76008
263.46774   1252.33871  186.00000  16.56104             14.37322
268.43071   479.89888   267.00000  19.55538             17.43770
272.44554   642.69307   101.00000  14.42976             8.95365
275.66667   1411.35833  120.00000  13.89042             11.03437
278.12593   406.47407   135.00000  14.16170             12.29921
282.10672   189.07905   253.00000  20.52338             16.05951
282.15315   1169.51802  222.00000  20.68058             13.79926
288.65079   1451.88492  252.00000  22.56932             14.33452
291.63514   492.30631   222.00000  19.54356             14.55416
295.12556   1374.37220  223.00000  21.25260             13.44485
292.49738   1635.12565  191.00000  16.88621             14.46231
292.90728   1399.64901  151.00000  14.96971             12.92353
292.59649   1420.91228  171.00000  15.39902             14.23123
295.29845   284.94186   258.00000  23.98897             13.72303
301.48241   539.03015   199.00000  18.19439             14.09872
303.43646   1471.82873  181.00000  17.42148             13.35210
304.70139   567.95139   144.00000  15.97214             11.48349
308.04046   1528.36994  173.00000  18.88027             11.72622
309.18571   733.05714   210.00000  19.52667             13.81408
318.09052   295.09914   232.00000  20.81834             14.25258
317.73077   1480.20330  182.00000  18.51454             12.54468
320.44747   607.85214   257.00000  23.08902             14.38321
320.74597   1397.10887  248.00000  20.00110             16.04505
321.13580   239.08951   324.00000  26.65982             15.76028
324.08615   586.82462   325.00000  21.65715             19.22226
326.58369   488.89270   233.00000  22.74246             13.13627
325.50000   312.18023   172.00000  19.47686             11.32366
327.29487   1551.69231  234.00000  18.40813             16.21371
328.85526   1252.72368  152.00000  14.83901             13.14432
333.90385   1432.53846  208.00000  18.93157             14.04529
335.01058   161.58201   189.00000  18.16317             13.46916
335.54980   1163.77689  251.00000  20.42502             15.76541
337.56223   516.96996   233.00000  23.19049             12.92950
341.30374   430.34579   214.00000  20.11870             13.72622
344.05785   1272.10744  121.00000  15.20240             10.21039
347.29798   1219.78788  198.00000  20.24156             12.57291
356.16000   297.37600   125.00000  14.16501             11.38458
359.50988   143.72727   253.00000  19.86533             16.25742
359.66981   564.02358   212.00000  18.11441             14.97676
362.20312   1450.74479  192.00000  20.06753             12.33256
365.56777   585.06960   273.00000  22.50266             15.79121
365.73585   1467.52830  159.00000  16.08928             12.66524
373.25078   1200.04702  319.00000  26.01663             15.76510
378.88298   1167.97163  282.00000  27.23452             13.65036
373.97101   550.00725   138.00000  16.41622             10.94125
380.00362   1502.16667  276.00000  23.21275             15.23246
381.62698   1416.59524  252.00000  21.55502             15.04681
379.58993   528.71942   139.00000  13.80944             12.89681
393.12805   718.10671   328.00000  28.43002             14.89546
391.96791   1155.31016  187.00000  19.47362             12.27027
399.37025   1123.77848  316.00000  26.53819             15.44404
401.32240   256.51913   183.00000  17.13689             13.84624
402.93421   1413.41447  152.00000  15.27858             12.83333
408.02410   93.92369    249.00000  20.45890             15.63738
408.56098   1550.86585  246.00000  18.40925             17.08242
419.07162   1158.50398  377.00000  31.64277             16.22259
414.27528   1434.85955  178.00000  19.32065             11.75088
412.17526   1573.93814  97.00000   14.93293             8.43907
418.70386   1618.67811  233.00000  18.97699             15.68157
420.26506   1461.57229  166.00000  17.44296             12.43510
419.37500   1732.23684  152.00000  14.63129             13.44536
421.73964   1363.86982  169.00000  17.82526             12.26744
431.24342   1455.09211  152.00000  20.52798             10.16404
437.58824   1445.93277  119.00000  14.23491             10.68545
441.38150   1367.06358  173.00000  15.87203             14.01311
447.17603   697.07865   267.00000  19.22938             17.78364
445.75333   1598.30000  150.00000  16.71749             11.69981
453.87843   1117.00000  255.00000  20.82181             15.76606
455.76471   1099.41176  221.00000  19.97598             14.34307
464.01351   737.83784   148.00000  16.92495             11.30598
467.10526   339.29605   152.00000  16.04086             13.57069
469.53488   725.31163   215.00000  20.18927             13.88965
473.00331   1212.60596  302.00000  21.87305             18.13377
476.15126   1069.90756  238.00000  21.54325             14.29782
477.05854   1495.46341  205.00000  21.36434             12.35634
479.46721   493.92077   366.00000  29.82031             17.81042
479.08995   1103.42857  189.00000  20.44263             11.80189
483.15625   617.23438   128.00000  15.49584             10.69390
488.95817   1112.39544  263.00000  27.45044             12.29626
487.09589   1466.00913  219.00000  22.26055             12.58649
486.51196   1399.48325  209.00000  18.10861             15.45219
485.03043   1514.38261  230.00000  19.66223             15.11393
486.97619   1535.60714  168.00000  15.46177             13.92422
493.62192   1307.76712  365.00000  29.06739             16.35824
488.01754   1435.18129  171.00000  15.87195             13.89668
499.46188   832.43498   223.00000  21.85209             13.26077
502.66946   768.96653   239.00000  27.75622             11.01586
509.85581   616.16744   215.00000  18.66128             14.93921
514.49129   601.63763   287.00000  27.13198             13.81501
509.05310   1028.43805  226.00000  17.70900             16.30522
511.93249   1661.22785  237.00000  20.74042             14.71368
513.20884   191.00803   249.00000  20.93800             15.34509
511.15652   797.83913   230.00000  22.24057             13.22165
516.42857   1500.53175  252.00000  20.03432             16.22622
520.41754   156.34737   285.00000  20.03837             18.14338
521.07623   1448.36323  223.00000  18.49510             15.39133
527.31073   1090.52542  177.00000  16.06644             14.19947
538.38929   781.69286   280.00000  27.65186             13.25617
538.64883   271.23411   299.00000  24.16074             15.95826
536.71111   635.44444   270.00000  24.20475             14.41722
534.60902   1495.93985  133.00000  14.50351             11.75509
534.26950   1513.35461  141.00000  14.57430             12.33189
539.71038   579.74317   183.00000  16.13220             14.49777
540.96319   106.11043   163.00000  15.39137             13.54993
549.84431   473.90419   334.00000  28.21970             15.33186
544.49776   1096.70852  223.00000  21.18918             13.51067
545.62121   1467.11111  198.00000  18.41110             13.76104
550.37960   234.45609   353.00000  22.67454             20.35782
548.31441   563.45415   229.00000  18.22437             16.41504
546.56716   591.88806   134.00000  14.42944             11.88235
553.44538   45.74370    238.00000  20.67614             14.88342
552.95181   1804.01205  83.00000   14.20342             7.80836
559.61519   1067.76456  395.00000  27.04029             19.16080
556.29032   576.36774   155.00000  16.49299             12.00770
557.38542   1557.51042  192.00000  17.15762             14.32611
556.97285   1283.46606  221.00000  21.82008             13.00048
560.48858   530.20548   219.00000  20.26557             13.89618
565.50000   197.98729   236.00000  22.77263             13.30405
565.06757   517.66216   148.00000  14.29084             13.28817
564.55862   1663.75862  145.00000  14.46171             12.76618
570.33597   1254.53360  253.00000  21.60417             15.09094
571.83273   1084.30909  275.00000  25.88194             13.67797
566.57273   1846.99091  110.00000  13.12979             10.65641
574.81387   495.09124   274.00000  23.24421             15.07490
569.67164   731.33333   201.00000  19.46628             13.35505
572.62439   38.26829    205.00000  19.69772             13.34881
573.29843   1458.30890  191.00000  17.67581             14.29994
576.74675   1345.69156  308.00000  28.29461             14.17641
