# Filename: Nuclei_416_ctrl_005.npz
# Voxel size (nm): (108, 108)
# Area quantity: voxels
# Num nuclei detected: 557
Y           X           AREA       MAJOR_AXIS_LENGTH    MINOR_AXIS_LENGTH
42.66667    518.86036   222.00000  20.58762             13.81234
43.58549    492.78238   193.00000  18.88807             13.12607
77.99190    744.18219   247.00000  21.36185             15.09208
85.53698    1226.59807  311.00000  23.07862             17.33532
95.83260    485.97797   227.00000  19.35963             14.95043
100.99659   455.31741   293.00000  22.27067             16.82481
110.35522   399.98507   335.00000  26.82518             16.36776
117.52209   770.64257   249.00000  19.61941             16.25693
122.85765   811.05694   281.00000  25.71783             15.03388
123.52015   364.86447   273.00000  20.66471             17.05998
127.43802   1143.45868  242.00000  22.32230             13.92090
140.39228   499.65595   311.00000  27.87889             14.74301
138.27778   1100.79861  288.00000  20.84255             17.78371
143.30769   1018.41026  351.00000  30.76601             15.57383
148.41590   1040.92661  327.00000  21.96206             19.16676
162.79429   217.91429   175.00000  18.01056             13.53733
175.70968   504.29032   248.00000  20.02143             15.92907
188.76023   536.40936   171.00000  17.65823             12.34215
197.13410   1466.13027  261.00000  21.88036             15.28731
200.70419   1128.88743  382.00000  30.50375             16.83993
202.02165   547.17749   231.00000  23.25008             12.69337
206.67638   972.36246   309.00000  26.81478             14.90201
206.78899   158.79817   218.00000  17.44433             15.96616
217.30075   504.55639   266.00000  22.16148             15.52789
218.77705   1055.66557  305.00000  21.73405             18.07553
217.80909   1353.29091  220.00000  20.49792             13.67704
220.24579   802.85522   297.00000  21.11555             18.15078
218.34416   1318.49351  154.00000  15.35377             12.97459
221.34932   272.62329   292.00000  22.53210             16.61735
239.33642   1279.30247  324.00000  23.16278             17.91651
249.21101   985.94801   327.00000  24.04297             18.15242
244.69271   1577.15625  192.00000  16.29160             15.11949
243.90361   506.14458   83.00000   12.18984             8.67815
253.18056   492.34028   144.00000  15.84978             11.64614
256.96610   505.32203   177.00000  19.82754             11.61112
265.06926   547.40693   231.00000  23.76607             12.48921
267.79518   579.28514   249.00000  20.76072             15.29313
268.13187   481.04396   91.00000   14.28826             8.09953
279.15408   785.01208   331.00000  26.67248             16.13474
275.57561   529.17561   205.00000  18.85328             13.91711
273.87500   1567.32143  168.00000  20.06605             11.10654
277.73958   472.30729   192.00000  18.47957             13.35388
280.75225   1362.27477  222.00000  22.74448             12.70005
286.20231   585.89017   173.00000  16.02826             13.85990
285.54795   1673.28082  146.00000  14.02884             13.31505
289.24912   1294.50175  285.00000  23.74473             15.50762
292.22925   570.44664   253.00000  26.04059             12.48957
291.68807   1507.92661  218.00000  21.25217             13.48548
292.83758   1422.22293  314.00000  21.85252             18.75016
296.04292   1384.47639  233.00000  22.83716             13.08361
305.92971   710.72843   313.00000  23.70514             17.36000
308.66984   1263.76825  315.00000  24.26552             16.60360
319.25600   619.62800   250.00000  26.37352             12.31547
317.10274   1313.41096  292.00000  21.95761             16.99735
313.76493   1372.60075  268.00000  24.24646             14.26257
318.20536   430.90179   224.00000  18.81592             15.26867
326.60638   171.11968   376.00000  28.42787             17.07303
323.53636   747.65152   330.00000  28.57221             15.21934
328.59875   1398.71160  319.00000  25.17549             16.45987
335.16788   553.99270   137.00000  15.77430             11.08184
333.60550   1418.86239  109.00000  12.94896             10.74599
338.40312   1373.32188  320.00000  23.54721             17.39745
343.21192   1404.64901  151.00000  17.61022             11.00444
345.44214   697.40950   337.00000  26.23840             17.66965
357.05118   1615.91732  254.00000  21.05814             15.64146
358.08092   634.90173   173.00000  19.33569             11.38598
362.65204   1406.99373  319.00000  31.34208             13.46956
368.96581   606.68803   234.00000  22.11071             13.59244
370.08955   1701.32463  268.00000  22.31304             15.48278
372.06859   380.56318   277.00000  24.37990             14.51134
370.65164   447.43033   244.00000  21.50020             14.48065
369.45128   483.13846   195.00000  19.28543             12.92719
377.13497   637.44785   163.00000  18.30042             11.41515
380.88947   51.11579    190.00000  24.67824             10.40677
390.37821   1240.98718  312.00000  32.36989             12.50441
386.44490   668.98776   245.00000  23.22475             13.73350
387.27711   172.54217   166.00000  15.13071             14.11561
391.00658   1376.39145  304.00000  23.25562             16.73123
397.88779   682.35314   303.00000  25.98811             14.95844
397.73684   483.43034   323.00000  26.43890             15.94485
411.17518   1311.69708  274.00000  25.92892             13.53267
408.77011   634.83333   174.00000  16.89634             13.38487
423.67372   1333.68580  331.00000  24.03581             17.66352
424.95288   629.48691   191.00000  19.57096             12.74137
428.87708   299.16279   301.00000  22.69531             17.16302
431.88889   644.52910   189.00000  16.81919             14.37864
438.39153   17.64550    189.00000  17.97910             13.68399
444.13018   624.37870   169.00000  17.37024             12.38410
448.26087   1132.39855  276.00000  20.81710             17.10676
449.85333   483.05333   225.00000  18.24096             15.88060
452.57762   549.42238   277.00000  19.90950             17.84117
454.31188   517.50000   202.00000  17.88481             14.48123
454.30128   1050.75641  156.00000  16.60747             12.00194
459.50000   679.70863   278.00000  24.75365             14.54635
455.66138   1034.53439  189.00000  26.33585             10.01364
459.01309   1165.45288  382.00000  33.67265             15.36840
464.04833   67.69517    269.00000  20.98358             16.76720
467.80612   1322.90816  294.00000  30.03232             12.72485
465.61905   626.66667   168.00000  16.44421             13.17149
464.75532   540.24468   94.00000   16.21686             7.44568
467.51053   607.54211   190.00000  16.51826             14.84379
468.86869   583.24747   198.00000  20.08472             12.62813
471.30000   498.48846   260.00000  24.06854             13.92292
481.15851   1103.41492  429.00000  25.84014             21.27877
484.83246   543.36126   191.00000  17.25020             14.13318
493.56026   285.07166   307.00000  23.62560             16.75451
