# Filename: Nuclei_416_ctrl_007.npz
# Voxel size (nm): (108, 108)
# Area quantity: voxels
# Num nuclei detected: 809
Y           X           AREA        MAJOR_AXIS_LENGTH    MINOR_AXIS_LENGTH
6.26613     61.71774    124.00000   14.31991             11.11886
6.39286     913.66429   140.00000   17.06170             10.90989
3.95652     1156.21739  92.00000    12.00634             10.22021
9.80488     1445.15610  205.00000   21.89513             12.04522
10.03008    534.56767   266.00000   23.05329             14.75537
11.23770    710.07377   244.00000   20.35912             15.62229
20.79635    1616.86626  329.00000   29.67475             14.33651
16.56186    35.09278    194.00000   18.46182             13.56593
20.01250    872.58125   160.00000   21.98521             9.45212
16.85484    1743.09677  124.00000   15.97584             9.94315
18.98718    845.44017   234.00000   20.10868             15.06424
19.62295    15.83607    122.00000   15.06376             10.62713
22.35385    881.30769   130.00000   16.76158             9.91466
29.06250    164.77404   208.00000   25.89375             10.45226
33.36638    1433.00862  232.00000   24.74709             12.06240
39.15854    922.03252   246.00000   32.84866             9.77270
37.91795    1558.44615  195.00000   20.08392             12.42288
48.13472    1727.91710  193.00000   22.85802             11.02667
48.57627    903.10593   236.00000   22.34950             13.52049
52.01935    1003.40645  155.00000   16.88941             11.95672
55.00474    1793.54502  211.00000   20.61974             13.09779
58.79126    1030.37864  206.00000   18.82705             13.97598
61.97490    1443.43096  239.00000   20.57604             14.89561
64.62626    1642.94444  198.00000   19.18564             13.22267
75.64234    1612.67518  274.00000   21.77362             16.09867
84.75321    955.54808   312.00000   29.40293             13.98698
87.26667    2014.55556  225.00000   25.17640             11.92576
90.83590    45.22564    195.00000   21.24412             12.14088
98.41231    1033.53538  325.00000   28.45199             14.73174
94.90777    1701.11165  206.00000   19.15640             13.72962
102.08727   931.05455   275.00000   24.60895             14.73417
107.46460   1052.26549  226.00000   22.60512             12.75093
114.22407   993.87967   241.00000   23.60348             13.21818
116.32039   1005.27184  206.00000   21.44165             12.27017
125.77447   18.86383    235.00000   20.49738             14.76014
127.62500   1437.55469  256.00000   21.10704             15.56663
131.59410   954.55720   271.00000   24.72600             14.31547
139.67785   573.35235   298.00000   40.08659             9.89588
137.60086   1198.02146  233.00000   26.73117             11.97152
146.46814   1020.15512  361.00000   32.13659             14.41382
145.73607   1058.57185  341.00000   31.98952             14.28003
148.16895   1046.83562  219.00000   25.23854             11.47438
162.22152   1314.77215  158.00000   29.73194             8.09850
154.96333   916.81000   300.00000   22.38080             17.24937
155.88353   959.99197   249.00000   21.25134             15.02079
168.59459   1044.32095  296.00000   30.55219             12.62193
171.68966   269.15517   290.00000   26.80405             13.86845
195.80851   975.67730   282.00000   28.80528             12.83844
196.56159   923.39855   276.00000   30.62720             11.71442
207.65979   936.35052   291.00000   30.41931             12.46531
209.30830   1464.67984  253.00000   21.80806             15.01036
216.59211   1091.93092  304.00000   26.86738             14.54884
216.91418   1156.07090  268.00000   23.75628             15.91326
230.94615   1406.66923  260.00000   22.07770             15.16301
235.14876   1145.97245  363.00000   22.58345             21.32864
241.61860   735.10233   215.00000   18.95382             14.44821
255.56716   755.18657   268.00000   26.14836             13.13961
256.45570   1016.79430  316.00000   28.33819             14.42873
269.17259   1788.94416  197.00000   19.03217             13.21633
277.52062   1853.79381  194.00000   25.54520             10.03051
292.39271   282.11741   247.00000   29.99265             12.07683
292.79783   813.82310   277.00000   25.17949             14.12225
290.33696   1020.97826  92.00000    12.56946             9.51028
300.52918   952.61868   257.00000   20.03654             16.57369
299.77976   1025.82738  168.00000   16.46675             13.20075
308.12857   1004.93571  280.00000   22.33376             16.13739
305.16854   868.48876   178.00000   16.55443             13.91023
305.31694   1076.36612  183.00000   19.19407             12.35671
311.84977   884.64789   213.00000   21.77832             12.79005
314.60773   1234.52486  181.00000   22.42151             11.27936
320.56125   828.62108   351.00000   29.15223             15.72904
315.28022   896.66484   182.00000   15.47301             15.28608
316.00000   1082.73057  193.00000   18.30482             13.96443
316.23684   848.30702   114.00000   13.54480             10.94609
318.62451   1143.45850  253.00000   19.06778             16.96875
326.22535   889.42254   142.00000   14.56867             12.67471
332.50883   1102.43816  283.00000   29.60592             12.61132
330.37395   1512.24790  238.00000   20.01798             15.16605
333.96751   1028.74729  277.00000   22.05572             16.78794
339.30000   1046.13333  270.00000   26.36470             13.08237
337.08333   968.63889   144.00000   16.24801             11.36390
341.12810   982.55372   242.00000   22.73587             13.76646
341.67712   871.42947   319.00000   24.47315             17.41492
345.40000   1060.68889  270.00000   25.92135             13.50573
343.73822   1191.91099  191.00000   17.87986             13.98909
347.04682   1134.29588  534.00000   44.38141             15.95689
347.55738   953.25410   122.00000   14.69842             10.60707
351.79339   1025.17769  242.00000   18.91680             16.44549
360.42712   1088.15254  295.00000   23.92191             15.74253
364.42029   1030.01449  276.00000   33.04730             11.23672
362.06159   1000.45290  276.00000   21.69295             16.34903
364.25896   910.48207   251.00000   21.88392             14.76941
