# Filename: Nuclei_416_ctrl_60x_013.npz
# Voxel size (nm): (108, 108)
# Area quantity: voxels
# Num nuclei detected: 1348
Y           X           AREA       MAJOR_AXIS_LENGTH    MINOR_AXIS_LENGTH
5.17143     861.12857   70.00000   10.34511             8.78397
10.80000    1071.20000  75.00000   10.43082             9.26056
19.23590    1481.54359  195.00000  18.13510             13.76515
19.22857    659.56190   105.00000  14.17505             9.54384
21.83889    900.73333   180.00000  18.23390             12.62514
18.90441    1163.98529  136.00000  14.06425             12.34028
26.82353    834.75000   68.00000   10.45586             8.42965
31.29204    1174.07080  113.00000  12.95938             11.11600
36.48241    700.31658   199.00000  18.30809             13.89657
32.02778    817.19444   72.00000   10.99105             8.42757
34.11017    1315.33051  118.00000  13.61350             11.06460
38.39655    958.16379   116.00000  12.80872             11.56801
49.42202    1333.69725  109.00000  13.58347             10.31338
52.49080    617.02454   163.00000  16.54885             12.69035
57.86364    880.96364   110.00000  12.55888             11.31657
61.74172    1141.98675  151.00000  15.27336             12.62128
64.96234    817.97490   239.00000  22.33532             13.68795
66.50000    1161.50000  52.00000   10.42720             6.29136
73.00000    544.95522   134.00000  14.63615             11.82794
73.78750    725.76250   160.00000  16.12811             12.71452
77.13793    1320.26293  232.00000  20.55498             14.47993
79.67476    1077.27184  206.00000  20.73617             12.93413
83.94886    866.52273   176.00000  18.44543             12.23956
85.20571    1221.53143  175.00000  15.66212             14.23775
94.32520    412.87805   123.00000  14.86615             10.60882
95.81379    1173.28276  145.00000  16.34621             11.32294
97.33803    779.41197   284.00000  22.49614             16.15680
102.81364   661.88636   220.00000  26.09005             10.94123
96.73810    1143.61905  84.00000   12.91564             8.26093
99.42458    1507.36313  179.00000  18.32411             12.49507
99.45902    1098.04098  122.00000  13.75158             11.47003
106.94194   401.36774   155.00000  17.59343             11.79592
107.29189   1184.30270  185.00000  19.28292             12.44921
106.40909   970.21970   132.00000  14.78648             11.42437
110.40559   1339.99301  143.00000  14.36300             12.66546
114.01765   1234.98235  170.00000  17.56719             12.33628
112.95000   841.69286   140.00000  14.21196             12.59079
119.41818   1036.53636  220.00000  20.80444             13.50258
118.09174   1079.39450  109.00000  13.27549             10.49592
119.87671   1627.46575  73.00000   12.76872             7.94756
122.70899   635.24868   189.00000  19.36908             12.57768
120.98990   1478.74747  99.00000   12.55365             10.07898
124.22222   712.68333   180.00000  17.57251             13.17958
124.30909   1610.04848  165.00000  16.21332             13.01182
131.81646   1392.64557  158.00000  18.52396             10.93757
134.42211   1185.33668  199.00000  17.87451             14.24897
134.10891   750.22772   101.00000  13.64394             9.42252
134.84746   1057.07910  177.00000  17.78594             12.69287
138.44335   1301.94089  203.00000  17.48966             14.83022
138.90385   1169.32692  52.00000   9.12854              7.50668
144.54464   1449.52679  112.00000  13.49075             11.12073
148.29082   661.32653   392.00000  26.39532             19.45333
147.17919   996.78613   173.00000  16.04930             13.81446
148.86503   1078.00613  163.00000  19.82312             10.65596
147.09615   1091.73077  104.00000  11.96352             11.11604
151.43651   1015.19048  126.00000  13.69478             12.38273
151.83750   1579.67500  160.00000  15.69216             13.08601
152.76398   1621.96273  161.00000  16.98529             12.06103
152.97917   891.02604   192.00000  16.35100             15.08455
153.66207   265.68966   145.00000  15.75258             11.75695
154.86928   1185.21569  153.00000  16.77439             11.67118
151.46296   1034.46296  54.00000   9.12225              7.50309
159.65445   1264.93194  191.00000  17.07566             14.64582
161.96923   442.71923   260.00000  18.84927             17.71347
162.76243   1393.22099  181.00000  15.83125             14.71260
164.98537   1560.91220  205.00000  16.75771             15.63326
167.10000   608.03750   240.00000  19.45685             15.76013
167.78049   638.78537   205.00000  17.82581             14.68335
162.42500   1044.20000  40.00000   7.83752              6.65156
166.50000   1034.51786  56.00000   9.54284              7.46901
168.81429   1489.56429  140.00000  14.29581             12.49162
168.20530   1104.15894  151.00000  17.10123             11.37351
171.81481   671.82222   270.00000  22.18973             16.23755
172.12364   774.09818   275.00000  20.79729             16.90888
171.02837   830.31915   141.00000  13.93591             12.88489
171.50500   1008.03500  200.00000  20.47711             12.79171
174.02752   1320.28440  109.00000  13.39552             10.67736
176.11312   407.90045   221.00000  20.15304             14.11037
178.47126   855.73563   261.00000  20.06314             16.58977
177.11921   699.25166   151.00000  16.19121             11.87218
179.61417   1088.78740  127.00000  14.01797             11.59749
