# Filename: Nuclei_bidi_pfa_001.npz
# Voxel size (nm): (108, 108)
# Area quantity: voxels
# Num nuclei detected: 1618
Y           X           AREA       MAJOR_AXIS_LENGTH    MINOR_AXIS_LENGTH
10.03676    1413.19118  136.00000  13.77928             12.87936
27.97238    995.95580   181.00000  18.75806             12.35940
30.77500    1500.13125  160.00000  17.99484             11.47171
40.63285    972.72947   207.00000  20.44151             13.19623
42.77895    1005.16316  190.00000  17.30222             14.13224
45.15068    1557.80822  146.00000  17.92622             10.61921
51.09596    1218.67677  198.00000  17.06278             14.86274
58.64822    1038.26087  253.00000  22.92684             14.10248
57.50410    1141.73361  244.00000  19.85868             15.71588
60.72619    1247.02976  336.00000  24.50924             17.79212
71.06091    1224.88832  197.00000  18.93670             13.30492
73.42500    1449.56250  240.00000  20.23204             15.17823
74.28958    1306.62548  259.00000  19.87933             16.64130
76.24476    1190.52448  286.00000  19.76518             18.53533
77.36875    1415.15000  160.00000  15.74794             12.97562
82.06773    1346.03586  251.00000  19.57190             16.39217
83.84397    1371.90071  282.00000  21.40709             16.97300
84.89069    727.68016   247.00000  19.37574             16.26152
87.74262    1475.69198  237.00000  20.16723             15.02362
89.84677    1430.17339  248.00000  18.49634             17.31854
91.27049    847.70082   244.00000  20.81773             15.27946
92.61411    900.64315   241.00000  19.40631             15.87464
92.69369    1513.26577  222.00000  18.97865             14.90599
94.21849    874.21008   238.00000  19.08259             16.00730
95.19081    816.57597   283.00000  21.51149             16.85696
95.13287    1053.86713  143.00000  16.29893             11.29717
95.58685    958.77934   213.00000  19.37003             14.08612
102.73510   1035.21523  302.00000  24.39159             15.79025
103.41935   940.29391   279.00000  25.49471             15.31098
105.93128   745.75592   422.00000  28.28261             19.82420
104.36047   888.15116   172.00000  16.90049             12.98026
104.51773   1262.97163  282.00000  19.20313             18.77494
112.52749   785.95316   491.00000  38.28337             17.47778
107.03738   834.16355   214.00000  18.13459             15.15140
109.16438   1170.65753  219.00000  19.95391             13.98656
112.25974   905.82792   308.00000  23.80970             16.51798
114.11481   1287.08148  270.00000  19.19926             18.00959
114.93061   866.99184   245.00000  20.88436             14.95606
119.72197   1604.76682  223.00000  20.99826             13.55597
122.65769   1197.46923  260.00000  19.44515             17.13465
128.70323   701.04516   155.00000  16.35126             12.11961
135.17526   816.84536   194.00000  16.63458             15.29989
134.92593   663.19136   162.00000  16.42328             12.58344
137.51471   1048.40196  204.00000  18.75652             13.97043
138.51643   979.12676   213.00000  19.55528             13.98577
