# Filename: Nuclei_ctrl_pfa_002.npz
# Voxel size (nm): (108, 108)
# Area quantity: voxels
# Num nuclei detected: 1354
Y           X           AREA       MAJOR_AXIS_LENGTH    MINOR_AXIS_LENGTH
156.75887   506.03546   141.00000  14.17302             12.72254
197.50549   604.61538   182.00000  17.40490             13.40735
201.87709   930.77095   179.00000  16.27471             14.40581
214.57692   915.61111   234.00000  18.23003             16.43499
218.77729   735.93886   229.00000  17.91917             16.33083
238.17143   771.95714   280.00000  20.90236             17.46402
246.06996   880.36214   243.00000  19.59161             15.95159
250.06224   638.23237   241.00000  18.64682             16.52612
255.73152   848.14397   257.00000  19.51064             16.87069
254.53691   425.16779   149.00000  15.38517             12.47623
263.33197   737.62295   244.00000  19.55305             16.37874
276.80882   463.33088   136.00000  15.05792             11.65101
291.97122   673.65108   278.00000  21.51095             16.53277
292.47590   642.78916   166.00000  15.56769             13.71873
302.24551   473.89820   167.00000  16.68596             12.88245
312.15612   844.93671   237.00000  20.34683             14.95534
325.55505   605.61009   218.00000  20.48370             13.79508
329.37500   886.92045   264.00000  21.86731             15.54124
327.18310   1250.28169  71.00000   10.27413             8.81194
333.31148   1222.44262  61.00000   9.17600              8.46397
336.36522   708.83913   230.00000  20.82484             14.15027
343.78261   530.36232   207.00000  19.79673             13.41626
348.94565   1204.51087  92.00000   12.26130             9.59407
352.28070   582.48538   171.00000  17.01618             13.17332
353.73248   936.64331   157.00000  15.44715             13.10569
357.56917   703.22134   253.00000  18.10419             17.97832
357.35200   987.86400   125.00000  13.45073             11.89687
361.81148   1023.43443  122.00000  13.52968             11.50262
363.30939   1121.58011  181.00000  16.33373             14.39672
366.73649   965.00000   148.00000  14.78083             12.78448
369.57542   863.40782   179.00000  16.28662             14.14192
375.21805   933.55639   133.00000  16.08030             10.63454
376.77876   1087.22124  113.00000  14.44417             10.00857
379.89313   1076.53435  131.00000  14.15711             11.84186
384.49032   950.61290   155.00000  15.65589             12.86370
384.76522   1108.52174  115.00000  15.75808             9.38141
387.91880   782.61111   234.00000  20.23370             14.79560
384.17949   1100.37179  78.00000   12.05906             8.26209
387.31667   939.98333   120.00000  14.45436             10.58911
385.67925   1227.41509  53.00000   8.61537              7.78088
391.44586   1345.20382  157.00000  16.27385             12.32074
397.32093   661.92093   215.00000  21.33649             12.91445
393.13386   1090.45669  127.00000  13.36935             12.14864
393.97826   700.73370   184.00000  19.14930             12.33893
398.20690   811.94138   290.00000  20.89027             17.86660
396.20536   1116.16071  112.00000  15.47508             9.32766
394.61765   1125.02941  102.00000  12.35238             10.68842
398.75556   1048.94815  135.00000  14.62534             11.80977
398.28358   978.81343   134.00000  14.49407             11.80010
399.07874   1011.15748  127.00000  13.04553             12.42407
399.04918   1139.01639  122.00000  13.60399             11.40908
404.62385   1033.76147  109.00000  12.61023             11.02502
408.36364   951.16746   209.00000  18.94836             14.25814
412.36257   864.77193   171.00000  18.07175             12.13266
416.86328   1001.88672  256.00000  21.61470             15.15917
418.23737   1155.84343  198.00000  20.06124             12.65431
423.95406   979.00707   283.00000  21.23778             17.08108
419.55072   1194.01449  69.00000   9.77244              9.01158
427.84049   902.63804   326.00000  26.21977             16.25209
425.13372   1116.00581  172.00000  16.87759             13.04286
425.92975   808.56198   242.00000  19.44211             16.11569
425.65417   1175.74167  240.00000  20.86687             14.68534
428.03401   1040.35374  147.00000  17.33427             10.94104
430.14762   1450.38095  210.00000  17.63161             15.28829
437.52399   655.87085   271.00000  19.16789             18.18819
434.37912   1475.84615  182.00000  20.19902             11.48923
436.72973   848.47297   148.00000  14.56838             12.98183
438.11679   993.62774   137.00000  14.63849             12.16590
440.46957   1101.08696  115.00000  13.89997             10.55723
439.79661   1525.35593  59.00000   10.26286             8.07917
444.81159   564.00725   138.00000  17.11942             10.62851
454.20952   819.03492   315.00000  30.71491             13.27125
445.38583   1149.86614  127.00000  13.69305             12.03951
455.72028   911.82867   286.00000  23.72339             16.08403
458.83333   871.13441   372.00000  27.22775             17.58611
453.89941   1104.26627  169.00000  16.57812             13.08822
454.35354   1188.53535  198.00000  17.85976             14.17135
454.72222   990.50000   180.00000  16.43525             14.04212
454.45856   1132.01657  181.00000  15.37988             15.04329
456.14545   1212.51818  220.00000  20.27507             13.89295
458.66372   1016.05310  113.00000  14.95872             9.62721
460.31613   1519.20645  155.00000  15.92471             12.46078
461.62201   635.52153   209.00000  18.19779             14.71782
462.93458   784.63084   214.00000  17.91327             15.35884
468.93125   806.00625   160.00000  24.14099             8.65658
461.95146   578.76699   103.00000  12.46260             10.57063
466.27451   1049.38235  204.00000  20.97148             12.44695
467.28511   682.08936   235.00000  21.59248             13.98161
470.22596   1186.39904  208.00000  17.10957             15.53822
470.21839   973.01149   174.00000  17.80900             12.45335
470.99500   1078.32500  200.00000  16.63470             15.33089
471.74172   1237.46358  151.00000  17.29063             11.21487
474.71429   916.91270   252.00000  22.84516             14.47836
475.63679   572.58019   212.00000  18.64274             14.50988
478.59910   857.49099   222.00000  19.50459             14.63144
483.96167   880.08014   287.00000  21.15418             17.50535
481.20264   1060.52423  227.00000  18.18303             16.05406
479.95238   1332.95238  147.00000  14.68931             12.75576
482.68391   1022.16667  174.00000  18.33731             12.39572
485.50943   1130.78302  212.00000  21.85425             12.41633
480.61017   991.83051   59.00000   10.04567             7.47812
488.36923   1141.16923  195.00000  22.72895             11.03730
482.46667   1363.60000  75.00000   9.91699              9.66276
488.47802   1158.94505  182.00000  16.69894             13.90988
487.72477   1007.97248  109.00000  12.52808             11.10035
491.08939   824.94972   179.00000  16.89072             13.54772
491.22826   910.92935   184.00000  21.37351             11.06103
493.38889   1231.98611  144.00000  16.75537             10.94182
495.37269   694.79336   271.00000  23.54553             14.74761
495.25543   653.64674   184.00000  15.71951             15.06319
493.34722   1206.81944  144.00000  15.76341             11.81138
495.37634   1257.10215  186.00000  17.43336             13.68658
495.91053   1090.65789  190.00000  17.55912             13.87132
501.44056   620.06643   286.00000  20.89697             17.53878
497.15278   993.56944   72.00000   10.71739             8.59057
505.37870   1181.55325  338.00000  28.16680             15.77528
505.40562   955.42570   249.00000  20.95116             15.33923
507.89916   875.47059   238.00000  21.11368             14.53314
503.38365   1041.61006  159.00000  15.27950             13.26036
504.03361   1214.37815  119.00000  12.93373             11.70904
507.84659   911.35227   176.00000  17.31400             13.09231
507.04734   986.44379   169.00000  19.95981             10.80565
510.49187   1083.65041  246.00000  20.36725             15.54116
505.81720   1278.34409  93.00000   16.41651             7.23673
515.02222   1313.42222  90.00000   12.01263             9.52382
