# Filename: BNI1-640nm_416_bidi_60x_002.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X    CLUSTER_ID
98    157  -1
158   64   -1
381   420  -1
389   86   -1
391   239  -1
397   113  -1
399   108  -1
416   497  -1
433   453  -1
436   461  -1
524   26   -1
530   338  -1
580   575  -1
631   889  -1
1473  496  -1
1479  318  -1
1488  464  -1
1501  489  -1
1515  450  -1
1520  441  -1
1532  444  -1
1534  473  -1
1543  427  -1
1547  461  -1
1554  457  -1
1555  427  -1
1557  415  -1
1561  418  -1
1562  410  -1
1571  414  -1
1574  623  -1
1579  598  -1
1581  410  -1
1585  444  -1
1595  293  -1
1597  431  -1
1598  294  -1
1653  518  -1
1653  523  -1
1654  402  -1
1672  213  -1
1678  404  -1
1679  730  -1
1684  746  -1
1695  449  -1
1705  694  -1
1706  597  -1
1709  593  -1
1718  559  -1
1723  491  -1
1728  448  -1
1737  476  -1
1739  400  -1
1788  816  -1
1796  796  -1
1802  238  -1
1810  853  -1
1822  501  -1
1850  390  -1
1884  516  -1
1895  457  -1
1922  644  -1
1938  746  -1
1939  667  -1
1941  571  -1
1942  559  -1
1986  701  -1
1995  503  -1
2002  272  -1
2010  450  -1
2029  472  -1
2047  493  -1
385   110  -1
389   309  -1
392   307  -1
417   540  -1
425   231  -1
455   399  -1
472   689  -1
486   305  -1
544   651  -1
575   575  -1
1470  492  -1
1564  433  -1
1597  399  -1
1625  578  -1
1624  584  -1
1627  318  -1
1670  427  -1
1686  274  -1
1696  679  -1
1719  398  -1
1725  602  -1
1730  418  -1
1734  414  -1
1742  460  -1
1747  459  -1
1751  345  -1
1765  429  -1
1792  425  -1
1804  406  -1
1802  408  -1
1820  442  -1
1817  218  -1
1819  221  -1
1818  881  -1
1849  560  -1
1856  614  -1
1854  610  -1
1865  535  -1
1870  591  -1
1873  400  -1
1871  402  -1
1883  272  -1
1883  493  -1
1887  422  -1
1913  508  -1
1916  513  -1
1925  486  -1
1928  561  -1
1928  637  -1
1997  509  -1
2029  627  -1
2033  869  -1
1691  314  0
1690  314  0
470   691  1
469   691  1
1514  478  2
1512  479  2
1537  461  3
1537  461  3
1537  457  3
1538  461  3
1537  457  3
1537  462  3
1536  459  3
1537  457  3
1537  462  3
1564  437  4
1564  436  4
1564  437  4
1563  438  4
1565  436  4
1596  402  5
1596  402  5
1596  402  5
1595  404  5
1596  402  5
1599  404  6
1600  403  6
1599  404  6
1617  377  7
1617  377  7
1617  377  7
1616  379  7
1619  377  7
1621  375  8
1621  375  8
1621  375  8
1622  374  8
1628  373  9
1630  373  9
1626  374  9
1628  581  10
1627  582  10
1672  425  11
1671  424  11
1687  269  12
1688  268  12
1686  271  12
1689  267  12
1688  271  12
1685  270  12
1689  267  12
1689  573  13
1688  573  13
1699  333  14
1699  333  14
1698  335  14
1701  330  15
1699  330  15
1723  604  16
1723  605  16
1728  398  17
1728  398  17
1727  400  17
1725  398  18
1723  399  18
1732  416  19
1732  416  19
1738  626  20
1739  626  20
1739  624  20
1741  457  21
1742  457  21
1759  591  22
1759  592  22
1758  592  22
1759  590  22
1758  593  22
1759  590  22
1758  594  22
1759  593  22
1760  589  22
1766  433  23
1766  432  23
1784  731  24
1784  731  24
1784  731  24
1800  405  25
1800  405  25
1817  443  26
1815  442  26
1818  444  26
1815  442  26
1829  330  27
1828  332  27
1830  329  27
1852  655  28
1852  655  28
1851  653  28
1854  654  28
1868  593  29
1868  593  29
1866  594  29
1875  271  30
1876  270  30
1888  488  31
1887  489  31
1927  558  32
1927  556  32
1928  400  33
1927  402  33
2026  628  34
2025  630  34
