# Filename: BNI1-640nm_416_bidi_60x_004.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X     NUM_PUNCTA    CLUSTER_ID
650   1350  2             0
664   1468  5             1
731   1467  2             2
805   557   2             3
839   607   2             4
856   637   2             5
871   474   4             6
874   634   2             7
890   867   2             8
916   428   2             9
940   460   2             10
966   798   2             11
999   360   2             12
1016  509   2             13
1046  719   2             14
1052  780   2             15
1104  400   2             16
1202  610   2             17
1208  405   3             18
1222  1309  2             19
1254  1652  2             20
1262  1430  2             21
1261  1426  2             22
1269  1396  4             23
1294  1262  5             24
1309  761   4             25
1318  1580  2             26
1338  556   2             27
1340  551   2             28
1340  570   4             29
1339  565   2             30
1341  1313  2             31
1390  1696  2             32
1411  1353  2             33
1444  667   2             34
1491  1253  2             35
1517  1417  3             36
1535  1396  2             37
1537  1364  5             38
1542  1365  2             39
1554  1374  5             40
1555  1663  3             41
1577  1321  2             42
1577  1318  2             43
1582  1977  2             44
1605  1964  2             45
1622  1221  2             46
1626  1391  2             47
1645  1769  3             48
1685  1205  2             49
1714  1293  2             50
1723  1199  6             51
1726  1213  2             52
1726  1160  2             53
1765  1237  3             54
1783  1273  4             55
1792  1351  2             56
1796  1519  2             57
1812  1248  3             58
1814  1252  2             59
1838  1208  2             60
1840  1565  2             61
1875  1248  4             62
1876  1158  4             63
2017  1321  2             64
