# Filename: BNI1-640nm_416_bidi_60x_007.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X     CLUSTER_ID
687   923   -1
717   995   -1
725   714   -1
846   559   -1
880   859   -1
880   980   -1
885   910   -1
908   1206  -1
915   992   -1
927   899   -1
965   944   -1
965   1094  -1
972   953   -1
979   705   -1
979   906   -1
996   909   -1
999   905   -1
1008  904   -1
1022  771   -1
1030  930   -1
1031  918   -1
1034  974   -1
1037  1021  -1
1044  931   -1
1066  930   -1
1079  583   -1
1084  880   -1
1092  922   -1
1099  771   -1
1111  972   -1
1115  936   -1
1126  1126  -1
1144  1089  -1
1146  991   -1
1146  1098  -1
1150  998   -1
1153  1223  -1
1167  989   -1
1172  964   -1
1173  985   -1
1188  1025  -1
1189  1008  -1
1192  987   -1
1194  1016  -1
1426  1204  -1
211   1458  -1
678   929   -1
702   1007  -1
716   1106  -1
792   1154  -1
878   756   -1
984   920   -1
1057  1251  -1
1062  1091  -1
1092  843   -1
1099  954   -1
1118  1067  -1
1120  1065  -1
1123  972   -1
1123  986   -1
1140  807   -1
1151  1005  -1
1159  855   -1
1161  852   -1
1161  971   -1
1180  985   -1
1201  1013  -1
1317  1373  -1
1420  1078  -1
1464  1140  -1
693   1070  0
694   1070  0
693   1070  0
711   885   1
712   886   1
715   1101  2
714   1101  2
754   1149  3
755   1150  3
763   1125  4
763   1124  4
762   1125  4
763   1124  4
875   572   5
874   573   5
990   922   6
990   922   6
988   922   6
1041  942   7
1041  942   7
1041  942   7
1042  942   7
1041  942   7
1043  946   7
1042  941   7
1042  944   7
1042  946   7
1042  941   7
1041  944   7
1043  946   7
1041  942   7
1043  941   7
1041  944   7
1043  947   7
1040  940   7
1044  943   7
1042  572   8
1042  572   8
1041  573   8
1042  574   8
1041  571   8
1092  933   9
1093  933   9
1098  888   10
1098  888   10
1098  888   10
1098  888   10
1099  885   11
1099  885   11
1104  678   12
1104  678   12
1110  1124  13
1110  1125  13
1110  1124  13
1110  1125  13
1110  1124  13
1112  1121  13
1110  1125  13
1112  1122  13
1110  1124  13
1110  1126  13
1111  1121  13
1112  1124  13
1133  1136  14
1132  1136  14
1132  1137  14
1133  1136  14
1132  1137  14
1133  1136  14
1131  1139  14
1134  1141  15
1135  1142  15
1133  1142  15
1142  842   16
1142  842   16
1142  843   16
1142  842   16
1157  853   17
1156  853   17
1201  1008  18
1201  1006  18
