# Filename: BNI1-640nm_416_bidi_60x_008.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Voxel size (nm): (108, 108)
Y     X
49    1165
303   1159
342   1155
344   1128
345   1152
354   1150
355   1154
370   845
372   839
383   1205
411   785
413   1118
416   1232
417   1084
418   1223
432   835
432   840
433   731
435   799
457   1023
463   1009
465   793
471   1039
473   764
476   1060
485   1003
488   1006
506   1028
509   1030
517   752
525   1076
530   928
530   932
543   905
547   1039
550   1050
566   1269
584   1257
587   843
591   1107
594   1083
598   1039
599   1033
600   875
602   882
603   827
608   1011
609   706
611   1016
622   1054
623   972
630   1097
631   946
634   1036
635   972
636   917
647   1114
649   680
649   1214
650   995
651   973
651   1122
663   949
669   953
669   976
676   1233
681   994
687   1104
690   1160
691   1099
697   1112
708   1200
731   983
748   1124
752   1141
757   1126
758   1121
758   1210
772   1115
772   1159
779   1113
792   1172
807   1183
812   1148
820   1143
833   1110
860   502
887   519
902   656
916   622
916   669
917   544
918   604
921   593
922   667
927   578
933   539
933   613
933   706
935   588
938   612
939   786
955   682
959   574
959   674
964   757
971   885
974   840
980   821
981   933
982   893
983   554
985   903
986   979
987   652
989   492
991   847
995   853
997   877
1002  559
1003  806
1004  858
1004  879
1007  824
1007  871
1008  468
1009  888
1010  848
1011  904
1012  599
1018  687
1022  849
1025  901
1030  959
1031  894
1040  405
1041  550
1042  921
1048  575
1048  911
1050  901
1052  932
1057  883
1057  914
1059  936
1062  917
1072  891
1078  922
1079  944
1081  890
1081  934
1096  924
1111  714
1112  955
1114  729
1117  923
1125  877
1134  727
1138  716
1141  712
1142  469
1144  413
1166  762
1183  366
1186  866
1204  965
1207  954
1223  583
1240  774
1321  814
1327  582
1336  795
1350  626
1369  713
1406  510
1411  620
1454  1229
1455  1117
1462  1232
1581  752
1665  987
1746  949
1747  945
1753  943
