# Filename: BNI1-640nm_416_ctrl_60x_001.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Voxel size (nm): (108, 108)
Y     X
48    506
69    560
223   536
306   811
360   116
374   966
376   944
400   686
408   696
413   465
413   936
425   951
434   683
439   818
439   969
452   574
456   1025
460   1037
463   1048
464   862
465   848
472   1041
475   773
481   696
485   1002
486   711
489   660
489   1048
491   744
494   853
501   847
502   1071
506   1067
516   580
517   644
521   1096
522   597
523   1071
525   895
525   1049
532   1097
533   1043
535   899
539   980
541   478
541   1120
545   963
545   1093
546   987
549   112
550   620
552   789
553   407
553   1872
554   914
560   394
562   350
564   847
571   865
572   673
572   785
572   817
573   871
574   851
576   933
581   690
582   570
584   472
584   677
586   882
587   311
590   395
590   667
591   876
592   791
594   848
595   491
595   1044
596   324
598   741
605   714
605   977
609   571
609   733
610   481
613   956
618   635
618   791
621   459
624   1125
628   710
632   1090
633   372
634   446
637   1024
639   677
642   687
645   454
646   919
648   306
651   350
653   1148
653   1189
656   187
656   640
663   359
665   640
666   179
666   610
667   1126
669   887
672   187
673   434
676   898
676   976
677   477
677   887
678   650
681   992
682   265
684   715
685   685
686   794
686   1012
689   439
692   329
692   1185
696   505
696   713
697   1201
701   314
701   821
702   1277
703   636
704   1285
705   719
705   1214
706   888
707   1209
709   719
710   1189
712   1224
713   195
713   897
713   929
713   1143
714   711
715   202
715   1197
718   840
719   824
719   954
720   1230
721   1211
722   747
725   521
726   828
726   907
726   1235
728   548
731   831
734   545
735   578
736   540
736   1240
738   936
741   499
741   1261
743   591
743   722
743   1299
744   540
744   620
745   896
746   893
746   907
748   705
749   639
749   647
750   750
751   571
754   1332
755   430
758   373
758   1288
759   689
759   1028
760   848
760   1022
761   629
761   861
761   1346
762   890
762   984
763   536
764   1314
765   694
766   329
767   546
767   643
767   1182
768   897
769   667
769   914
770   906
770   1187
771   233
771   1302
772   1307
772   1328
773   375
773   1040
774   636
774   659
777   873
777   1331
778   1379
779   738
779   1029
780   432
780   866
781   860
781   872
781   1349
781   1383
782   612
782   898
783   1222
785   935
785   1752
786   638
786   1036
787   270
788   706
788   768
788   886
790   879
791   634
792   437
795   1295
797   774
797   924
798   421
798   509
798   1364
799   1374
802   562
804   257
804   918
804   1176
804   1223
805   25
805   438
807   1393
809   454
809   626
809   717
809   944
809   1399
810   509
810   934
811   1414
812   498
815   1405
817   551
817   654
817   692
817   1197
819   339
819   947
820   647
822   220
822   889
823   257
824   368
825   349
827   447
827   454
827   752
827   1749
828   334
828   443
828   1407
829   541
829   968
829   1400
829   1419
830   964
831   677
831   1263
832   413
832   596
832   1437
833   931
833   1427
834   579
834   641
834   1715
835   660
835   818
836   968
836   1416
837   880
837   1217
838   602
839   458
839   1208
841   884
843   276
843   304
843   599
843   657
844   355
844   490
845   987
846   1430
848   314
850   752
852   624
852   943
852   1011
854   963
860   743
860   1182
860   1256
862   573
862   757
862   964
864   608
865   714
865   908
865   927
866   974
868   767
868   775
868   787
869   348
869   743
870   1298
870   1347
872   798
874   718
875   324
875   687
877   311
877   532
878   465
878   680
878   1245
879   372
882   330
882   1107
883   19
883   747
884   696
884   958
886   916
887   335
887   583
888   282
888   399
888   1355
889   280
889   361
890   303
890   1081
891   1100
892   171
893   613
893   632
894   485
894   897
896   500
896   541
898   582
899   352
899   794
899   846
900   300
900   377
901   309
902   405
902   555
903   103
903   562
904   1117
906   169
907   565
907   917
908   260
908   802
908   829
909   963
910   595
910   644
911   399
911   823
911   934
912   299
914   599
914   713
915   416
915   888
916   681
916   927
917   592
918   503
918   864
918   936
918   941
920   156
920   396
921   919
922   1385
923   241
923   406
923   970
924   227
924   699
925   575
925   778
925   781
925   904
925   1335
927   108
927   688
927   796
927   851
928   565
928   593
928   928
929   826
930   537
931   703
931   952
933   653
933   695
933   1294
934   894
935   371
935   687
936   773
937   359
937   695
937   1282
938   566
938   1366
939   644
939   909
940   704
942   929
943   890
943   961
944   618
945   870
946   377
946   382
946   546
946   576
946   916
947   851
948   753
949   629
951   746
