# Filename: BNI1-640nm_416_ctrl_60x_007.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X     CLUSTER_ID
45    897   -1
125   696   -1
145   1015  -1
148   1091  -1
172   673   -1
182   911   -1
184   903   -1
192   670   -1
211   667   -1
221   766   -1
223   779   -1
226   820   -1
227   629   -1
230   307   -1
237   613   -1
241   1010  -1
261   899   -1
270   396   -1
273   718   -1
281   765   -1
294   523   -1
295   316   -1
298   884   -1
307   1099  -1
312   339   -1
322   679   -1
324   1042  -1
325   687   -1
335   781   -1
337   806   -1
343   352   -1
344   780   -1
352   1183  -1
353   1160  -1
358   336   -1
361   881   -1
364   552   -1
366   482   -1
367   1054  -1
375   948   -1
376   731   -1
376   1561  -1
383   739   -1
389   863   -1
391   877   -1
396   434   -1
401   745   -1
403   775   -1
403   1091  -1
403   1144  -1
404   505   -1
406   460   -1
408   1221  -1
410   569   -1
413   671   -1
420   786   -1
422   859   -1
424   1115  -1
426   1144  -1
429   851   -1
430   1099  -1
434   353   -1
434   784   -1
442   862   -1
443   1274  -1
445   1026  -1
445   1164  -1
446   850   -1
448   660   -1
452   563   -1
454   736   -1
456   967   -1
457   1106  -1
458   743   -1
458   752   -1
458   1156  -1
459   331   -1
459   1209  -1
460   736   -1
466   1439  -1
467   1019  -1
472   792   -1
474   1288  -1
477   743   -1
480   721   -1
485   761   -1
485   1375  -1
487   603   -1
487   951   -1
487   1014  -1
487   1296  -1
488   991   -1
490   960   -1
491   720   -1
494   677   -1
494   725   -1
499   767   -1
499   925   -1
500   1297  -1
500   1306  -1
501   655   -1
501   729   -1
501   878   -1
501   994   -1
501   1172  -1
502   901   -1
505   1323  -1
506   849   -1
510   1039  -1
519   775   -1
520   739   -1
521   960   -1
521   1215  -1
523   1611  -1
525   1074  -1
526   1089  -1
527   983   -1
529   975   -1
531   1038  -1
531   1625  -1
532   758   -1
533   895   -1
533   1055  -1
536   1321  -1
537   630   -1
537   766   -1
537   1004  -1
537   1297  -1
539   1469  -1
541   1180  -1
542   984   -1
545   1314  -1
546   629   -1
546   1300  -1
547   1050  -1
547   1279  -1
551   743   -1
552   799   -1
553   1285  -1
554   835   -1
554   1531  -1
555   1071  -1
555   1303  -1
556   1027  -1
557   1012  -1
558   1210  -1
560   1198  -1
561   1045  -1
561   1427  -1
562   714   -1
562   748   -1
562   1520  -1
563   881   -1
564   1311  -1
564   1482  -1
567   1468  -1
568   874   -1
570   679   -1
570   906   -1
573   888   -1
573   1258  -1
574   1477  -1
577   655   -1
578   659   -1
578   802   -1
580   1004  -1
583   678   -1
587   559   -1
587   754   -1
588   737   -1
588   1293  -1
589   759   -1
590   799   -1
592   307   -1
592   316   -1
592   1132  -1
593   615   -1
595   919   -1
596   646   -1
597   832   -1
597   1261  -1
598   1055  -1
599   946   -1
602   1214  -1
604   366   -1
607   327   -1
607   331   -1
607   690   -1
607   1270  -1
608   645   -1
612   373   -1
612   920   -1
612   932   -1
613   168   -1
614   695   -1
614   1196  -1
617   367   -1
618   379   -1
619   1229  -1
620   101   -1
620   781   -1
621   1017  -1
622   459   -1
624   915   -1
625   968   -1
626   898   -1
628   1129  -1
631   606   -1
632   559   -1
633   145   -1
633   581   -1
635   1095  -1
635   1192  -1
636   566   -1
638   346   -1
638   715   -1
639   550   -1
640   726   -1
640   929   -1
640   1203  -1
642   749   -1
644   891   -1
644   1037  -1
647   446   -1
647   670   -1
648   652   -1
648   760   -1
652   585   -1
653   340   -1
654   447   -1
654   981   -1
655   931   -1
657   78    -1
657   1270  -1
659   807   -1
659   1351  -1
664   434   -1
665   921   -1
666   544   -1
667   606   -1
667   1126  -1
671   302   -1
672   377   -1
672   1067  -1
673   1024  -1
674   592   -1
676   1174  -1
679   792   -1
679   1110  -1
680   976   -1
682   120   -1
682   589   -1
682   926   -1
684   71    -1
685   1110  -1
689   408   -1
689   843   -1
689   925   -1
692   852   -1
693   382   -1
694   847   -1
696   1176  -1
699   1046  -1
701   296   -1
702   842   -1
704   365   -1
704   1161  -1
705   926   -1
707   467   -1
707   609   -1
708   1017  -1
708   1099  -1
709   1047  -1
710   1121  -1
711   1111  -1
714   617   -1
715   601   -1
715   863   -1
718   34    -1
719   843   -1
720   961   -1
720   1040  -1
722   606   -1
722   871   -1
723   319   -1
724   1122  -1
724   1168  -1
726   1215  -1
727   1113  -1
729   1088  -1
730   354   -1
730   1016  -1
730   1140  -1
732   535   -1
732   1022  -1
732   1152  -1
733   962   -1
734   252   -1
736   608   -1
736   842   -1
737   568   -1
738   1218  -1
739   311   -1
740   1225  -1
742   1149  -1
742   1210  -1
743   1097  -1
744   626   -1
744   1251  -1
745   506   -1
745   840   -1
747   339   -1
747   867   -1
748   1204  -1
749   323   -1
750   621   -1
750   1226  -1
754   842   -1
757   323   -1
757   887   -1
758   982   -1
759   874   -1
765   346   -1
765   413   -1
765   1133  -1
766   1214  -1
767   1114  -1
769   518   -1
771   567   -1
772   231   -1
773   258   -1
777   642   -1
778   1250  -1
779   1306  -1
781   1232  -1
782   768   -1
783   1090  -1
786   722   -1
788   1042  -1
790   1092  -1
791   655   -1
792   555   -1
793   441   -1
794   1214  -1
794   1312  -1
795   415   -1
796   1240  -1
797   686   -1
798   466   -1
798   575   -1
798   990   -1
800   1068  -1
800   1307  -1
801   636   -1
802   368   -1
805   958   -1
810   1227  -1
811   591   -1
812   969   -1
814   939   -1
815   341   -1
815   601   -1
815   1350  -1
816   658   -1
818   467   -1
820   530   -1
823   1051  -1
826   651   -1
827   1370  -1
828   979   -1
828   1240  -1
829   626   -1
829   988   -1
830   1359  -1
831   529   -1
832   1114  -1
833   615   -1
837   482   -1
837   522   -1
837   639   -1
838   1366  -1
839   1180  -1
841   488   -1
843   540   -1
843   1087  -1
843   1364  -1
844   810   -1
847   344   -1
848   1366  -1
850   242   -1
851   863   -1
851   1183  -1
852   70    -1
852   1161  -1
853   798   -1
854   491   -1
855   556   -1
855   586   -1
856   776   -1
856   832   -1
857   1177  -1
858   1272  -1
860   486   -1
860   853   -1
860   968   -1
861   701   -1
863   342   -1
863   412   -1
864   1044  -1
864   1095  -1
864   1316  -1
867   627   -1
868   519   -1
869   460   -1
872   1227  -1
873   1193  -1
873   1307  -1
874   674   -1
874   682   -1
876   629   -1
876   703   -1
876   1281  -1
877   135   -1
877   252   -1
878   751   -1
878   826   -1
879   643   -1
880   391   -1
880   624   -1
881   562   -1
881   1161  -1
882   284   -1
882   661   -1
882   771   -1
884   1201  -1
886   763   -1
886   1137  -1
887   1185  -1
891   714   -1
891   1323  -1
892   179   -1
893   516   -1
893   573   -1
893   611   -1
893   852   -1
893   1124  -1
895   366   -1
896   540   -1
898   1180  -1
899   763   -1
900   1141  -1
901   396   -1
904   676   -1
904   862   -1
904   1257  -1
905   593   -1
905   1116  -1
