# Filename: BNI1-640nm_416_ctrl_60x_015.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X     NUM_PUNCTA    CLUSTER_ID
965   444   2             0
9     1048  5             1
10    907   2             2
13    978   5             3
14    996   3             4
26    817   8             5
24    966   2             6
28    1212  7             7
26    1220  2             8
33    960   22            9
39    942   4             10
50    950   9             11
243   825   3             12
783   735   3             13
795   462   3             14
870   645   3             15
887   1067  2             16
905   684   2             17
909   920   3             18
963   1299  2             19
1019  1423  2             20
1041  585   7             21
1083  659   5             22
1087  999   2             23
1174  1246  2             24
1463  220   2             25
1473  463   2             26
1537  1313  2             27
