# Filename: CLN3-561nm_416_bidi_60x_002.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X    NUM_PUNCTA    CLUSTER_ID
1866  533  2             0
385   107  2             1
468   690  2             2
472   687  2             3
543   650  3             4
1537  458  7             5
1565  431  2             6
1564  435  2             7
1597  401  7             8
1628  581  2             9
1690  267  2             10
1723  603  2             11
1740  623  3             12
1759  590  5             13
1785  731  2             14
1789  816  3             15
1819  442  2             16
1847  560  2             17
1854  653  3             18
1874  399  2             19
1918  504  2             20
1928  558  2             21
2027  628  3             22
