# Filename: CLN3-561nm_416_bidi_60x_010.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X     CLUSTER_ID
422   728   -1
451   795   -1
458   793   -1
513   1008  -1
536   1395  -1
540   1390  -1
552   1062  -1
554   1147  -1
604   1051  -1
621   1470  -1
653   930   -1
669   1003  -1
676   1003  -1
682   916   -1
692   839   -1
712   810   -1
717   1024  -1
720   1026  -1
742   1090  -1
759   933   -1
778   843   -1
793   838   -1
807   1045  -1
832   765   -1
833   1434  -1
851   1188  -1
857   729   -1
859   722   -1
859   901   -1
862   856   -1
890   834   -1
894   843   -1
896   922   -1
897   1264  -1
907   1243  -1
920   793   -1
925   1165  -1
936   657   -1
950   866   -1
955   875   -1
956   556   -1
958   942   -1
966   960   -1
968   682   -1
970   692   -1
974   455   -1
974   480   -1
984   972   -1
992   911   -1
1008  541   -1
1017  1235  -1
1018  981   -1
1018  1010  -1
1020  899   -1
1029  641   -1
1061  653   -1
1065  948   -1
1085  556   -1
1087  641   -1
1087  1058  -1
1090  1306  -1
1093  976   -1
1106  900   -1
1109  1195  -1
1112  982   -1
1124  1063  -1
1129  1392  -1
1137  547   -1
1143  1436  -1
1155  843   -1
1168  544   -1
1169  975   -1
1189  844   -1
1214  651   -1
1227  835   -1
1236  792   -1
1237  467   -1
1253  963   -1
1258  1118  -1
1260  1122  -1
1275  595   -1
1283  683   -1
1284  1160  -1
1287  696   -1
1292  1268  -1
1294  443   -1
1301  1166  -1
1302  541   -1
1303  1063  -1
1313  715   -1
1320  1233  -1
1325  1137  -1
1336  701   -1
1348  1120  -1
1348  1266  -1
1351  842   -1
1367  1229  -1
1374  1033  -1
1382  734   -1
1386  714   -1
1390  585   -1
1394  588   -1
1397  570   -1
1412  781   -1
1425  719   -1
1442  851   -1
1465  576   -1
1465  1201  -1
1468  755   -1
1474  1533  -1
1475  962   -1
1481  954   -1
1483  701   -1
1513  1606  -1
1518  1781  -1
1536  596   -1
1551  576   -1
1553  1572  -1
1559  1783  -1
1576  1837  -1
1596  608   -1
1644  1448  -1
1650  1503  -1
1651  979   -1
1658  944   -1
1698  951   -1
1703  951   -1
1717  903   -1
1726  757   -1
1768  1013  -1
1804  861   -1
1903  1046  -1
1905  859   -1
1908  1175  -1
1915  864   -1
1984  865   -1
1992  1547  -1
2009  554   -1
2041  1202  -1
380   411   -1
414   790   -1
419   841   -1
420   838   -1
429   535   -1
569   746   -1
682   951   -1
709   911   -1
753   1072  -1
754   1006  -1
755   614   -1
756   1077  -1
757   848   -1
770   1163  -1
770   866   -1
780   1091  -1
782   841   -1
794   727   -1
823   913   -1
832   1168  -1
874   983   -1
891   839   -1
906   1223  -1
920   737   -1
968   738   -1
980   686   -1
1044  836   -1
1047  1105  -1
1071  644   -1
1078  982   -1
1092  936   -1
1094  932   -1
1098  435   -1
1105  862   -1
1103  864   -1
1107  906   -1
1130  1387  -1
1142  607   -1
1147  603   -1
1158  546   -1
1183  557   -1
1233  538   -1
1233  542   -1
1253  1473  -1
1297  1180  -1
1297  1269  -1
1300  858   -1
1328  517   -1
1331  416   -1
1349  1204  -1
1382  713   -1
1390  738   -1
1392  734   -1
1417  873   -1
1419  875   -1
1428  871   -1
1453  561   -1
1465  1001  -1
1467  995   -1
1486  701   -1
1495  609   -1
1493  611   -1
1493  607   -1
1509  1497  -1
1531  730   -1
1554  585   -1
1564  1894  -1
1605  1819  -1
1622  627   -1
1654  1018  -1
1771  1814  -1
1860  739   -1
1913  569   -1
1944  783   -1
1945  1119  -1
1942  1120  -1
1987  1563  -1
414   793   0
412   794   0
454   800   1
455   800   1
528   1389  2
528   1389  2
528   1387  2
528   1389  2
527   1385  2
590   1411  3
588   1412  3
625   1086  4
627   1086  4
655   725   5
656   726   5
676   768   6
676   768   6
765   1162  7
767   1163  7
796   1232  8
794   1232  8
920   846   9
920   848   9
934   864   10
935   865   10
987   964   11
988   966   11
1061  530   12
1063  531   12
1074  846   13
1074  845   13
1124  1333  14
1126  1334  14
1124  1332  14
1174  795   15
1174  795   15
1177  878   16
1179  878   16
1182  560   17
1183  560   17
1183  845   18
1182  846   18
1197  723   19
1195  722   19
1204  806   20
1204  806   20
1204  805   20
1206  806   20
1265  547   21
1264  548   21
1266  547   21
1264  550   21
1273  677   22
1275  677   22
1272  678   22
1282  635   23
1282  637   23
1298  864   24
1297  863   24
1299  1178  25
1300  1177  25
1351  1207  26
1351  1207  26
1351  1207  26
1354  1205  27
1354  1206  27
1387  802   28
1388  802   28
1387  802   28
1383  800   29
1383  800   29
1402  1415  30
1403  1414  30
1441  1046  31
1441  1045  31
1440  1045  31
1444  1050  32
1444  1049  32
1464  998   33
1462  998   33
1465  997   33
1471  783   34
1471  783   34
1539  757   35
1539  757   35
1540  756   35
1556  583   36
1555  582   36
1568  1895  37
1570  1896  37
1567  1896  37
1574  1844  38
1573  1845  38
1625  628   39
1626  629   39
1992  497   40
1990  498   40
