# Filename: CLN3-561nm_416_bidi_60x_015.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X     NUM_PUNCTA    CLUSTER_ID
115   755   2             0
380   544   3             1
489   727   2             2
593   730   2             3
600   486   2             4
604   486   2             5
684   710   2             6
814   1685  3             7
857   44    3             8
858   1687  4             9
1002  1559  3             10
1066  1222  2             11
1077  537   2             12
1111  1280  3             13
1144  862   9             14
1166  874   7             15
1167  384   2             16
1171  1058  2             17
1181  1234  2             18
1190  1030  2             19
1207  709   6             20
1211  377   2             21
1235  817   2             22
1280  1683  2             23
1317  809   5             24
1315  806   2             25
1344  794   2             26
1373  787   2             27
1400  1096  4             28
1428  789   2             29
1499  966   2             30
