# Filename: CLN3-561nm_416_bidi_60x_019.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Voxel size (nm): (108, 108)
Y     X
8     889
20    875
35    863
39    1283
46    824
46    912
59    631
70    858
140   850
144   878
157   1533
164   781
182   1767
195   869
201   301
206   900
211   708
211   900
234   925
236   676
237   681
241   921
241   1604
248   1727
252   1613
256   400
261   1443
271   1396
293   412
295   1375
305   1258
308   844
314   1252
320   1371
327   1165
370   1677
378   1681
380   816
429   1113
433   1166
438   1183
443   809
452   799
461   785
501   1133
541   1230
558   964
565   180
568   177
602   1272
640   881
645   209
646   1372
696   350
708   391
785   1808
817   1763
878   1584
889   1368
902   371
911   425
946   1294
956   1302
961   313
965   1558
985   636
985   1222
991   627
991   1219
993   247
993   639
995   592
995   602
1005  499
1005  607
1008  653
1025  456
1045  544
1072  394
1126  622
1154  422
1165  1053
1175  412
1182  1038
1228  638
1232  1010
1240  484
1256  197
1298  949
1299  704
1330  678
1332  250
1340  1644
1370  1447
1419  664
1422  706
1423  737
1424  667
1427  59
1427  63
1430  723
1476  576
1508  135
1514  545
1514  716
1518  272
1521  543
1558  123
1571  616
1620  132
1636  134
1665  288
1669  128
1680  170
1696  410
1699  414
1710  470
1751  235
1761  547
1764  279
1774  1212
1819  2039
1849  826
1945  1979
1957  1833
1966  2041
1983  567
1989  818
1991  486
1993  482
1995  1748
2007  1914
