# Filename: CLN3-561nm_416_ctrl_60x_001.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X     NUM_PUNCTA    CLUSTER_ID
321   836   2             0
553   795   2             1
577   146   2             2
768   571   2             3
781   1181  2             4
873   393   2             5
887   475   2             6
899   320   2             7
1057  564   2             8
1114  303   2             9
1116  530   2             10
1164  298   2             11
1190  670   2             12
1301  139   2             13
1355  67    2             14
1430  850   2             15
1691  859   2             16
57    1106  3             17
163   1068  2             18
195   909   2             19
277   1011  2             20
317   932   2             21
349   725   2             22
360   721   2             23
362   888   2             24
366   1008  2             25
378   1032  2             26
382   1055  2             27
389   604   2             28
389   1058  2             29
395   684   2             30
404   1068  2             31
411   822   2             32
413   570   2             33
414   812   2             34
421   591   2             35
421   845   3             36
422   671   2             37
426   971   2             38
444   878   2             39
446   828   2             40
447   902   2             41
449   797   2             42
453   568   2             43
454   822   2             44
457   644   2             45
461   990   2             46
462   1035  2             47
463   1083  2             48
464   792   2             49
469   875   2             50
471   806   2             51
471   774   2             52
472   853   2             53
478   746   2             54
483   916   2             55
489   1102  4             56
488   703   2             57
499   744   2             58
501   673   2             59
502   624   2             60
504   864   2             61
506   725   2             62
512   738   4             63
514   1072  2             64
514   679   2             65
516   603   2             66
526   744   2             67
529   463   2             68
536   852   3             69
539   960   2             70
544   770   2             71
547   1092  3             72
548   970   2             73
551   888   2             74
550   948   2             75
552   275   2             76
553   505   2             77
554   727   2             78
555   908   2             79
557   919   2             80
561   1019  2             81
563   534   3             82
563   345   2             83
567   950   2             84
570   465   2             85
572   668   2             86
574   1013  2             87
577   897   2             88
576   1054  2             89
583   1045  2             90
586   866   2             91
588   964   2             92
590   677   2             93
591   707   3             94
593   879   2             95
597   729   2             96
597   932   2             97
600   711   2             98
603   875   2             99
605   987   2             100
608   872   2             101
608   719   2             102
609   758   2             103
609   982   2             104
623   862   2             105
625   595   2             106
626   999   3             107
627   139   2             108
635   1098  2             109
635   647   2             110
636   1066  3             111
639   1044  2             112
650   292   3             113
654   1075  3             114
655   253   2             115
655   643   2             116
655   275   2             117
660   648   2             118
664   999   2             119
664   1134  2             120
664   1167  3             121
665   527   2             122
665   1164  2             123
667   1030  2             124
670   909   2             125
672   885   2             126
675   720   2             127
674   1097  2             128
676   728   2             129
676   786   2             130
676   885   2             131
680   749   2             132
680   1124  2             133
683   916   3             134
684   1049  2             135
684   462   2             136
685   344   2             137
686   1128  2             138
687   544   2             139
690   942   2             140
692   1123  2             141
694   752   2             142
696   711   2             143
697   915   3             144
700   1048  2             145
701   935   2             146
701   727   2             147
704   960   2             148
705   470   2             149
707   691   2             150
709   540   2             151
710   1051  2             152
710   1116  3             153
711   674   2             154
711   985   2             155
714   597   2             156
717   555   2             157
717   1133  2             158
720   600   3             159
724   668   2             160
724   957   2             161
725   201   2             162
725   503   2             163
726   672   2             164
726   928   2             165
727   526   2             166
727   683   2             167
728   505   2             168
729   626   2             169
730   1149  2             170
733   663   4             171
736   553   2             172
734   637   2             173
736   491   2             174
737   244   2             175
738   523   2             176
737   618   2             177
737   942   2             178
741   647   2             179
741   1013  2             180
741   480   2             181
742   664   2             182
743   671   2             183
744   394   3             184
745   685   3             185
743   933   2             186
745   712   3             187
746   369   2             188
748   410   2             189
750   968   2             190
753   1218  2             191
754   767   2             192
755   1327  3             193
757   386   4             194
755   1193  2             195
757   1186  2             196
759   1132  2             197
760   468   2             198
761   643   2             199
762   728   2             200
764   215   2             201
764   537   3             202
766   1114  2             203
766   1139  2             204
767   992   2             205
767   1199  2             206
767   617   2             207
769   235   2             208
768   675   2             209
768   1173  2             210
769   1241  2             211
770   679   2             212
772   363   3             213
771   712   2             214
772   1162  3             215
773   282   3             216
772   654   2             217
776   715   2             218
776   556   2             219
776   1247  2             220
780   454   2             221
781   1162  2             222
784   942   2             223
787   1204  2             224
786   702   2             225
788   787   2             226
790   357   2             227
791   1015  2             228
797   538   2             229
798   784   2             230
800   380   2             231
799   1211  2             232
801   576   2             233
804   829   2             234
805   366   2             235
807   376   2             236
808   255   3             237
809   1159  2             238
809   572   2             239
814   1214  2             240
819   830   2             241
818   845   2             242
820   912   2             243
822   946   2             244
825   414   2             245
825   728   3             246
828   263   2             247
829   717   2             248
828   831   2             249
831   764   2             250
831   673   2             251
832   470   2             252
834   738   2             253
835   513   2             254
835   717   2             255
838   840   2             256
840   965   2             257
841   822   2             258
841   629   2             259
844   400   2             260
845   573   2             261
844   723   2             262
849   711   3             263
849   880   2             264
849   921   2             265
851   757   2             266
850   904   2             267
853   327   2             268
854   1715  2             269
856   917   2             270
858   215   2             271
858   688   2             272
862   762   2             273
863   1245  2             274
864   598   2             275
865   578   2             276
866   421   2             277
869   1711  2             278
869   532   2             279
870   704   3             280
869   1177  2             281
872   328   2             282
872   867   2             283
874   707   2             284
875   591   2             285
877   1258  2             286
878   1322  2             287
879   807   2             288
883   1268  2             289
884   541   2             290
886   1147  2             291
887   485   2             292
888   531   2             293
887   719   2             294
889   846   2             295
890   736   2             296
890   1316  2             297
892   661   2             298
895   556   2             299
894   925   2             300
896   574   2             301
898   587   2             302
901   145   2             303
900   501   2             304
904   831   2             305
906   599   2             306
907   1109  2             307
908   1736  2             308
908   299   2             309
908   444   2             310
911   891   2             311
910   1330  2             312
911   63    2             313
912   446   2             314
913   572   2             315
916   218   2             316
918   685   2             317
919   680   2             318
918   988   2             319
920   590   2             320
920   782   2             321
927   597   2             322
930   634   2             323
933   371   2             324
933   776   3             325
935   851   2             326
934   1727  2             327
935   1276  2             328
938   871   2             329
940   816   2             330
943   836   2             331
942   1748  2             332
944   1745  2             333
944   890   2             334
945   993   2             335
947   794   2             336
948   680   2             337
948   989   2             338
948   1734  2             339
951   887   2             340
954   1732  2             341
955   908   2             342
958   698   2             343
958   307   2             344
958   602   2             345
960   542   2             346
961   594   2             347
960   678   2             348
963   637   2             349
964   665   2             350
970   1062  2             351
975   650   2             352
976   838   2             353
979   1355  2             354
989   588   3             355
991   914   2             356
993   742   3             357
993   803   2             358
996   1265  2             359
1002  926   2             360
1002  1751  2             361
1009  612   2             362
1010  630   2             363
1013  706   2             364
1014  1097  2             365
1017  832   2             366
1018  1389  2             367
1018  564   2             368
1021  651   2             369
1024  1116  2             370
1027  1760  2             371
1038  274   2             372
1038  1084  2             373
1039  1783  2             374
1041  588   3             375
1040  778   2             376
1044  729   2             377
1045  650   2             378
1045  738   2             379
1046  1220  2             380
1046  720   2             381
1051  426   2             382
1051  390   2             383
1051  414   2             384
1053  332   2             385
1054  780   2             386
1055  596   2             387
1060  679   2             388
1061  701   2             389
1061  649   2             390
1062  775   2             391
1061  1778  2             392
1071  724   2             393
1071  733   2             394
1074  421   2             395
1083  705   2             396
1090  717   2             397
1093  686   2             398
1092  708   2             399
1094  434   2             400
1096  1032  2             401
1097  466   2             402
1097  752   2             403
1104  742   2             404
1105  910   2             405
1104  1234  2             406
1106  756   2             407
1107  655   2             408
1106  1257  2             409
1113  703   2             410
1114  1041  2             411
1119  207   2             412
1123  710   2             413
1127  849   2             414
1129  371   2             415
1130  677   2             416
1130  724   2             417
1132  389   3             418
1134  738   2             419
1136  1299  2             420
1138  468   2             421
1139  692   2             422
1140  1285  2             423
1143  1254  2             424
1146  848   2             425
1149  1810  2             426
1150  734   2             427
1155  1265  2             428
1157  809   3             429
1159  657   2             430
1160  789   2             431
1163  820   2             432
1165  1323  2             433
1168  6     2             434
1170  636   2             435
1171  1347  2             436
1172  791   2             437
1173  1078  2             438
1174  210   3             439
1176  1339  2             440
1176  301   2             441
1179  328   2             442
1182  972   2             443
1185  714   2             444
1200  1010  2             445
1204  314   2             446
1205  732   2             447
1205  1228  2             448
1209  1238  2             449
1212  786   2             450
1213  831   2             451
1219  873   2             452
1228  1070  2             453
1231  735   2             454
1233  860   2             455
1235  1312  2             456
1235  814   2             457
1235  675   2             458
1237  885   2             459
1238  354   2             460
1241  788   2             461
1245  437   2             462
1246  732   2             463
1246  299   2             464
1249  1325  2             465
1252  1358  2             466
1254  359   2             467
1257  590   2             468
1270  1248  2             469
1278  138   2             470
1278  719   2             471
1278  1451  2             472
1283  1290  2             473
1285  709   2             474
1291  1420  2             475
1292  718   2             476
1294  688   2             477
1296  748   2             478
1296  662   2             479
1300  654   2             480
1301  156   2             481
1301  672   2             482
1306  1277  3             483
1309  248   4             484
1320  731   2             485
1321  168   4             486
1323  920   2             487
1337  207   3             488
1340  576   2             489
1341  883   2             490
1348  713   3             491
1350  662   2             492
1358  651   2             493
1360  442   2             494
1364  75    2             495
1365  730   2             496
1370  700   3             497
1376  403   2             498
1378  263   2             499
1383  1271  2             500
1391  968   2             501
1391  972   2             502
1406  1276  2             503
1410  1014  2             504
1417  954   3             505
1413  955   2             506
1437  1710  2             507
1442  899   2             508
1460  749   2             509
1478  661   2             510
1478  825   2             511
1479  881   2             512
1487  1260  2             513
1492  852   2             514
1497  671   2             515
1500  682   2             516
1502  1638  2             517
1504  648   2             518
1570  1237  2             519
1582  919   2             520
1594  924   2             521
1627  809   2             522
1662  508   2             523
1686  868   2             524
1699  952   2             525
1732  345   2             526
1752  1697  3             527
1803  1187  2             528
