# Filename: CLN3-561nm_416_ctrl_60x_005.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X     CLUSTER_ID
0     815   -1
4     728   -1
11    211   -1
43    615   -1
45    699   -1
57    620   -1
65    288   -1
70    61    -1
71    516   -1
80    292   -1
82    1801  -1
91    769   -1
95    297   -1
95    780   -1
105   182   -1
105   786   -1
109   224   -1
114   220   -1
114   253   -1
115   289   -1
119   183   -1
119   475   -1
122   573   -1
123   382   -1
124   116   -1
125   766   -1
126   442   -1
134   454   -1
135   565   -1
136   486   -1
137   690   -1
146   1153  -1
147   550   -1
148   1146  -1
149   450   -1
149   462   -1
149   545   -1
153   616   -1
156   1515  -1
159   542   -1
159   576   -1
160   531   -1
162   1143  -1
166   573   -1
167   603   -1
172   584   -1
174   1126  -1
175   117   -1
176   1134  -1
176   1792  -1
177   787   -1
185   1490  -1
187   592   -1
191   302   -1
191   807   -1
193   320   -1
200   554   -1
200   818   -1
205   811   -1
210   569   -1
211   1153  -1
213   1136  -1
214   533   -1
217   1756  -1
218   299   -1
218   1747  -1
221   1127  -1
222   834   -1
226   537   -1
228   480   -1
240   529   -1
245   864   -1
247   1135  -1
249   1717  -1
250   643   -1
250   872   -1
253   590   -1
254   848   -1
256   153   -1
257   843   -1
259   457   -1
259   1124  -1
266   807   -1
272   288   -1
272   865   -1
274   318   -1
279   329   -1
281   814   -1
285   185   -1
285   214   -1
285   313   -1
286   343   -1
287   356   -1
287   872   -1
288   403   -1
288   485   -1
290   390   -1
293   415   -1
294   1360  -1
295   216   -1
298   202   -1
303   65    -1
303   1256  -1
304   543   -1
304   1410  -1
306   395   -1
306   1231  -1
309   188   -1
310   246   -1
310   279   -1
311   437   -1
311   260   -1
314   68    -1
316   384   -1
318   1460  -1
319   129   -1
319   320   -1
319   1383  -1
320   213   -1
320   462   -1
320   1354  -1
321   968   -1
321   1278  -1
322   1212  -1
328   1380  -1
329   375   -1
331   306   -1
333   128   -1
333   454   -1
333   837   -1
334   1384  -1
335   1008  -1
335   1371  -1
336   1551  -1
337   1225  -1
339   478   -1
340   1512  -1
342   1102  -1
342   1186  -1
343   419   -1
343   894   -1
343   1197  -1
349   1135  -1
352   1052  -1
353   329   -1
355   402   -1
355   1297  -1
360   860   -1
360   1190  -1
361   1045  -1
362   356   -1
365   510   -1
366   173   -1
367   284   -1
368   167   -1
372   1211  -1
373   292   -1
375   1205  -1
378   225   -1
378   369   -1
380   517   -1
383   1292  -1
384   1177  -1
385   904   -1
386   228   -1
387   301   -1
387   1212  -1
389   296   -1
389   932   -1
391   1204  -1
393   209   -1
403   252   -1
404   272   -1
407   360   -1
417   1254  -1
418   916   -1
422   26    -1
423   249   -1
424   516   -1
427   274   -1
429   388   -1
431   345   -1
435   285   -1
437   249   -1
437   278   -1
438   258   -1
442   254   -1
442   511   -1
442   1265  -1
450   274   -1
453   412   -1
453   1283  -1
455   905   -1
456   1303  -1
459   1261  -1
461   256   -1
461   1299  -1
462   317   -1
466   914   -1
468   423   -1
469   415   -1
469   877   -1
478   1480  -1
479   1398  -1
486   241   -1
486   1463  -1
489   1375  -1
494   235   -1
495   820   -1
496   1386  -1
498   423   -1
505   815   -1
509   920   -1
510   821   -1
511   501   -1
513   901   -1
527   831   -1
530   841   -1
531   870   -1
535   837   -1
540   842   -1
545   215   -1
561   912   -1
568   479   -1
568   897   -1
571   937   -1
574   826   -1
576   898   -1
578   450   -1
585   218   -1
585   854   -1
588   942   -1
591   441   -1
591   833   -1
597   831   -1
602   741   -1
606   849   -1
611   448   -1
621   457   -1
628   830   -1
629   247   -1
649   219   -1
659   860   -1
668   300   -1
669   243   -1
673   228   -1
683   851   -1
686   874   -1
689   246   -1
695   230   -1
696   402   -1
700   861   -1
712   330   -1
724   195   -1
744   818   -1
746   751   -1
756   374   -1
757   181   -1
759   987   -1
760   1001  -1
761   751   -1
767   1041  -1
770   641   -1
772   590   -1
774   630   -1
782   716   -1
785   367   -1
804   731   -1
812   562   -1
816   432   -1
817   1493  -1
818   1221  -1
819   1152  -1
827   1477  -1
830   746   -1
843   903   -1
847   833   -1
848   370   -1
853   689   -1
856   1058  -1
858   750   -1
859   1190  -1
861   472   -1
871   756   -1
