# Filename: CLN3-561nm_416_ctrl_60x_013.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Voxel size (nm): (108, 108)
Y     X
0     641
0     701
0     767
0     809
0     1221
2     1177
2     1630
4     839
5     1183
4     1220
5     623
5     854
6     331
6     1146
10    924
10    1171
12    1605
13    1228
14    732
14    1312
17    1162
18    148
18    474
18    845
19    494
19    1136
21    608
21    829
21    852
21    1087
22    984
22    1033
22    1298
24    789
25    538
26    667
26    902
28    240
29    859
31    1737
32    109
32    655
32    1166
33    989
33    1128
34    1588
35    782
35    1059
35    1264
36    518
36    935
37    635
37    1260
38    653
38    983
38    1244
38    1654
38    1734
39    496
39    548
39    850
39    891
39    1320
41    911
41    1546
42    605
42    1181
42    1446
43    451
44    489
44    1869
45    820
45    894
45    1655
48    1188
48    1628
49    137
49    383
49    568
49    847
49    1167
49    1496
50    739
50    823
51    938
51    1075
52    1564
53    411
54    649
54    1158
55    322
55    373
55    772
56    444
56    848
57    389
57    1029
57    1346
57    1674
59    1183
60    640
60    662
60    1153
61    671
61    1285
62    756
62    842
63    376
63    663
63    1020
63    1275
64    1184
65    314
65    424
66    525
66    673
67    925
68    360
68    1132
70    753
69    821
69    997
69    1014
69    1074
70    532
70    1683
71    1022
72    744
72    984
72    1004
73    238
73    981
74    942
75    250
75    951
75    1110
75    1344
76    278
76    675
77    456
77    948
78    936
80    604
80    928
81    725
81    915
81    1219
82    904
82    907
83    897
83    1628
83    1840
84    656
84    883
84    890
84    966
84    1552
84    1597
85    991
85    1264
86    877
86    1647
87    824
87    854
88    465
88    673
88    1311
89    747
89    1236
90    144
90    523
91    374
91    781
91    1528
92    1276
93    672
94    654
94    958
95    782
95    2001
96    1079
96    1511
98    618
98    1597
101   777
101   782
102   1850
103   726
104   495
104   575
104   1661
104   1684
106   994
107   305
108   1677
109   644
111   723
111   760
111   1014
111   1405
112   594
112   630
112   968
113   741
114   1202
114   1585
114   1701
115   505
115   697
115   874
115   1403
116   984
117   645
118   1229
119   657
119   687
120   625
120   1099
121   784
121   902
121   950
122   983
122   1688
123   606
123   1030
124   1583
125   653
125   1117
126   644
126   822
126   948
126   968
126   1195
127   1358
127   1747
128   238
128   992
129   916
129   986
129   1094
129   1565
130   295
130   665
130   1310
130   1599
131   476
131   963
132   754
132   1183
133   685
133   1084
133   1995
134   1451
135   845
135   1700
136   790
138   730
137   1691
138   444
138   1433
139   952
140   1031
141   716
142   758
143   622
143   646
143   1244
143   1480
144   576
144   1003
144   1036
146   645
146   1830
147   170
147   535
147   740
147   1665
148   845
148   966
148   1717
149   615
149   1282
150   1004
151   640
151   1291
151   1379
151   1763
152   437
152   835
152   1300
152   1364
152   1392
153   624
153   671
153   1304
155   653
155   899
156   998
156   1017
156   1108
156   1407
156   1476
157   186
157   692
157   1041
157   1461
157   1632
158   1094
159   720
159   804
159   1508
159   1523
159   1937
160   819
160   1112
160   1626
161   1194
161   1462
163   1138
164   858
166   227
165   1066
165   1955
166   647
166   1460
166   1546
167   664
167   708
168   816
168   1052
168   1071
170   617
170   676
170   926
170   1085
170   1574
171   1094
171   1535
172   1115
172   1856
173   870
173   1078
173   1482
173   1520
174   1185
174   1196
175   712
176   728
176   734
177   609
177   689
177   807
178   1034
178   1794
179   628
179   797
179   1093
180   396
180   830
181   578
181   1747
182   1368
182   1598
183   800
183   1284
184   730
184   1190
184   1593
184   1812
185   952
185   1066
185   1137
186   1127
186   1403
186   1735
187   748
187   838
187   981
187   1077
187   1375
188   764
188   1147
188   1391
189   1170
190   399
190   571
191   1187
192   842
193   804
193   962
193   1000
193   1066
193   1143
193   1312
194   817
196   623
196   1061
197   938
197   946
197   1141
197   1592
198   484
198   911
198   1132
198   1625
199   1045
199   1289
200   356
200   774
201   748
201   761
201   791
201   840
202   755
202   1245
202   1331
202   1814
203   572
203   1090
203   1178
204   263
204   712
204   867
204   888
204   920
205   777
205   1173
205   1812
205   1875
206   824
206   1296
207   817
207   1639
208   1151
209   986
210   814
211   776
211   854
212   988
212   1029
212   1163
213   1008
214   735
214   782
214   1050
214   1156
214   1507
215   415
215   532
216   1095
216   1489
217   693
217   875
217   1258
217   1764
218   743
218   847
218   893
218   904
218   930
218   957
219   734
219   1484
220   323
220   991
221   763
222   1051
222   1242
222   1508
223   968
226   383
226   1286
227   937
227   1193
227   1619
229   742
229   855
229   1042
231   723
231   760
231   843
231   989
231   1002
231   1458
232   293
233   517
233   835
235   265
235   823
236   463
236   818
236   977
237   852
237   1591
238   954
238   1488
239   554
239   995
240   1440
241   338
241   761
241   949
242   1158
242   1276
243   548
243   827
243   1486
243   1859
244   374
244   573
244   736
244   804
244   848
244   1172
244   1438
244   1654
244   1758
245   934
246   751
247   510
247   1447
247   1722
248   728
248   760
248   948
249   735
249   1292
249   1418
249   1787
250   1121
251   617
251   692
251   1126
251   1157
252   1552
253   219
253   1061
254   262
254   886
255   637
256   1013
256   1749
257   631
257   824
257   1080
257   1309
257   1354
258   624
259   1340
259   1582
260   543
261   779
261   1424
262   769
262   1459
263   691
263   1007
263   1159
264   1167
264   1234
266   776
266   783
266   801
267   949
268   404
268   687
268   1063
268   1080
268   1322
268   1786
269   1457
270   674
270   884
270   1086
270   1185
270   1534
271   591
271   1432
271   1736
272   911
272   1254
272   1791
273   406
273   715
273   1638
274   691
274   1131
275   720
275   771
275   853
275   897
275   938
275   1518
276   467
276   1183
276   1421
276   1848
277   666
277   759
277   1241
277   1275
277   1410
277   1415
277   1476
278   1144
278   1316
279   670
279   707
279   726
279   879
279   978
279   1208
280   1067
280   1171
280   1374
281   875
282   641
282   717
282   735
282   777
282   1446
284   903
284   1412
285   709
285   1473
286   360
286   676
286   808
286   1062
286   1424
287   1006
287   1180
287   1699
288   736
288   905
288   1029
288   1120
288   1143
288   1547
288   1714
289   410
289   626
289   781
289   786
290   755
290   968
290   1193
290   1370
292   705
293   916
293   1638
294   595
294   1744
295   700
295   739
295   765
296   401
296   1071
296   1387
297   758
297   904
298   681
298   820
298   1379
298   1411
298   1526
299   622
299   1368
299   1726
300   1111
300   1704
301   405
301   1208
302   833
302   1488
302   1651
303   1009
303   1015
303   1102
303   1232
303   1827
304   718
304   1133
304   1287
304   1718
304   1839
305   1411
306   1400
307   1394
307   1706
308   922
308   1027
308   1030
308   1061
308   1078
309   867
309   1162
309   1354
309   1599
310   723
310   815
310   917
310   1036
310   1074
310   1735
311   800
311   1128
312   568
312   805
312   1013
312   1123
312   1159
312   1201
313   549
313   959
313   1730
314   856
315   1020
316   890
316   896
316   944
318   924
318   1178
318   1386
318   1444
319   1482
320   470
320   806
320   1021
321   453
321   781
321   1223
321   1487
321   1610
322   843
322   1426
322   1557
323   1348
324   812
324   1437
325   1161
326   907
326   1113
326   1244
326   1442
326   1458
326   1463
327   967
328   1218
328   1403
328   1470
329   640
329   1737
330   647
330   729
330   1485
331   558
331   826
331   992
331   1270
331   1336
333   535
333   784
334   873
334   1078
334   1710
335   1727
336   827
337   706
